EDSectors,Activity,Numbers,ByIndustry,EDOutput,SplitByIndustry,ByActivity,PreInflation,TotalDollars
OACC,ACCOMMODATIONS,3225.30735,3225.30735,951.2699993,3.390527771,3.390527771,3390527.771,2785115.132
OAGM,AGRICULTURE AND MINING-Agriculture,10613.4774,10841.17995,5641.313233,1.921747562,1.881384167,1881384.167,1545444.21
OAGM,AGRICULTURE AND MINING-Office,227.702549,10841.17995,5641.313233,1.921747562,0.040363394,40363.39405,33156.10641
OCOM,COMMUNICATIONS AND UTILITIES-Light Industry,13271.4532,14550.43204,5935.872013,2.451271188,2.235805147,2235805.147,1836579.78
OCOM,COMMUNICATIONS AND UTILITIES-Office,1278.97884,14550.43204,5935.872013,2.451271188,0.215466041,215466.0406,176992.4244
OCON,CONSTRUCTION,26255.7874,26255.7874,13133.12499,1.999203344,1.999203344,1999203.344,1642225.595
OELE,ELECTRONICS AND INSTRUMENTS-Light Industry,17024.46,18632.83298,27191.4301,0.685246525,0.626096529,626096.5288,514300.7326
OELE,ELECTRONICS AND INSTRUMENTS-Office,1608.37298,18632.83298,27191.4301,0.685246525,0.059149996,59149.99594,48588.17266
OFIR,FIRE BUSINESS AND PROFESSIONAL SERVICES,51035.0114,51035.0114,29903.61975,1.706649958,1.706649958,1706649.958,1401910.541
OFOO,FOOD PRODUCTS-Heavy Industry,7873.65091,11997.74478,6261.966707,1.915970707,1.25737668,1257376.68,1032859.5
OFOO,FOOD PRODUCTS-Light Industry,3846.24701,11997.74478,6261.966707,1.915970707,0.614223484,614223.4844,504547.739
OFOO,FOOD PRODUCTS-Office,277.84686,11997.74478,6261.966707,1.915970707,0.044370543,44370.54252,36447.73845
OLUM,FORESTRY AND LOGGING,3779.72806,14960.57916,6943.963746,2.154472532,0.544318519,544318.5187,447125.004
OGOV,GOVERNMENT ADMINISTRATION-Government Support,13887.8529,15121.00144,8449.900831,1.789488627,1.643552176,1643552.176,1350079.499
OGOV,GOVERNMENT ADMINISTRATION-Office,1233.14854,15121.00144,8449.900831,1.789488627,0.145936451,145936.4512,119878.0385
OHEA,HEALTH SERVICES-Hospital,5392.76586,14907.66174,8362.557277,1.782667819,0.644870424,644870.4244,529722.3614
OHEA,HEALTH SERVICES-Institutional,1195.283,14907.66174,8362.557277,1.782667819,0.142932713,142932.7131,117410.6478
OHEA,HEALTH SERVICES-Office,8319.61288,14907.66174,8362.557277,1.782667819,0.994864681,994864.6813,817221.6438
OHIED,HIGHER EDUCATION,3163.57224,3163.57224,1607.774626,1.967671457,1.967671457,1967671.457,1616324.042
OHOME,HOMEBASED SERVICES,182.9879,182.9879,118,1.550744915,1.550744915,1550744.915,1273843.903
OLOED,LOWER EDUCATION-Grade School,4959.13367,5161.037656,3652.30769,1.413089502,1.357808293,1357808.293,1115358.044
OLOED,LOWER EDUCATION-Office,201.903986,5161.037656,3652.30769,1.413089502,0.055281209,55281.20935,45410.19661
OLUM,LUMBER AND WOOD PRODUCTS-Heavy Industry,10850.3558,14960.57916,6943.963746,2.154472532,1.562559396,1562559.396,1283548.79
OLUM,LUMBER AND WOOD PRODUCTS-Office,330.495297,14960.57916,6943.963746,2.154472532,0.047594617,47594.61729,39096.12243
OOD,OTHER DURABLES-Heavy Industry,16516.9458,23786.87514,14490.1585,1.641588333,1.13987337,1139873.37,936337.5811
OOD,OTHER DURABLES-Light Industry,5765.58964,23786.87514,14490.1585,1.641588333,0.397896934,397896.934,326848.4575
OOD,OTHER DURABLES-Office,1504.3397,23786.87514,14490.1585,1.641588333,0.103818029,103818.0293,85280.28199
OOND,OTHER NON-DURABLES-Heavy Industry,4072.24789,7699.883455,4939.932275,1.558702231,0.82435298,824352.9797,677156.5116
OOND,OTHER NON-DURABLES-Light Industry,2971.76317,7699.883455,4939.932275,1.558702231,0.601579739,601579.7393,494161.6611
OOND,OTHER NON-DURABLES-Office,655.872395,7699.883455,4939.932275,1.558702231,0.132769512,132769.5115,109062.1875
OPERS,PERSONAL AND OTHER SERVICES AND AMUSEMENTS,15502.5822,15502.5822,14773.64114,1.04934065,1.04934065,1049340.65,861970.3835
OPULP,PULP AND PAPER-Heavy Industry,5922.7679,6112.32961,2848.763623,2.145607856,2.079066109,2079066.109,1707828.065
OPULP,PULP AND PAPER-Office,189.56171,6112.32961,2848.763623,2.145607856,0.066541748,66541.74762,54660.05316
ORET,RETAIL TRADE-Office,382.03144,67212.85234,11393.64714,5.899151653,0.033530215,33530.21516,27543.05994
ORET,RETAIL TRADE-Retail,66830.8209,67212.85234,11393.64714,5.899151653,5.865621438,5865621.438,4818256.074
OTRA,TRANSPORT-Depot,10887.2658,11815.51272,6881.846886,1.716910143,1.582026741,1582026.741,1299540.046
OTRA,TRANSPORT-Office,928.24692,11815.51272,6881.846886,1.716910143,0.134883402,134883.402,110798.6217
OWHO,WHOLESALE TRADE-Office,3035.01112,57210.81272,11623.38431,4.922044318,0.261112516,261112.5158,214488.265
OWHO,WHOLESALE TRADE-Warehouse,54175.8016,57210.81272,11623.38431,4.922044318,4.660931802,4660931.802,3828675.819
Capitalists,Capitalists,0,0,0,0,0,0,1
GovInst,GovInstitutions,0,0,0,0,0,0,1
