ED Sector,SPG Sector,OR-Disaggemp,DisAggemployment,OR-AggEmp,AggEmp,FullEDtoSPG_Percent,Employment
OEMPACC,ACCOMMODATIONS,25547,64997,25547,64997,1,2.544212628
OEMPAGM,AGRICULTURE AND MINING,98663,188058,98663,188058,1,1.906064077
OEMPCOM,COMMUNICATIONS AND UTILITIES,23534,45303,23534,45303,1,1.925002125
OEMPCON,CONSTRUCTION,135935,239022,135935,239022,1,1.758355096
OEMPELE,ELECTRONICS AND INSTRUMENTS-Light Industry,46189,71485,46189,71485,1,1.547662863
OEMPFIRP,FIRE BUSINESS AND PROFESSIONAL SERVICES,357893,546557,357893,546557,1,1.52715197
OEMPFOO,FOOD PRODUCTS-Heavy Industry,15343,30776,25524,46269,0.665153775,1.205767121
OEMPFOO,FOOD PRODUCTS-Light Industry,10181,15493,25524,46269,0.334846225,0.6069973358
OEMPGOV,GOVERNMENT ADMINISTRATION,145439,248056,145439,248056,1,1.705567283
OEMPHEA,HEALTH SERVICES-Hospital,47301,83617,129979,228039,0.366678507,0.6433116119
OEMPHEA,HEALTH SERVICES-Institutional,17935,34723,129979,228039,0.152267814,0.2671431539
OEMPHEA,HEALTH SERVICES-Office,64743,109699,129979,228039,0.481053679,0.8439747959
OEMPHIED,HIGHER EDUCATION,55271,96966,55271,96966,1,1.754373903
OEMPHOME,HOMEBASED SERVICES,13396,21337,13396,21337,1,1.592788892
OEMPLOED,LOWER EDUCATION,86435,149835,86435,149835,1,1.733499161
OEMPLUM,FORESTRY AND LOGGING,10747,15560,57776,83790,0.185702351,0.269315979
OEMPLUM,LUMBER AND WOOD PRODUCTS-Heavy Industry,47029,68230,57776,83790,0.814297649,1.180940183
OEMPDG,OTHER DURABLES-Heavy Industry,60026,82636,89424,137097,0.602755713,0.9240919664
OEMPDG,OTHER DURABLES-Light Industry,29398,54461,89424,137097,0.397244287,0.6090199499
OEMPOND,OTHER NON-DURABLES-Heavy Industry,12810,19220,35785,41942,0.458251872,0.5370965488
OEMPOND,OTHER NON-DURABLES-Light Industry,22975,22722,35785,41942,0.541748128,0.6349587816
OEMPPERS,PERSONAL AND OTHER SERVICES AND AMUSEMENTS,198392,326965,198392,326965,1,1.648075527
OEMPPAP,PULP AND PAPER-Heavy Industry,8380,19967,8380,19967,1,2.382696897
OEMPRET,RETAIL TRADE,347785,574599,347785,574599,1,1.652167287
OEMPTRAN,TRANSPORT,64175,105768,64175,105768,1,1.648118426
OEMPWHO,WHOLESALE TRADE,103803,161895,103803,161895,1,1.559637005
