Activity,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units
RES_agmin_ag,0.307,1,0.307,0,1,Neither,Dollars of activity production/consumption
RES_forst_log,0.307,1,0.307,0,1,Neither,Dollars of activity production/consumption
RES_offc_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
ENGY_elec_hi,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption
ENGY_ngas_hi,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption
ENGY_ptrl_hi,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption
ENGY_offc_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
CNST_main_xxx,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption
CNST_nres_xxx,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption
CNST_othr_xxx,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption
CNST_res_xxx,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption
CNST_offc_off,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption
MFG_food_hi,16.4,1,16.4,0,1,Neither,Dollars of activity production/consumption
MFG_food_li,16.4,1,16.4,0,1,Neither,Dollars of activity production/consumption
MFG_htec_hi,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_htec_li,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_hvtw_hi,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_hvtw_li,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_lvtw_hi,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_wdppr_hi,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption
MFG_offc_off,4.93,1,4.93,0,1,Neither,Dollars of activity production/consumption
WHSL_whsl_ware,7.12,1,7.12,0,1,Neither,Dollars of activity production/consumption
WHSL_offc_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
RET_auto_ret,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption
RET_stor_ret,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption
RET_stor_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
RET_nstor_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
TRNS_trns_ware,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption
TRNS_trns_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
INFO_info_off_li,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption
INFO_info_off,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption
UTL_othr_off_li,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
UTL_othr_off,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption
FIRE_fnin_off,28.3,1,28.3,0,1,Neither,Dollars of activity production/consumption
FIRE_real_off,28.3,1,28.3,0,1,Neither,Dollars of activity production/consumption
HLTH_hosp_hosp,5.19,1,5.19,0,1,Neither,Dollars of activity production/consumption
HLTH_care_inst,5.19,1,5.19,0,1,Neither,Dollars of activity production/consumption
HLTH_othr_off_li,9.68,1,9.68,0,1,Neither,Dollars of activity production/consumption
K12_k12_k12,40.2,1,40.2,0,1,Neither,Dollars of activity production/consumption
K12_k12_off,40.2,1,40.2,0,1,Neither,Dollars of activity production/consumption
HIED_hied_off_inst,5.88,1,5.88,0,1,Neither,Dollars of activity production/consumption
ENT_ent_ret,14.9,1,14.9,0,1,Neither,Dollars of activity production/consumption
HOSP_acc_acc,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption
HOSP_eat_ret_acc,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption
SERV_tech_off,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption
