Activity,TotalAmount
RES_agmin_ag,16903898303
RES_forst_log,2519144897
RES_offc_off,1332074223
ENGY_elec_hi,8621276855
ENGY_ngas_hi,3603145996
ENGY_ptrl_hi,4631318359
ENGY_offc_off,1912330649
CNST_main_xxx,3690346435
CNST_nres_xxx,6542617309
CNST_othr_xxx,8729001953
CNST_res_xxx,6740919189
CNST_offc_off,2666187151
MFG_food_hi,10829728776
MFG_food_li,10829728776
MFG_htec_hi,13063887807
MFG_htec_li,13063887807
MFG_hvtw_hi,14441531006
MFG_hvtw_li,14441531006
MFG_lvtw_hi,12978764067
MFG_wdppr_hi,11847955596
MFG_offc_off,10165454716
WHSL_whsl_ware,19829592529
WHSL_offc_off,1733860878
RET_auto_ret,7439574272
RET_stor_ret,16026845092
RET_stor_off,1518361266
RET_nstor_off,2193797363
TRNS_trns_ware,14723200435
TRNS_trns_off,2125367253
INFO_info_off_li,15239006202
INFO_info_off,2881870409
UTL_othr_off_li,8378148941
UTL_othr_off,1114027683
FIRE_fnin_off,31902799194
FIRE_real_off,15446998046
HLTH_hosp_hosp,12295007812
HLTH_care_inst,3849533203
HLTH_othr_off_li,18144155090
K12_k12_k12,12626084053
K12_k12_off,2777603399
HIED_hied_off_inst,4569757377
ENT_ent_ret,3571715370
HOSP_acc_acc,3539955230
HOSP_eat_ret_acc,12374280273
SERV_tech_off,22817588607
SERV_site_li,5828886779
SERV_home_xxx,456867797
SERV_bus_off,14387504547
SERV_nonp_off_inst,9376816406
SERV_stor_ret,5164732788
GOV_admn_gov,19036836853
GOV_offc_off,10008657941
FGOV_acct_gov,93817953918
SLGOV_acct_gov,71879103322
CAP_acct_gov,69549704567
HH0to8k1to2,114469
HH0to8k3plus,23154
HH8to15k1to2,166181
HH8to15k3plus,37181
HH15to23k1to2,179197
HH15to23k3plus,59952
HH23to32k1to2,187491
HH23to32k3plus,80364
HH32to46k1to2,240622
HH32to46k3plus,126609
HH46to61k1to2,196680
HH46to61k3plus,136043
HH61to76k1to2,133215
HH61to76k3plus,120596
HH76to106k1to2,154108
HH76to106k3plus,170804
HH106kUp1to2,153655
HH106kUp3plus,176127
higher_education_impt,6100819829
sctg01_fkp_lvsk_impt,1061593354
sctg02_fkp_agri_cereal_impt,999880909
sctg03_fkp_agri_other_impt,2760061448
sctg04_fkp_feed_impt,1301099770
sctg05_fkp_food_meat_impt,4223945028
sctg06_fkp_agri_grain_impt,1746200740
sctg07_fkp_food_prep_impt,11559174161
sctg08_fkp_food_alc_impt,2300836220
sctg10_cms_clay_impt,249320335.8
sctg11_cms_sand_impt,153419897.1
sctg13_cms_mine_nonmet_impt,155094885.3
sctg14_cms_mine_met_impt,725068071.6
sctg15_pcc_coal_impt,761404096.3
sctg16_pcc_petr_crude_impt,2051368883
sctg17_pcc_fuel_impt,5820532158
sctg18_pcc_petr_oil_impt,2910266079
sctg19_pcc_coal_prod_impt,4790033680
sctg20_pcc_chem_basic_impt,2519659617
sctg21_pcc_chem_pharma_impt,6571703420
sctg22_pcc_chem_fert_impt,925356231.6
sctg23_pcc_chem_prod_impt,3954914703
sctg24_pcc_petr_plast_impt,5596685493
sctg25_fwp_logs_impt,2474730626
sctg26_fwp_wood_impt,2392018288
sctg27_ppp_papr_puplp_impt,1913050007
sctg28_ppp_papr_paper_impt,2313922158
sctg29_ppp_papr_print_impt,2495898098
sctg30_oth_clth_impt,3805503850
sctg31_cms_min_impt,2752245863
sctg32_mit_metl_base_impt,5472793396
sctg33_mit_metl_prod_impt,4199515250
sctg34_mit_mach_impt,8683817953
sctg35_mit_elct_impt,14519139328
sctg36_mit_tran_impt,7933939737
sctg37_mit_inst_transp_impt,2419515004
sctg38_mit_inst_prec_impt,3726728106
sctg39_oth_furn_impt,2330264351
sctg40_oth_misc_impt,5425995365
sctg41_waste_scrap_impt,470564691.6
energy_impt,10549942946
retail_trade_impt,24933519811
transport_impt,14888372255
wholesale_trade_impt,23358986465
construction_impt,29113519443
communications_and_utilities_impt,21987249403
accommodations_impt,2632335038
personal_and_other_services_and_amusements_impt,12097457557
entertainment_services_impt,4720465981
food_services_impt,12010273850
health_services_impt,37984394117
fire_business_and_professional_services_impt,1.17112E+11
government_administration_impt,18954784844
education_reports_to_sponsors_impt,14881588731
sctg01_fkp_lvsk_expt,1203512960
sctg02_fkp_agri_cereal_expt,893932558.2
sctg03_fkp_agri_other_expt,8313501932
sctg04_fkp_feed_expt,694882238.5
sctg05_fkp_food_meat_expt,3346381200
sctg06_fkp_agri_grain_expt,1652958897
sctg07_fkp_food_prep_expt,15630709696
sctg08_fkp_food_alc_expt,2026017524
sctg10_cms_clay_expt,271536722.8
sctg11_cms_sand_expt,299397983.2
sctg13_cms_mine_nonmet_expt,44226452.92
sctg14_cms_mine_met_expt,1533490484
sctg15_pcc_coal_expt,77540954.06
sctg16_pcc_petr_crude_expt,703292305.6
sctg17_pcc_fuel_expt,199578099.1
sctg18_pcc_petr_oil_expt,99789049.53
sctg19_pcc_coal_prod_expt,921302319.7
sctg20_pcc_chem_basic_expt,1754684975
sctg21_pcc_chem_pharma_expt,1101464641
sctg22_pcc_chem_fert_expt,699492454.5
sctg23_pcc_chem_prod_expt,1649599412
sctg24_pcc_petr_plast_expt,3249228683
sctg25_fwp_logs_expt,3234936200
sctg26_fwp_wood_expt,6456998786
sctg27_ppp_papr_puplp_expt,5580698647
sctg28_ppp_papr_paper_expt,1831491215
sctg29_ppp_papr_print_expt,1705409779
sctg30_oth_clth_expt,822096421.2
sctg31_cms_min_expt,2273122329
sctg32_mit_metl_base_expt,4970671959
sctg33_mit_metl_prod_expt,4028276107
sctg34_mit_mach_expt,5745210485
sctg35_mit_elct_expt,25089950732
sctg36_mit_tran_expt,4125428570
sctg37_mit_inst_transp_expt,2875766315
sctg38_mit_inst_prec_expt,2884849239
sctg39_oth_furn_expt,1561209261
sctg40_oth_misc_expt,2507860460
sctg41_waste_scrap_expt,514554669
energy_expt,12529262255
retail_trade_expt,26900822001
transport_expt,14939113682
wholesale_trade_expt,24460910884
construction_expt,25702884888
communications_and_utilities_expt,19796349782
accommodations_expt,3361339473
personal_and_other_services_and_amusements_expt,15108144981
entertainment_services_expt,4039098503
food_services_expt,12396404498
higher_education_expt,6196788412
health_services_expt,43076183235
fire_business_and_professional_services_expt,94535211138
government_administration_expt,18981930175
education_reports_to_sponsors_expt,14949045381
