AZone,FLRType,FLRName,BldgMSQFT
20,AgForest,FLR Logging,48562.49901
24,AgForest,FLR Agriculture,40510836.38
26,AgForest,FLR Logging,3166274.913
27,AgForest,FLR Agriculture,72115310.51
103,AgForest,FLR Logging,1.82E-12
166,AgForest,FLR Logging,796424.9781
167,AgForest,FLR Agriculture,26534549.27
181,AgForest,FLR Logging,67987.498
205,AgForest,FLR Logging,48562.49901
206,AgForest,FLR Agriculture,108100000
207,AgForest,FLR Logging,291374.992
217,AgForest,FLR Logging,87412.49799
219,AgForest,FLR Logging,106837.497
220,AgForest,FLR Logging,48562.49901
221,AgForest,FLR Logging,22523286.88
222,AgForest,FLR Agriculture,28292511.72
223,AgForest,FLR Agriculture,806137.4781
224,AgForest,FLR Logging,135974.996
225,AgForest,FLR Logging,48562.49901
229,AgForest,FLR Logging,9712.500019
235,AgForest,FLR Logging,9712.500019
236,AgForest,FLR Agriculture,130020000
243,AgForest,FLR Agriculture,16278149.55
244,AgForest,FLR Logging,21318936.91
246,AgForest,FLR Logging,10343812.21
247,AgForest,FLR Logging,12538837.15
248,AgForest,FLR Logging,4836824.868
249,AgForest,FLR Agriculture,18055537
250,AgForest,FLR Logging,116549.997
258,AgForest,FLR Logging,77699.99802
259,AgForest,FLR Logging,320512.491
262,AgForest,FLR Logging,213674.994
263,AgForest,FLR Logging,19424.99899
267,AgForest,FLR Logging,951824.974
268,AgForest,FLR Logging,41410334.35
268,AgForest,FLR Agriculture,231069665.7
269,AgForest,FLR Agriculture,149150000
270,AgForest,FLR Logging,1098060
270,AgForest,FLR Agriculture,1812300000
271,AgForest,FLR Agriculture,315092958.7
271,AgForest,FLR Logging,1677578252
272,AgForest,FLR Agriculture,69345461.55
272,AgForest,FLR Logging,2552298237
273,AgForest,FLR Logging,1971932773
273,AgForest,FLR Agriculture,2721267226
274,AgForest,FLR Agriculture,179450000
275,AgForest,FLR Logging,64121923.23
276,AgForest,FLR Agriculture,173800000
277,AgForest,FLR Agriculture,45668173.76
278,AgForest,FLR Agriculture,151670000
279,AgForest,FLR Agriculture,46037248.75
280,AgForest,FLR Logging,2189019.501
280,AgForest,FLR Agriculture,55163291.43
281,AgForest,FLR Logging,50806086.08
282,AgForest,FLR Logging,19690575.64
282,AgForest,FLR Agriculture,30717297.99
283,AgForest,FLR Agriculture,16258724.55
285,AgForest,FLR Agriculture,26379149.27
286,AgForest,FLR Agriculture,96542247.32
287,AgForest,FLR Agriculture,93434247.42
288,AgForest,FLR Agriculture,102787384.7
289,AgForest,FLR Agriculture,125299524.8
291,AgForest,FLR Logging,23883036.84
292,AgForest,FLR Agriculture,100050000
293,AgForest,FLR Agriculture,130080000
294,AgForest,FLR Agriculture,299369637.4
295,AgForest,FLR Agriculture,110010000
296,AgForest,FLR Logging,4357771.744
296,AgForest,FLR Agriculture,71380301.17
297,AgForest,FLR Agriculture,151024250
298,AgForest,FLR Logging,32031824.12
299,AgForest,FLR Agriculture,104300000
300,AgForest,FLR Agriculture,141030000
301,AgForest,FLR Agriculture,176150000
302,AgForest,FLR Logging,90190272.5
303,AgForest,FLR Logging,10547774.71
304,AgForest,FLR Logging,149113.5
304,AgForest,FLR Agriculture,70697285.54
305,AgForest,FLR Agriculture,254394360
306,AgForest,FLR Agriculture,226950000
307,AgForest,FLR Logging,42958386.31
328,AgForest,FLR Logging,77699.99802
343,AgForest,FLR Logging,126262.497
354,AgForest,FLR Logging,7740862.287
355,AgForest,FLR Agriculture,1486012.459
357,AgForest,FLR Logging,660449.9821
358,AgForest,FLR Logging,17832149.51
361,AgForest,FLR Logging,58274.99798
362,AgForest,FLR Logging,19424.99899
365,AgForest,FLR Logging,2156174.94
366,AgForest,FLR Logging,174824.995
367,AgForest,FLR Logging,21629736.9
368,AgForest,FLR Logging,1359749.962
369,AgForest,FLR Agriculture,932399.974
370,AgForest,FLR Agriculture,8061374.776
371,AgForest,FLR Agriculture,9139462.247
372,AgForest,FLR Logging,19424.99899
374,AgForest,FLR Logging,10236974.72
375,AgForest,FLR Agriculture,19308449.47
382,AgForest,FLR Logging,19424.99899
383,AgForest,FLR Agriculture,263410000
384,AgForest,FLR Logging,18560586.99
385,AgForest,FLR Agriculture,6623924.815
386,AgForest,FLR Logging,3467362.404
387,AgForest,FLR Logging,3214837.411
388,AgForest,FLR Agriculture,2127037.441
389,AgForest,FLR Agriculture,1136362.469
390,AgForest,FLR Logging,301087.492
394,AgForest,FLR Agriculture,51583086.1
395,AgForest,FLR Agriculture,23951024.34
396,AgForest,FLR Logging,5681812.341
398,AgForest,FLR Logging,40336011.39
399,AgForest,FLR Agriculture,33216749.08
400,AgForest,FLR Agriculture,39976648.9
401,AgForest,FLR Agriculture,154560000
402,AgForest,FLR Logging,20211711.94
403,AgForest,FLR Logging,893549.9752
456,AgForest,FLR Logging,9712.500019
479,AgForest,FLR Logging,310799.991
480,AgForest,FLR Logging,1777387.451
481,AgForest,FLR Agriculture,11315062.19
482,AgForest,FLR Logging,116549.997
484,AgForest,FLR Logging,9712.500019
496,AgForest,FLR Logging,1437449.96
497,AgForest,FLR Logging,2088187.442
498,AgForest,FLR Agriculture,2398987.434
502,AgForest,FLR Agriculture,23805336.84
503,AgForest,FLR Agriculture,43822798.79
504,AgForest,FLR Logging,34877586.54
505,AgForest,FLR Logging,21085836.92
506,AgForest,FLR Agriculture,19687236.96
507,AgForest,FLR Logging,4865962.365
508,AgForest,FLR Logging,3137137.413
509,AgForest,FLR Logging,2233874.938
513,AgForest,FLR Logging,9945599.724
515,AgForest,FLR Logging,5798362.34
518,AgForest,FLR Logging,56895823.43
519,AgForest,FLR Agriculture,19017074.48
520,AgForest,FLR Agriculture,176520000
521,AgForest,FLR Logging,158836363.6
521,AgForest,FLR Agriculture,272503636.4
522,AgForest,FLR Agriculture,150740000
523,AgForest,FLR Agriculture,10722599.7
524,AgForest,FLR Logging,15345749.58
525,AgForest,FLR Agriculture,81332472.74
526,AgForest,FLR Logging,20182574.44
527,AgForest,FLR Logging,18900524.48
528,AgForest,FLR Agriculture,215328275
529,AgForest,FLR Agriculture,69007310.61
530,AgForest,FLR Logging,51272286.06
531,AgForest,FLR Agriculture,137800000
532,AgForest,FLR Logging,100964025.1
532,AgForest,FLR Agriculture,490685162.1
533,AgForest,FLR Agriculture,169414225
534,AgForest,FLR Agriculture,117778487
534,AgForest,FLR Logging,181756924.4
535,AgForest,FLR Logging,586327936.8
535,AgForest,FLR Agriculture,12180962886
536,AgForest,FLR Logging,291278424.3
536,AgForest,FLR Agriculture,300281575.5
537,AgForest,FLR Agriculture,3230038099
537,AgForest,FLR Logging,13843020426
538,AgForest,FLR Agriculture,741990000.2
539,AgForest,FLR Agriculture,12927337.14
540,AgForest,FLR Logging,28069124.23
541,AgForest,FLR Agriculture,42987523.81
542,AgForest,FLR Agriculture,38801436.43
543,AgForest,FLR Logging,12179474.66
544,AgForest,FLR Logging,12373724.66
545,AgForest,FLR Agriculture,15064087.08
546,AgForest,FLR Logging,16113037.06
547,AgForest,FLR Logging,52971973.52
548,AgForest,FLR Agriculture,146180000
549,AgForest,FLR Agriculture,9408960
550,AgForest,FLR Agriculture,32828249.09
551,AgForest,FLR Agriculture,155639880
552,AgForest,FLR Agriculture,67395035.65
553,AgForest,FLR Agriculture,93220572.42
554,AgForest,FLR Logging,135036000
582,AgForest,FLR Agriculture,786712.478
624,AgForest,FLR Agriculture,2000774.945
632,AgForest,FLR Logging,1029524.972
633,AgForest,FLR Agriculture,2942887.419
662,AgForest,FLR Agriculture,5924624.837
690,AgForest,FLR Agriculture,2525249.93
704,AgForest,FLR Logging,747862.4788
705,AgForest,FLR Agriculture,48057448.69
706,AgForest,FLR Agriculture,6653062.317
707,AgForest,FLR Agriculture,87917547.58
708,AgForest,FLR Agriculture,68249735.6
898,AgForest,FLR Logging,126262.497
899,AgForest,FLR Logging,77699.99802
901,AgForest,FLR Logging,1029524.972
902,AgForest,FLR Logging,8129362.275
904,AgForest,FLR Logging,446774.9878
930,AgForest,FLR Agriculture,1135800000
931,AgForest,FLR Agriculture,75835197.9
971,AgForest,FLR Logging,252524.993
978,AgForest,FLR Logging,77699.99802
979,AgForest,FLR Logging,271949.992
981,AgForest,FLR Logging,97124.99701
