AZONE,BZONE,TYPE,STATE,COUNTY,ACRES,MPO,ACT,DESCRIPTION
1,1,OR,OR,Multnomah,80.71,Metro,ACT2,AZONE 1
2,1,OR,OR,Multnomah,78.48,Metro,ACT2,AZONE 2
3,1,OR,OR,Multnomah,41.47,Metro,ACT2,AZONE 3
4,1,OR,OR,Multnomah,37.68,Metro,ACT2,AZONE 4
5,1,OR,OR,Multnomah,32.11,Metro,ACT2,AZONE 5
6,1,OR,OR,Multnomah,26.53,Metro,ACT2,AZONE 6
7,1,OR,OR,Multnomah,80.05,Metro,ACT2,AZONE 7
8,1,OR,OR,Multnomah,123.75,Metro,ACT2,AZONE 8
9,1,OR,OR,Multnomah,67.78,Metro,ACT2,AZONE 9
10,1,OR,OR,Multnomah,74.47,Metro,ACT2,AZONE 10
11,1,OR,OR,Multnomah,59.98,Metro,ACT2,AZONE 11
12,1,OR,OR,Multnomah,50.39,Metro,ACT2,AZONE 12
13,1,OR,OR,Multnomah,63.55,Metro,ACT2,AZONE 13
14,1,OR,OR,Multnomah,42.59,Metro,ACT2,AZONE 14
15,1,OR,OR,Multnomah,108.14,Metro,ACT2,AZONE 15
16,1,OR,OR,Multnomah,63.55,Metro,ACT2,AZONE 16
17,17,OR,OR,Multnomah,378.15,Metro,ACT2,AZONE 17
18,17,OR,OR,Multnomah,301.68,Metro,ACT2,AZONE 18
19,19,OR,OR,Multnomah,1629.23,Metro,ACT2,AZONE 19
20,19,OR,OR,Multnomah,684.29,Metro,ACT2,AZONE 20
21,19,OR,OR,Multnomah,770.13,Metro,ACT2,AZONE 21
22,19,OR,OR,Multnomah,547.83,Metro,ACT2,AZONE 22
23,19,OR,OR,Multnomah,912.39,Metro,ACT2,AZONE 23
24,19,OR,OR,Multnomah,3016.32,Metro,ACT2,AZONE 24
25,19,OR,OR,Multnomah,2203.37,Metro,ACT2,AZONE 25
26,19,OR,OR,Multnomah,2240.61,Metro,ACT2,AZONE 26
27,19,OR,OR,Multnomah,3661.81,Metro,ACT2,AZONE 27
28,17,OR,OR,Multnomah,133.11,Metro,ACT2,AZONE 28
29,17,OR,OR,Multnomah,238.35,Metro,ACT2,AZONE 29
30,17,OR,OR,Multnomah,696.55,Metro,ACT2,AZONE 30
31,31,OR,OR,Multnomah,434.12,Metro,ACT2,AZONE 31
32,31,OR,OR,Multnomah,191.53,Metro,ACT2,AZONE 32
33,17,OR,OR,Multnomah,239.25,Metro,ACT2,AZONE 33
34,31,OR,OR,Multnomah,655.3,Metro,ACT2,AZONE 34
35,31,OR,OR,Multnomah,235.9,Metro,ACT2,AZONE 35
36,31,OR,OR,Multnomah,124.86,Metro,ACT2,AZONE 36
37,37,OR,OR,Multnomah,225.2,Metro,ACT2,AZONE 37
