SPG Sector,2010WorkersPerJobFactor
RES_agmin_ag,0.580076274
RES_forst_log,0.580076274
RES_offc_off,0.580076274
ENGY_elec_hi,0.46080958
ENGY_ngas_hi,0.46080958
ENGY_ptrl_hi,0.46080958
ENGY_offc_off,0.46080958
CNST_main_xxx,0.781191168
CNST_nres_xxx,0.781191168
CNST_othr_xxx,0.781191168
CNST_res_xxx,0.781191168
CNST_offc_off,0.781191168
MFG_food_hi,0.855270499
MFG_food_li,0.855270499
MFG_htec_hi,0.855270499
MFG_htec_li,0.855270499
MFG_hvtw_hi,0.855270499
MFG_hvtw_li,0.855270499
MFG_lvtw_hi,0.855270499
MFG_wdppr_hi,0.855270499
MFG_offc_off,0.855270499
WHSL_whsl_ware,0.799139478
WHSL_offc_off,0.799139478
RET_auto_ret,0.837541317
RET_stor_ret,0.837541317
RET_stor_off,0.837541317
RET_nstor_off,0.837541317
TRNS_trns_ware,0.900827423
TRNS_trns_off,0.900827423
INFO_info_off_li,0.814391715
INFO_info_off,0.814391715
UTL_othr_off_li,0.625817545
UTL_othr_off,0.625817545
FIRE_fnin_off,0.522375769
FIRE_real_off,0.522375769
HLTH_hosp_hosp,0.727270991
HLTH_care_inst,0.727270991
HLTH_othr_off_li,0.727270991
K12_k12_k12,0.729487128
K12_k12_off,0.729487128
HIED_hied_off_inst,1
ENT_ent_ret,0.822358152
HOSP_acc_acc,0.802964725
HOSP_eat_ret_acc,0.802964725
SERV_tech_off,0.547221504
SERV_site_li,0.547221504
SERV_home_xxx,0.547221504
SERV_bus_off,0.547221504
SERV_nonp_off_inst,0.547221504
SERV_stor_ret,0.547221504
GOV_admn_gov,0.53026618
GOV_offc_off,0.53026618
