AlphaZone,PecasZone,FIPS
1,1,41051
2,1,41051
3,1,41051
4,1,41051
5,1,41051
6,1,41051
7,1,41051
8,1,41051
9,1,41051
10,1,41051
11,1,41051
12,1,41051
13,1,41051
14,1,41051
15,1,41051
16,1,41051
17,17,41051
18,17,41051
19,19,41051
20,19,41051
21,19,41051
22,19,41051
23,19,41051
24,19,41051
25,19,41051
26,19,41051
27,19,41051
28,17,41051
29,17,41051
30,17,41051
31,31,41051
32,31,41051
33,17,41051
34,31,41051
35,31,41051
36,31,41051
37,37,41051
38,31,41051
39,31,41051
40,37,41051
41,37,41051
42,31,41051
43,31,41051
44,1,41051
45,1,41051
46,31,41051
47,31,41051
48,31,41051
49,31,41051
50,31,41051
51,31,41051
52,37,41051
53,37,41051
54,37,41051
55,37,41051
56,31,41051
57,31,41051
58,31,41051
59,31,41051
60,37,41051
61,37,41051
62,37,41051
63,37,41051
64,37,41051
65,37,41051
66,37,41051
67,37,41051
68,37,41051
69,37,41051
70,37,41051
71,37,41051
72,37,41051
73,37,41051
74,37,41051
75,37,41051
76,37,41005
77,37,41005
78,37,41005
79,79,41067
80,79,41067
81,81,41067
82,81,41067
83,81,41067
84,81,41067
85,81,41067
86,81,41067
87,81,41067
88,81,41067
89,89,41067
90,89,41067
91,81,41067
92,89,41067
93,81,41067
94,81,41067
95,81,41067
96,81,41067
97,81,41067
98,81,41067
99,81,41067
100,79,41067
101,79,41067
102,79,41067
103,19,41067
104,104,41067
105,79,41067
106,79,41067
107,79,41067
108,79,41067
109,81,41067
110,81,41067
111,81,41067
112,81,41067
113,81,41067
114,114,41067
115,114,41067
116,89,41067
117,117,41067
118,114,41067
119,114,41067
120,114,41067
121,114,41067
122,114,41067
123,114,41067
124,114,41067
125,81,41067
126,81,41067
127,79,41067
128,79,41067
129,104,41067
130,104,41067
131,104,41067
132,104,41067
133,79,41067
134,79,41067
135,79,41067
136,79,41067
137,79,41067
138,79,41067
139,79,41067
140,79,41067
141,79,41067
142,114,41067
143,114,41067
144,114,41067
145,114,41067
146,114,41067
147,114,41067
148,114,41067
149,114,41067
150,150,41067
151,150,41067
152,150,41067
153,150,41067
154,154,41067
155,154,41067
156,154,41067
157,154,41067
158,154,41067
159,154,41067
160,154,41067
161,161,41067
162,161,41067
163,104,41067
164,161,41067
165,104,41067
166,104,41067
167,104,41067
168,104,41067
169,104,41067
170,161,41067
171,161,41067
172,161,41067
173,161,41067
174,161,41067
175,161,41067
176,154,41067
177,154,41067
178,154,41067
179,154,41067
180,154,41067
181,150,41067
182,154,41067
183,154,41067
184,154,41067
185,154,41067
186,154,41067
187,154,41067
188,154,41067
189,154,41067
190,154,41067
191,154,41067
192,161,41067
193,161,41067
194,161,41067
195,161,41067
196,161,41067
197,161,41067
198,161,41067
199,161,41067
200,161,41067
201,161,41067
202,161,41067
203,161,41067
204,161,41067
205,104,41067
206,104,41067
207,161,41067
208,161,41067
209,161,41067
210,161,41067
211,161,41067
212,161,41067
213,161,41067
214,161,41067
215,161,41067
216,154,41067
217,154,41067
218,154,41067
219,154,41067
220,154,41067
221,150,41067
222,150,41067
223,223,41067
224,223,41067
225,223,41067
226,223,41067
227,223,41067
228,161,41067
229,229,41067
230,229,41067
231,229,41067
232,223,41067
233,223,41067
234,223,41067
235,223,41067
236,223,41067
237,223,41067
238,223,41067
239,229,41067
240,229,41067
241,229,41067
242,229,41067
243,229,41067
244,244,41067
245,229,41067
246,244,41067
247,244,41067
248,244,41067
249,229,41067
250,229,41067
251,229,41067
252,229,41067
253,229,41067
254,229,41067
255,229,41067
256,223,41067
257,223,41067
258,223,41067
259,223,41067
260,223,41067
261,223,41067
262,223,41067
263,223,41067
264,223,41067
265,223,41067
266,223,41067
267,267,41067
268,267,41067
269,267,41067
270,267,41067
271,271,41067
272,271,41067
273,273,41067
274,271,41067
275,267,41067
276,273,41067
277,267,41067
278,267,41067
279,267,41067
280,273,41067
281,273,41067
282,273,41067
283,273,41067
284,273,41067
285,273,41067
286,273,41067
287,150,41067
288,244,41067
289,244,41067
290,290,41067
291,244,41067
292,244,41067
293,244,41067
294,294,41067
295,294,41067
296,244,41067
297,244,41067
298,244,41067
