FROMNODE,TONODE,DIRECTION,STATIONNUMBER
14271,14270,IN,1
14272,14273,OUT,1
14267,14280,IN,2
14280,14267,OUT,2
2619,13861,IN,3
13861,2619,OUT,3
13985,13986,IN,4
13988,13987,OUT,4
13990,13989,IN,5
13989,13990,OUT,5
13998,13970,IN,6
13970,13998,OUT,6
13902,13971,IN,7
13971,13902,OUT,7
13892,14027,IN,8
14027,13892,OUT,8
14278,14283,IN,9
14283,14278,OUT,9
13858,13857,IN,10
13857,13858,OUT,10
13860,13859,IN,11
13859,13860,OUT,11
50569,14236,IN,12
14236,50569,OUT,12
2646,50580,IN,14
50580,2646,OUT,14
13900,13901,IN,15
13901,13900,OUT,15
13902,50579,IN,16
50579,13902,OUT,16
13972,14058,IN,17
14058,13972,OUT,17
