"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"1",1209366.81785,0,13389.9272861,1961.49971828,0,270.174273155,163214.914502,1243491.58491,24761.4509098,0,267162.620588,0,4209471.69961,1051420.47971,0,4170.03400781,26109.113185,95491.9112312
"2",4102.5450154,0,29685.1971198,245.187464784,0,0,31352.5594342,28586.0134467,246.628749472,0,79638.3343501,0,2104733.34301,116715.281189,0,9243.17646852,57912.5346036,9795.79455588
"3",0,0,882.333748603,0,45436.1938072,0,22684.5935148,0,191.675482937,0,256708.584483,0,612447.157402,22772.6877604,0,2422.59224433,20653.3608646,56322.9710814
"4",16410.1800614,0,0,0,0,0,27792.5445611,0,493.44634178,0,312268.176565,0,352723.251296,200996.111692,0,2991.51923777,18730.2823459,2447.52483162
"5",0,0,46997.9866654,0,0,0,8778.78813973,0,0,0,253819.071093,0,43366.2744407,6812.3098186,0,2743.76273041,17179.0473477,96794.6949552
"6",0,0,39148.6674382,0,0,0,0,0,0,0,207113.899886,0,4266.90881808,435.804331835,0,2242.13003662,14095.0108114,76535.3401968
"7",0,0,121858.088643,8091.18633788,6282.52658081,0,4210.05273488,0,3165.7613753,0,640674.785494,0,122379.464581,128919.23604,0,6947.78575223,43500.9700726,22034.8425213
"8",0,0,119205.424695,0,10803.3623843,0,36024.3714203,41449.7194981,9403.42923429,0,760515.837008,0,740896.293654,543654.435425,0,15207.1686907,95214.0168986,1655480.73712
"9",14358.9075537,0,5892.07822912,0,0,0,34922.7032195,714.650336169,4006.86738613,0,447618.337683,0,1777980.37425,596768.088364,0,7680.74793294,48090.1394823,0
"10",341678.547084,0,0,0,1298.39480664,0,208834.941077,1823073.00753,41493.1154053,0,433323.01707,6255.79677039,3881312.54159,737393.353699,932.547908759,0,0,14686.5727973
"11",58319.5919149,0,63501.5871594,0,0,0,74246.1210587,2858.60134467,2851.526889,0,1005212.89497,2600.15965351,201933.715843,290127.176799,387.604255046,10771.1501821,67439.5409337,2447.52483162
"12",46295.3059777,0,29365.0380716,74046.6143644,1478.24154841,240455.103112,82494.6308319,939050.541728,3345.917445,0,626722.000848,0,5813651.44904,193189.145383,0,6771.34273842,42396.2379274,78359.2374101
"13",77948.3552925,0,30974.4596756,0,369.560387104,0,20018.9020434,209392.548496,1467.30886939,0,168205.805737,0,1026931.19019,59407.0115495,0,11924.2060632,74658.970438,0
