,ureslo,uresmed,uresmdh,ureshi,umix,umixhi,ucom,uindlt,uind,upub,uoth,ubigany,uany,unonindany,rres,rcntr,rcom,rind,rpub,rreserve,rany,rfor,rnatrs,xrec,xagfor,xcons,xhalo,xother,xother2,xwater,xtp
FLR MH,H,H,H,M,L,L,VL,VL,VL,NP,NP,H,VH,VH,L,H,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR MF,NP,L,H,VH,VH,VH,L,VL,VL,NP,NP,VH,VH,VH,NP,M,NP,NP,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR AT,M,H,VH,VH,VH,VH,L,VL,VL,NP,NP,VH,VH,VH,VL,M,NP,NP,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR SFD,VH,VH,H,M,M,M,L,VL,VL,NP,NP,VH,VH,VH,M,VH,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR RRMH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP,NP,NP,H,VL,VL,NP,VL,NP,NP,NP,NP,NP,NP
FLR RRSFD,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP,NP,NP,H,VL,VL,NP,VL,NP,NP,NP,NP,NP,NP
FLR Accommodation,NP,NP,NP,NP,M,VH,VH,L,VL,NP,NP,H,VH,VH,L,L,H,L,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Government Support,NP,NP,NP,NP,H,H,H,M,L,M,NP,H,VH,VH,VL,M,M,M,L,NP,H,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR K12,M,M,M,M,M,M,L,L,VL,M,NP,VH,VH,VH,M,M,L,L,L,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Heavy Industry,NP,NP,NP,NP,L,L,VL,M,VH,NP,NP,M,VH,VH,NP,L,L,H,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Hospital,NP,NP,NP,NP,M,M,H,L,VL,L,NP,H,VH,VH,NP,L,L,L,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Institutional,L,L,L,L,M,VH,M,L,VL,L,NP,VH,VH,VH,VL,L,L,L,VL,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Light Industry,NP,NP,NP,NP,L,L,L,VH,VH,NP,NP,M,VH,VH,NP,M,M,H,NP,NP,H,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Office,NP,NP,NP,NP,H,H,VH,M,M,NP,NP,VH,VH,VH,VL,M,VH,L,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Retail,NP,NP,NP,NP,VH,VH,VH,L,L,NP,NP,VH,VH,VH,VL,M,VH,L,NP,NP,H,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
FLR Warehouse,NP,NP,NP,NP,L,L,L,H,VH,L,NP,H,VH,VH,VL,L,L,M,L,NP,H,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP
