Activity,CompositeUtility,Size
ACCOMMODATIONS,1.468850571754719,1.66068736E9
AGRICULTURE AND MINING-Agriculture,1.4136570829139605,9.932875776E9
AGRICULTURE AND MINING-Office,1.4061133992462653,2.01041136E8
COMMUNICATIONS AND UTILITIES-Light Industry,1.362320053084811,1.3171545088E10
COMMUNICATIONS AND UTILITIES-Office,2.1761800536105023,1.487377664E9
CONSTRUCTION,1.1859644139167165,2.1311062016E10
ELECTRONICS AND INSTRUMENTS-Light Industry,-3.1287141718862843,2.5705314304E10
ELECTRONICS AND INSTRUMENTS-Office,2.207667159142251,2.465056512E9
FIRE BUSINESS AND PROFESSIONAL SERVICES,1.075704591523697,4.6698979328E10
FOOD PRODUCTS-Heavy Industry,0.4613092094845638,6.164768256E9
FOOD PRODUCTS-Light Industry,0.4386202209798809,2.938570752E9
FOOD PRODUCTS-Office,2.1663994186361735,2.21684832E8
FORESTRY AND LOGGING,3.401277747271953,1.783241216E9
GOVERNMENT ADMINISTRATION-Government Support,1.5101892283428509,1.4186724352E10
GOVERNMENT ADMINISTRATION-Office,1.6200694121740153,1.339913728E9
HEALTH SERVICES-Hospital,1.162856342615477,5.160324096E9
HEALTH SERVICES-Institutional,1.4647745199304463,1.195848192E9
HEALTH SERVICES-Office,1.302056050740965,8.05735168E9
HIGHER EDUCATION,1.6841102323164652,2.50446848E9
HOMEBASED SERVICES,3.58217116507846,1.53052368E8
LOWER EDUCATION-Grade School,0.4569287670829722,6.580653056E9
LOWER EDUCATION-Office,1.3881103489900901,2.79941024E8
LUMBER AND WOOD PRODUCTS-Heavy Industry,1.0498694281675847,5.10070016E9
LUMBER AND WOOD PRODUCTS-Office,2.213107149340279,1.55906976E8
OTHER DURABLES-Heavy Industry,0.5522188562485724,1.1809335296E10
OTHER DURABLES-Light Industry,0.5402633943626309,3.647344128E9
OTHER DURABLES-Office,2.231559831894708,1.148987904E9
OTHER NON-DURABLES-Heavy Industry,0.5221737401889692,3.633450496E9
OTHER NON-DURABLES-Light Industry,0.5212633060219414,2.518724864E9
OTHER NON-DURABLES-Office,2.2102949497244784,6.54164096E8
PERSONAL AND OTHER SERVICES AND AMUSEMENTS,1.2508745368002265,1.4271724544E10
PULP AND PAPER-Heavy Industry,0.6525671322148077,5.003561984E9
PULP AND PAPER-Office,2.008953158655894,1.62021312E8
RETAIL TRADE-Office,2.2008189130110445,3.8650544E8
RETAIL TRADE-Retail,0.8790614991588621,6.3493951488E10
TRANSPORT-Depot,1.0457741368732096,8.965426176E9
TRANSPORT-Office,2.1798801802114838,8.61565376E8
WHOLESALE TRADE-Office,2.139096659228175,2.836820224E9
WHOLESALE TRADE-Warehouse,0.5106103919173062,4.3270455296E10
Capitalists,-24.34514279946463,1.153687296E9
GovInstitutions,-6.159976080984174,2.508820992E9
HH0to5k1to2,-497636.6074642867,85499.0
HH0to5k3plus,-592708.0384274723,16556.0
HH5to10k1to2,-475720.413445696,192723.0
HH5to10k3plus,-587768.1194471366,37173.0
HH10to15k1to2,-526655.6895903398,188110.0
HH10to15k3plus,-685058.5073186194,58740.0
HH15to20k1to2,-617088.8470177207,176864.0
HH15to20k3plus,-845415.9805924398,69528.0
HH20to30k1to2,-685639.8178637668,278580.0
HH20to30k3plus,-876226.4300479129,175287.0
HH30to40k1to2,-857427.8115554585,186618.0
HH30to40k3plus,-1236259.1255808626,176562.0
HH40to50k1to2,-1030615.0509393542,113166.0
HH40to50k3plus,-1472944.7184212916,136352.0
HH50to70k1to2,-1367974.2686056893,107149.0
HH50to70k3plus,-1895645.2426884877,145527.0
HH70kUp1to2,-946150.8912097897,76243.0
HH70kUp3plus,-1558510.3428200397,107416.0
SCTG01 Exporters,2.5298578195594987,3.42823552E8
SCTG01 Importers,2.5227040667771297,2.23818736E8
SCTG02 Exporters,2.3925362346936745,7.7951155E8
SCTG02 Importers,1.4124811255362753,3.19612416E8
SCTG03 Exporters,2.279111856442075,2.44759706E9
SCTG03 Importers,2.133334776471959,5.0002016E8
SCTG04 Exporters,2.3688508417714327,4.61706432E8
SCTG04 Importers,1.6774675358186049,5.5105184E8
SCTG05 Exporters,1.813829303586037,7.2356256E8
SCTG05 Importers,2.2917525286681446,9.3803053E8
SCTG06 Exporters,1.8528517100845658,2.51279424E8
SCTG06 Importers,2.213626930760255,6.7127571E8
SCTG07 Exporters,1.961044373329452,4.7063777E9
SCTG07 Importers,2.115907272147491,2.86896717E9
SCTG08 Exporters,2.2241012010030072,4.23540224E8
SCTG08 Importers,1.8836478798021998,5.11561408E8
SCTG09 Exporters,2.0804730161905387,1754048.0
SCTG09 Importers,2.821031400979253,5.23386496E8
SCTG10 Exporters,2.2095693655157596,1.66257744E8
SCTG10 Importers,1.5056338935741838,1.282792E8
SCTG11 Exporters,-2.3388974446642345,3.3682792E7
SCTG11 Importers,-4.252850586351171,1.114643E7
SCTG12 Exporters,-10.516291951183518,1.90881776E8
SCTG12 Importers,-9.334962379838668,6.3113396E7
SCTG13 Exporters,0.2644537048324346,4.2788932E7
SCTG13 Importers,-0.24905574971799302,4.0927336E7
SCTG14 Exporters,3.3612298381491152,2.7456992E8
SCTG14 Importers,3.1249414490335483,3.93873E7
SCTG15 Exporters,-0.17544287053391788,8.113776E7
SCTG15 Importers,1.0150708434194649,4.93374752E8
SCTG19 Exporters,4.450284216730362,9038336.0
SCTG19 Importers,1.8284426921172485,1.01383552E9
SCTG20 Exporters,3.2920580695346024,1.1556032E8
SCTG20 Importers,1.743207156567117,7.5410362E8
SCTG21 Exporters,1.725541642314307,3.8193792E7
SCTG21 Importers,1.9243777491383522,1.31143424E9
SCTG22 Exporters,1.8654492648054346,5.4922208E7
SCTG22 Importers,1.4366559560087229,1.74612608E8
SCTG23 Exporters,1.9167731705819202,2.52679296E8
SCTG23 Importers,2.136724257973286,1.52265728E9
SCTG24 Exporters,2.223608793117988,1.78963098E9
SCTG24 Importers,2.243507921135465,3.11256986E9
SCTG25 Exporters,2.2769122260948205,1.27930829E9
