AZone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
1,0,0.38722,0.005769,0.011011,0,0.000735,1.255859,0.01391,1.46766,0.009273,0.00248,0.199858,0.110113,3.903779,1.357309,0.07909,0,43560
2,0,0.115426,0.01279,0.024424,0,0.00163,0.025608,0.001712,0.01464,0.079338,0.00496,0.069134,0.009754,2.06427,0.174916,0.001719,43560,0
3,0,0.372069,0.00038,0.00871,0,0.000427,0,0,0,0,0,0.036778,0.000961,0.443127,0.045066,0.0516,0,0
4,0,0.452596,0.000029,0.007899,0,0.000528,0.017072,0,0,0,0,0.047423,0.002077,0.331855,0.347288,0,0,0
5,0,0.367881,0.020249,0.007245,0,0.000484,0,0,0,0,0,0.014456,0,0.041625,0.0138,0.058497,0,0
6,0,0.300187,0.016867,0.005944,0,0.000395,0,0,0,0,0,0,0.00027,0.002752,0.000456,0.061659,0,0
7,0,0.928582,0.052503,0.018346,0,0.001225,0,0.000214,0,0,0,0.006807,0.001016,0.137953,0.136223,0.008597,0,0
8,0,1.102277,0.05136,0.040155,0,0.002682,0,0,0.017568,0.003296,0,0.064391,0.019704,0.71191,0.671683,1.109396,0,0
9,0.00001,0.64877,0.002539,0.020281,0,0.001354,0.014938,0.000214,0.001464,0.002472,0.000248,0.062283,0.024752,1.651258,0.816646,0.003439,0,0
10,0.013088,0.62805,0.000003,0.000014,0.000074,0.000001,0.351043,0.000856,1.67262,0.007773,0.002976,0.447128,0.223019,3.552553,1.141628,0.022352,43560,0
11,0.00544,1.456937,0.02736,0.028441,0.000031,0.001899,0.060819,0,0.004392,0.000412,0,0.123503,0.014274,0.20151,0.3331,0,0,0
12,0,0.908359,0.012652,0.01788,0,0.001194,0.034883,0.529436,0.787632,0.008631,0.220224,0.229787,0.028424,4.971532,0.297198,0.082546,0,0
13,0,0.243794,0.013345,0.031486,0,0.002103,0.086427,0,0.083448,0,0.001488,0.039682,0.010574,0.965959,0.116172,0,0,0
14,0,0.213078,0.010036,0.025184,0,0.001675,0.059006,0,0,0,0,0,0,0.114495,0.001554,0,0,0
15,0,0.59679,0.02277,0.046956,0,0.003136,0.003201,0.002782,0.057828,0,0.390352,0.105443,0.025023,1.799403,0.151543,0.008797,43560,0
16,0,0.521838,0.024827,0.016207,0,0.001082,0,0.001498,0,0,0,0.278638,0.003532,0.14497,0.125492,0,0,0
17,0.01161,1.319224,0.250842,0.346287,0.00007,0.023262,0.014938,0,0.147864,0.05198,0.000248,0.048087,0.226354,1.403921,0.641401,3.651529,0,0
18,0.000329,0.85672,0.273951,0.686564,0.000008,0.046051,0.020273,0,0.00366,0.203116,0,0.006931,0.102634,0.690513,0.204175,0.008599,0,0
19,0.002933,0.069808,0.066498,0.265774,0.003424,0.120833,0,0,0.000744,0.421514,0,0.016659,0.134536,1.307313,0.167966,7.216245,0,0
20,0.004294,0.021918,0.084981,0.462472,0.000024,0.030884,0,0,0,0,0,0.007735,0,0.001105,0,0,0,0
21,0.00001,0.00499,0.00155,0.502586,0,0.032249,0,0,0,0,0,0,0,0.025622,0.008497,0,43560,0
22,0.00475,0.020997,0.093109,0.370826,0.000027,0.024768,0,0,0,0,0,0,0,0.000262,0,0,0,0
23,0.00786,0.035376,0.154295,0.633067,0.000044,0.040961,0,0,0.027904,0.011898,0,0.004102,0.000242,0.02003,0.02367,0.00268,0,0
24,0.01614,0.072952,0.313936,1.284515,0.001331,0.212819,0,0,0,0,0,0,0,0.00416,0.007072,0.010336,40510836.38,0
25,0.002977,0.015,0.030016,0.174431,0.004936,0.175429,0,0,0.000872,0.605514,0.00025,0.001012,0.136983,0.301498,0.008718,4.157605,0,0
