Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search
SCTG01_FKP_LVSK,101,5.871516844,5.871516844,1,-1,0.00005,1,1,0,-0.3402477,-2.6601181,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG02_FKP_AGRI_cereal,102,11.05440607,11.05440607,1,-1,0.00005,1,1,0,-0.3402477,-2.6601181,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG03_FKP_AGRI_other,103,25.40718515,25.40718515,1,-1,0.00005,1,1,0,-0.3402477,-2.6601181,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG04_FKP_FEED,104,208.5848862,14.56457066,1,-1,0.0001,1,1,0.0001,-0.3402477,-2.186664,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG05_FKP_FOOD_meat,105,86.96795133,14.71767503,1,-1,0.0003,1,1,0.0003,-0.3402477,-1.5474883,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG06_FKP_AGRI_grain,106,87.21319732,19.56009799,1,-1,0.0003,1,1,0.0003,-0.3402477,-1.4847171,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG07_FKP_FOOD_prep,107,128.8250132,15.65566424,1,-1,0.0002,1,1,0.0002,-0.3402477,-1.5467249,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG08_FKP_FOOD_alc,108,131.0136536,14.28635405,1,-1,0.0002,1,1,0.0002,-0.3402477,-1.4847171,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG10_CMS_CLAY,110,13.55865058,13.55865058,1,-1,0.0005,1,1,0,-0.3402477,-1.6579341,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG11_CMS_SAND,111,20.13922558,20.13922558,1,-1,0.0003,1,1,0,-0.3402477,-1.6579341,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
