origin,destination,tripStartTime,truckClass,truckVolume
5001,5001,700,TRK3,0
5001,5002,700,TRK3,0
5001,5003,700,TRK3,3.65
5001,5004,700,TRK3,1.51
5001,5005,700,TRK3,1.33
5001,5006,700,TRK3,0.11
5001,5007,700,TRK3,0.77
5001,5008,700,TRK3,0.18
5001,5009,700,TRK3,1.1
5001,5010,700,TRK3,7.31
5001,5011,700,TRK3,0.78
5002,5001,700,TRK3,0
5002,5002,700,TRK3,0
5002,5003,700,TRK3,27.4
5002,5004,700,TRK3,11.29
5002,5005,700,TRK3,9.99
5002,5006,700,TRK3,0.8
5002,5007,700,TRK3,5.74
5002,5008,700,TRK3,1.37
5002,5009,700,TRK3,8.23
5002,5010,700,TRK3,54.8
5002,5011,700,TRK3,5.82
5003,5001,700,TRK3,4.97
5003,5002,700,TRK3,24.44
5003,5003,700,TRK3,0
5003,5004,700,TRK3,0
5003,5005,700,TRK3,0
5003,5006,700,TRK3,0
5003,5007,700,TRK3,0.03
5003,5008,700,TRK3,0
5003,5009,700,TRK3,0.01
5003,5010,700,TRK3,0.04
5003,5011,700,TRK3,0
5004,5001,700,TRK3,2.83
5004,5002,700,TRK3,13.89
5004,5003,700,TRK3,0
5004,5004,700,TRK3,0
5004,5005,700,TRK3,0
5004,5006,700,TRK3,0
5004,5007,700,TRK3,0.02
5004,5008,700,TRK3,0
5004,5009,700,TRK3,0
5004,5010,700,TRK3,0.02
5004,5011,700,TRK3,0
5005,5001,700,TRK3,1.62
5005,5002,700,TRK3,7.98
5005,5003,700,TRK3,0
5005,5004,700,TRK3,0
5005,5005,700,TRK3,0
5005,5006,700,TRK3,0
5005,5007,700,TRK3,0.01
5005,5008,700,TRK3,0
5005,5009,700,TRK3,0
5005,5010,700,TRK3,0.01
5005,5011,700,TRK3,0
5006,5001,700,TRK3,0.19
5006,5002,700,TRK3,0.93
5006,5003,700,TRK3,0
5006,5004,700,TRK3,0
5006,5005,700,TRK3,0
5006,5006,700,TRK3,0
5006,5007,700,TRK3,0
5006,5008,700,TRK3,0
5006,5009,700,TRK3,0
5006,5010,700,TRK3,0
5006,5011,700,TRK3,0
5007,5001,700,TRK3,0.94
5007,5002,700,TRK3,4.61
5007,5003,700,TRK3,0.01
5007,5004,700,TRK3,0
5007,5005,700,TRK3,0
5007,5006,700,TRK3,0
5007,5007,700,TRK3,0
5007,5008,700,TRK3,0
5007,5009,700,TRK3,0
5007,5010,700,TRK3,0
5007,5011,700,TRK3,0
5008,5001,700,TRK3,0.17
5008,5002,700,TRK3,0.84
5008,5003,700,TRK3,0
5008,5004,700,TRK3,0
5008,5005,700,TRK3,0
5008,5006,700,TRK3,0
5008,5007,700,TRK3,0
5008,5008,700,TRK3,0
5008,5009,700,TRK3,0
5008,5010,700,TRK3,0
