SPG Sector,1990WorkersPerJobFactor
RES_agmin_ag,1
RES_forst_log,1
RES_offc_off,1
ENGY_elec_hi,1
ENGY_ngas_hi,1
ENGY_ptrl_hi,1
ENGY_offc_off,1
CNST_main_xxx,1
CNST_nres_xxx,1
CNST_othr_xxx,1
CNST_res_xxx,1
CNST_offc_off,1
MFG_food_hi,1
MFG_food_li,1
MFG_htec_hi,1
MFG_htec_li,1
MFG_hvtw_hi,1
MFG_hvtw_li,1
MFG_lvtw_hi,1
MFG_wdppr_hi,1
MFG_offc_off,1
WHSL_whsl_ware,1
WHSL_offc_off,1
RET_auto_ret,1
RET_stor_ret,1
RET_stor_off,1
RET_nstor_off,1
TRNS_trns_ware,1
TRNS_trns_off,1
INFO_info_off_li,1
INFO_info_off,1
UTL_othr_off_li,1
UTL_othr_off,1
FIRE_fnin_off,1
FIRE_real_off,1
HLTH_hosp_hosp,1
HLTH_care_inst,1
HLTH_othr_off_li,1
K12_k12_k12,1
K12_k12_off,1
HIED_hied_off_inst,1
ENT_ent_ret,1
HOSP_acc_acc,1
HOSP_eat_ret_acc,1
SERV_tech_off,1
SERV_site_li,1
SERV_home_xxx,1
SERV_bus_off,1
SERV_nonp_off_inst,1
SERV_stor_ret,1
GOV_admn_gov,1
GOV_offc_off,1
