ZoneNumber,ZoneName,External
1,Portland,false
17,Portland,false
19,Portland,false
31,Portland,false
37,Portland,false
79,Portland,false
81,Portland,false
89,Portland,false
104,Portland,false
114,Portland,false
117,Portland,false
150,Portland,false
154,Portland,false
161,Portland,false
223,Portland,false
229,Portland,false
244,Portland,false
267,Portland,false
271,Portland,false
273,Portland,false
290,Portland,false
294,Portland,false
323,Portland,false
355,Portland,false
361,Portland,false
385,Portland,false
404,Portland,false
405,Portland,false
411,Portland,false
418,Portland,false
441,Portland,false
444,Portland,false
468,Portland,false
481,Portland,false
499,Portland,false
504,Portland,false
536,Portland,false
542,Portland,false
570,Portland,false
575,Portland,false
618,Portland,false
623,Portland,false
636,Portland,false
714,Portland,false
715,Portland,false
721,Portland,false
727,Portland,false
733,Portland,false
763,Portland,false
776,Portland,false
851,Portland,false
852,Portland,false
866,Portland,false
869,Portland,false
905,Portland,false
970,Vancouver,false
991,Vancouver,false
1000,Vancouver,false
1002,Vancouver,false
1025,Vancouver,false
1044,Vancouver,false
1114,Vancouver,false
1131,Vancouver,false
1153,Vancouver,false
1175,Vancouver,false
1177,Vancouver,false
1292,Portland,false
1301,Salem,false
1303,Salem,false
1313,Salem,false
1314,Salem,false
1316,Salem,false
1318,Salem,false
1324,Salem,false
1328,Salem,false
1337,Salem,false
1364,Salem,false
1369,Salem,false
1374,Salem,false
1394,Salem,false
1401,Salem,false
1408,Salem,false
1415,Salem,false
1437,Salem,false
1453,Salem,false
1466,Salem,false
1468,Salem,false
1470,Salem,false
1501,Eugene,false
1502,Eugene,false
1503,Eugene,false
1505,Eugene,false
1525,Eugene,false
1553,Eugene,false
1562,Eugene,false
1588,Eugene,false
1598,Eugene,false
1617,Eugene,false
1630,Eugene,false
1639,Eugene,false
1650,Eugene,false
1658,Eugene,false
1701,Medford,false
1702,Medford,false
1706,Medford,false
1710,Medford,false
1715,Medford,false
1717,Medford,false
1719,Medford,false
1720,Medford,false
1723,Medford,false
1724,Medford,false
1726,Medford,false
1728,Medford,false
1732,Medford,false
1736,Other OR,false
1752,Medford,false
1774,Other OR,false
1775,Other OR,false
2009,Other OR,false
2011,Other OR,false
2018,Other OR,false
2023,Other OR,false
2025,Other OR,false
2028,Other OR,false
2031,Other OR,false
2035,Other OR,false
2042,Other OR,false
2045,Other OR,false
2046,Other OR,false
2051,Other OR,false
2056,Other OR,false
2059,Other OR,false
2063,Other OR,false
2072,Other OR,false
2073,Other OR,false
2076,Other OR,false
2092,Other OR,false
2094,Other OR,false
2098,Other OR,false
2109,Other OR,false
2111,Other OR,false
2112,Other OR,false
2119,Other OR,false
2122,Other OR,false
2123,Other OR,false
2126,Other OR,false
2134,Other OR,false
2139,Other OR,false
2148,Other OR,false
2156,Other OR,false
2162,Other OR,false
