Azone,Bzone,PECASName,ALDRegion,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,HourPark,DayPark,LUIntensityCode,MPOmodeledzones,ACT,Fare
1.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
2.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
3.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.73,6.31,High,Metro,2.0,TriMetFareless
4.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.73,6.31,High,Metro,2.0,TriMetFareless
5.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.73,6.31,Medium,Metro,2.0,TriMet1
6.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.73,6.31,Medium,Metro,2.0,TriMet1
7.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet1
8.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet1
9.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMetFareless
10.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
11.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
12.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
13.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
14.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,Medium,Metro,2.0,TriMetFareless
15.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
16.0,1.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.91,7.53,High,Metro,2.0,TriMetFareless
17.0,17.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet1
18.0,17.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet1
19.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
20.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
21.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
22.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
23.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
24.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
25.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
26.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
27.0,19.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1400.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
28.0,17.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet1
29.0,17.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet1
30.0,17.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet1
31.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
32.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
