distance,SU,TT,CS,DBL,TPT
0,0,0,0,0,0
1,1,1,1,1,1
2,1.3,1.3,1.3,1.3,1.3
3,1.8,1.8,1.8,1.8,1.8
4,2,2,2,2,2
5,2.1,2.1,2.1,2.1,2.1
6,2.3,2.3,2.3,2.3,2.3
7,2.5,2.5,2.5,2.5,2.5
8,2.6,2.6,2.6,2.6,2.6
9,2.55,2.55,2.55,2.55,2.55
10,2.5,2.5,2.5,2.5,2.5
11,2.45,2.45,2.45,2.45,2.45
12,2.4,2.4,2.4,2.4,2.4
13,2.25,2.25,2.25,2.25,2.25
14,2.1,2.1,2.1,2.1,2.1
15,1.8,1.8,1.8,1.8,1.8
16,1.6,1.6,1.6,1.6,1.6
17,1.5,1.5,1.5,1.5,1.5
18,1.4,1.4,1.4,1.4,1.4
19,1.3,1.3,1.3,1.3,1.3
20,1.2,1.2,1.2,1.2,1.2
21,1.1,1.1,1.1,1.1,1.1
22,1,1,1,1,1
23,0.9,0.9,0.9,0.9,0.9
24,0.8,0.8,0.8,0.8,0.8
25,0.75,0.75,0.75,0.75,0.75
26,0.7,0.7,0.7,0.7,0.7
27,0.675,0.675,0.675,0.675,0.675
28,0.65,0.65,0.65,0.65,0.65
29,0.625,0.625,0.625,0.625,0.625
30,0.6,0.6,0.6,0.6,0.6
31,0.585,0.585,0.585,0.585,0.585
32,0.57,0.57,0.57,0.57,0.57
33,0.565,0.565,0.565,0.565,0.565
34,0.55,0.55,0.55,0.55,0.55
35,0.54,0.54,0.54,0.54,0.54
36,0.53,0.53,0.53,0.53,0.53
37,0.52,0.52,0.52,0.52,0.52
38,0.51,0.51,0.51,0.51,0.51
39,0.5,0.5,0.5,0.5,0.5
40,0.49,0.49,0.49,0.49,0.49
41,0.48,0.48,0.48,0.48,0.48
42,0.47,0.47,0.47,0.47,0.47
43,0.46,0.46,0.46,0.46,0.46
44,0.45,0.45,0.45,0.45,0.45
45,0.44,0.44,0.44,0.44,0.44
46,0.43,0.43,0.43,0.43,0.43
47,0.42,0.42,0.42,0.42,0.42
48,0.41,0.41,0.41,0.41,0.41
49,0.4,0.4,0.4,0.4,0.4
50,0.39,0.39,0.39,0.39,0.39
51,0.38,0.38,0.38,0.38,0.38
52,0.37,0.37,0.37,0.37,0.37
53,0.36,0.36,0.36,0.36,0.36
54,0.35,0.35,0.35,0.35,0.35
55,0.34,0.34,0.34,0.34,0.34
56,0.33,0.33,0.33,0.33,0.33
57,0.32,0.32,0.32,0.32,0.32
58,0.31,0.31,0.31,0.31,0.31
59,0.3,0.3,0.3,0.3,0.3
60,0.29,0.29,0.29,0.29,0.29
61,0.28,0.28,0.28,0.28,0.28
62,0.27,0.27,0.27,0.27,0.27
63,0.26,0.26,0.26,0.26,0.26
64,0.25,0.25,0.25,0.25,0.25
65,0.24,0.24,0.24,0.24,0.24
66,0.23,0.23,0.23,0.23,0.23
67,0.22,0.22,0.22,0.22,0.22
68,0.21,0.21,0.21,0.21,0.21
69,0.2,0.2,0.2,0.2,0.2
70,0.19,0.19,0.19,0.19,0.19
71,0.18,0.18,0.18,0.18,0.18
72,0.17,0.17,0.17,0.17,0.17
73,0.16,0.16,0.16,0.16,0.16
74,0.15,0.15,0.15,0.15,0.15
75,0.14,0.14,0.14,0.14,0.14
76,0.13,0.13,0.13,0.13,0.13
77,0.12,0.12,0.12,0.12,0.12
78,0.11,0.11,0.11,0.11,0.11
79,0.1,0.1,0.1,0.1,0.1
80,0.09,0.09,0.09,0.09,0.09
81,0.08,0.08,0.08,0.08,0.08
82,0.07,0.07,0.07,0.07,0.07
83,0.06,0.06,0.06,0.06,0.06
84,0.05,0.05,0.05,0.05,0.05
85,0.04,0.04,0.04,0.04,0.04
86,0.03,0.03,0.03,0.03,0.03
87,0.02,0.02,0.02,0.02,0.02
88,0.01,0.01,0.01,0.01,0.01
89,0,0,0,0,0
90,0,0,0,0,0
