Industry,SU,TT,CS,DBL,TPT
CNST,0.2601,0.0289,0.1618,0.0113,0.0009
ENGY,0.2178,0.0242,0.0967,0.0068,0.0005
ENT,0.2277,0.0253,0.065,0,0
FIRE,0.0612,0.0068,0.009,0,0
GOV,0.0612,0.0068,0.009,0,0
HHOLD,0.0891,0.0099,0.038,0,0
HIED,0.0612,0.0068,0.009,0,0
HLTH,0.0612,0.0068,0.009,0,0
HOSP,0.2277,0.0253,0.065,0,0
INFO,0.0612,0.0068,0.009,0,0
K12,0.0612,0.0068,0.009,0,0
MFG,0.2178,0.0242,0.0967,0.0068,0.0005
RES,0.2601,0.0289,0.1618,0.0113,0.0009
RET,0.2277,0.0253,0.065,0,0
SERV,0.0612,0.0068,0.009,0,0
TRNS,0.2178,0.0242,0.0967,0.0068,0.0005
UTL,0.2178,0.0242,0.0967,0.0068,0.0005
WHSL,0.2178,0.0242,0.0967,0.0068,0.0005
