vehicle_type,sctg2,auto,livestock,bulk,flatbed,tank,dry_van,reefer,logging,other
SU,1,0,0,0.0066,0.04922,0.00111,0.00419,0.00173,0,0
SU,2,0,0,0.02675,0.0086,0.00103,0.00032,0.00003,0,0.00003
SU,3,0,0,0.01069,0.01981,0.00102,0.00996,0.00942,0,0.00147
SU,4,0,0,0.01463,0.02657,0.00562,0.00334,0.00137,0,0.00034
SU,5,0,0,0.00004,0.00089,0,0.03835,0.04837,0,0.00033
SU,6,0,0,0,0.00025,0,0.15767,0.00216,0,0.00011
SU,7,0,0,0.00001,0.00032,0.00073,0.02096,0.02048,0,0.02192
SU,8,0,0,0,0.00002,0,0.02133,0.00286,0,0.02956
SU,9,0,0,0,0,0,0.06785,0.04242,0,0.01498
SU,10,0,0,0.01399,0.01865,0.00029,0.00115,0,0,0.00185
SU,11,0,0,0.02362,0.00638,0,0.00107,0,0,0.00058
SU,12,0,0,0.02337,0.00292,0,0,0,0.00002,0.00034
SU,13,0,0,0.02393,0.00255,0.00119,0.0008,0.00002,0,0.00048
SU,14,0,0,0.01773,0.01261,0,0,0,0,0
SU,15,0,0,0.01973,0.00307,0,0,0,0,0.001
SU,16,0,0,0.00685,0.02455,0.01041,0.00086,0,0,0.01333
SU,17,0,0,0,0.00186,0.02298,0.02755,0,0,0.00225
SU,18,0,0,0.00026,0.00328,0.03386,0.00038,0,0,0.00261
SU,19,0,0,0.00116,0.01074,0.0466,0.00273,0,0,0.00122
SU,20,0,0,0.00171,0.02421,0.0146,0.01697,0,0,0.00266
SU,21,0,0,0,0,0,0.10537,0.0122,0,0
SU,22,0,0,0.01074,0.00974,0.01882,0.00302,0,0,0.00063
SU,23,0,0,0.00145,0.01277,0.00987,0.03153,0,0,0.00539
SU,24,0,0,0.00109,0.04904,0.00199,0.04913,0.00147,0,0.00863
SU,25,0,0,0.0177,0.0167,0,0.00013,0,0.00831,0.00291
SU,26,0,0,0.01437,0.03091,0.00002,0.01721,0,0.00017,0.00205
SU,27,0,0,0,0.00142,0,0.07422,0,0,0
SU,28,0,0,0.00262,0.00222,0,0.06609,0.00109,0,0.00223
SU,29,0,0,0,0.00909,0,0.0857,0,0,0.00038
SU,30,0,0,0.00154,0.0146,0,0.09299,0.00181,0,0.00251
SU,31,0,0,0.00404,0.00588,0.00034,0.00436,0,0,0.01456
SU,32,0,0,0.00076,0.06023,0,0.01594,0,0,0.01038
SU,33,0,0,0.004,0.03186,0.00005,0.02246,0,0.00005,0.02908
SU,34,0,0,0.00271,0.03187,0,0.03959,0,0.00002,0.00814
SU,35,0,0,0.00033,0.01488,0,0.08017,0.00164,0,0.01258
SU,36,0,0,0.00041,0.0073,0,0.00756,0,0,0.0548
SU,37,0,0,0.00649,0.0228,0,0.00782,0,0,0.0141
SU,38,0,0,0.00064,0.04872,0,0.11375,0,0,0.0006
SU,39,0,0,0.00007,0.00432,0,0.11805,0.00166,0,0.00382
SU,40,0,0,0.00027,0.01702,0.00117,0.07196,0.00051,0,0.01452
SU,41,0,0,0.01372,0.00869,0.00221,0.00069,0.00011,0,0.01908
SU,42,0,0,0.00215,0.01208,0.02291,0.00117,0,0,0.00181
SU,43,0,0,0,0.00415,0,0.09378,0,0,0
TT,1,0,0,0.00236,0.09792,0,0.01831,0,0,0.00305
TT,2,0,0,0.03312,0.00683,0.00121,0,0,0,0
TT,3,0,0,0.01643,0.05417,0.00043,0.00965,0,0,0.00557
TT,4,0,0,0.0024,0.0652,0.00229,0.01552,0,0,0.0026
TT,5,0,0,0,0.01384,0,0,0.2178,0,0
TT,6,0,0,0,0.06766,0,0.52158,0.02743,0,0
TT,7,0,0,0,0.01609,0.00255,0.167,0,0,0.02212
TT,8,0,0,0,0,0,0,0,0,0.09053
TT,9,0,0,0,0,0,0,0,0,0
TT,10,0,0,0.04803,0.00814,0.00047,0,0,0,0
TT,11,0,0,0.03288,0.01714,0,0,0,0,0
TT,12,0,0,0.03672,0.00355,0.00002,0,0,0,0.00136
TT,13,0,0,0.04044,0.00133,0,0,0,0,0
TT,14,0,0,0,0,0,0,0,0,0
TT,15,0,0,0.01956,0.02797,0,0,0,0,0
TT,16,0,0,0.01529,0,0.01659,0,0,0,0
TT,17,0,0,0,0.06287,0.0246,0,0,0,0
TT,18,0,0,0.00047,0.02735,0.01863,0,0,0,0
TT,19,0,0,0.00855,0,0.01411,0.03128,0,0,0
