personType,tourPosition,stop,tourPurpose,stopPurpose,probability
1,0,1,0,1,0.0000
1,0,1,0,2,0.0000
1,0,1,0,3,0.0000
1,0,1,1,1,0.0000
1,0,1,1,2,0.0000
1,0,1,1,3,0.0000
1,0,1,2,1,0.0000
1,0,1,2,2,0.0000
1,0,1,2,3,0.0000
1,0,1,3,1,0.0398
1,0,1,3,2,0.0714
1,0,1,3,3,0.8888
1,0,1,4,1,0.0000
1,0,1,4,2,0.0000
1,0,1,4,3,0.0000
1,0,1,5,1,0.0896
1,0,1,5,2,0.2993
1,0,1,5,3,0.6111
1,0,1,6,1,0.0000
1,0,1,6,2,0.3450
1,0,1,6,3,0.6550
1,0,1,7,1,0.0000
1,0,1,7,2,0.0000
1,0,1,7,3,1.0000
1,0,2,0,1,0.0000
1,0,2,0,2,0.0000
1,0,2,0,3,0.0000
1,0,2,1,1,0.0000
1,0,2,1,2,0.0000
1,0,2,1,3,0.0000
1,0,2,2,1,0.0000
1,0,2,2,2,0.0000
1,0,2,2,3,0.0000
1,0,2,3,1,0.1591
1,0,2,3,2,0.4789
1,0,2,3,3,0.3620
1,0,2,4,1,0.0000
1,0,2,4,2,0.0000
1,0,2,4,3,0.0000
1,0,2,5,1,0.4053
1,0,2,5,2,0.2138
1,0,2,5,3,0.3809
1,0,2,6,1,0.0000
1,0,2,6,2,0.2505
1,0,2,6,3,0.7495
1,0,2,7,1,0.0000
1,0,2,7,2,0.0000
1,0,2,7,3,1.0000
1,2,1,0,1,0.0000
1,2,1,0,2,0.0000
1,2,1,0,3,0.0000
1,2,1,1,1,0.0000
1,2,1,1,2,0.0000
1,2,1,1,3,0.0000
1,2,1,2,1,0.0000
1,2,1,2,2,0.0000
1,2,1,2,3,0.0000
1,2,1,3,1,0.0000
1,2,1,3,2,0.1945
1,2,1,3,3,0.8055
1,2,1,4,1,0.0000
1,2,1,4,2,0.0000
1,2,1,4,3,0.0000
1,2,1,5,1,0.2701
1,2,1,5,2,0.2888
1,2,1,5,3,0.4411
1,2,1,6,1,0.0000
1,2,1,6,2,0.2282
1,2,1,6,3,0.7718
1,2,1,7,1,0.0000
1,2,1,7,2,0.0000
1,2,1,7,3,1.0000
1,2,2,0,1,0.0000
1,2,2,0,2,0.0000
1,2,2,0,3,0.0000
1,2,2,1,1,0.0000
1,2,2,1,2,0.0000
1,2,2,1,3,0.0000
1,2,2,2,1,0.0000
1,2,2,2,2,0.0000
1,2,2,2,3,0.0000
1,2,2,3,1,0.0000
1,2,2,3,2,0.4403
1,2,2,3,3,0.5597
1,2,2,4,1,0.0000
1,2,2,4,2,0.0000
1,2,2,4,3,0.0000
1,2,2,5,1,0.2795
1,2,2,5,2,0.3030
1,2,2,5,3,0.4175
1,2,2,6,1,0.0000
1,2,2,6,2,0.5202
1,2,2,6,3,0.4798
1,2,2,7,1,0.0000
1,2,2,7,2,0.0000
