visumFields,aggregateFields
Area,area
HH0to8k1to2,population1
HH0to8k3plus,population2
HH106kUp1to2,population1
HH106kUp3plus,population2
HH15to23k1to2,population1
HH15to23k3plus,population2
HH23to32k1to2,population1
HH23to32k3plus,population2
HH32to46k1to2,population1
HH32to46k3plus,population2
HH46to61k1to2,population1
HH46to61k3plus,population2
HH61to76k1to2,population1
HH61to76k3plus,population2
HH76to106k1to2,population1
HH76to106k3plus,population2
HH8to15k1to2,population1
HH8to15k3plus,population2
CNST_offc_off,employment
RET_stor_off,employment
SERV_site_li,employment
ENGY_offc_off,employment
MFG_food_hi,employment
FIRE_real_off,employment
SERV_bus_off,employment
HLTH_care_inst,employment
CNST_res_xxx,employment
MFG_hvtw_li,employment
WHSL_offc_off,employment
HOSP_acc_acc,employment
SERV_stor_ret,employment
UTL_othr_off_li,employment
HOSP_eat_ret_acc,employment
RET_auto_ret,employment
MFG_lvtw_hi,employment
FIRE_fnin_off,employment
MFG_htec_hi,employment
INFO_info_off,employment
MFG_hvtw_hi,employment
MFG_wdppr_hi,employment
CNST_othr_xxx,employment
K12_k12_off,employment
ENGY_elec_hi,employment
SERV_tech_off,employment
CNST_main_xxx,employment
GOV_offc_off,employment
no_industry,employment
MFG_htec_li,employment
RES_offc_off,employment
TRNS_trns_off,employment
RES_agmin_ag,employment
K12_k12_k12,employment
CNST_nres_xxx,employment
ENT_ent_ret,employment
GOV_admn_gov,employment
HLTH_othr_off_li,employment
MFG_offc_off,employment
ENGY_ngas_hi,employment
HLTH_hosp_hosp,employment
RES_forst_log,employment
HIED_hied_off_inst,employment
MFG_food_li,employment
RET_stor_ret,employment
INFO_info_off_li,employment
ENGY_ptrl_hi,employment
RET_nstor_off,employment
SERV_home_xxx,employment
SERV_nonp_off_inst,employment
WHSL_whsl_ware,employment
UTL_othr_off,employment
TRNS_trns_ware,employment
