"","ureslo","uresmed","uresmdh","ureshi","umix","umixhi","ucom","uindlt","uind","upub","uoth","ubigany","uany","unonindany","rres","rcntr","rcom","rind","rpub","rreserve","rany","rfor","rnatrs","xrec","xagfor","xcons","xhalo","xother","xother2","xwater","xtp"
"1",0,0,0,0,0,2112589.50271327,0,0,0,28808.0384801182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334772.45880661
"2",0,0,0,0,0,796485.568079538,0,0,0,942184.147630674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922757.670823892,757632.613465896
"3",0,0,0,0,0,328004.570105165,0,0,0,328004.570105165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618522.902634418,468577.957155251
"4",0,0,0,0,0,1065237.27833916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633112.72166084
"5",0,0,0,9593.12526750457,0,1064836.87506173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306979.999670764
"6",0,0,0,466620.50410916,0,0,0,0,0,145818.907596669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495784.285428314,48606.302865857
"7",0,0,0,0,0,1826328.35681900,0,0,0,29143.5374066443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136597.96686078,495440.138913574
"8",0,0,0,9684.7930604954,0,3457471.02687072,0,0,0,38739.1712448343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869165.00882395
"9",0,0,0,0,0,1635052.30314843,0,0,0,247735.197106640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129672.49974493
"10",0,0,0,598454.071564687,0,1148645.71862834,0,0,0,67567.3950965114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409262.81471047
"11",0,0,0,1162942.75149318,0,96911.8956251634,0,0,0,164750.222662558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182325.13021909
"12",0,0,0,0,0,887286.239502193,0,0,0,204758.362498705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111545.39799910
"13",0,0,0,0,0,561210.034759133,0,0,0,1015983.68457756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580562.105472894,599914.175190409
"14",0,0,0,0,0,912144.974144502,0,0,0,284432.303559180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98080.1044318262,578672.617864492
"15",0,0,0,756326.597845514,0,2152621.85517607,0,0,0,126054.433473428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667797.11350498
"16",0,0,0,338333.333787321,725000.000261916,560666.666338399,0,0,0,280333.333169199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850666.666443165
"17",0,86724.233901807,886514.386476564,1127415.03576286,7757000.88439828,0,1108142.98334374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532128.12465896,3844774.3514578
"18",107439.024333013,5411019.95487442,1582283.81409284,0,2783647.45036506,0,478592.017849105,263713.969183079,0,1660421.28551225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927882.48379023
"19",213861.557293726,1409542.08270912,0,0,35335761.874232,0,0,0,0,19714147.2036331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11140242.9415754,3217644.34055671
"20",2139554.78842576,26198.6298898685,0,0,0,0,0,0,0,18679623.2400530,0,0,0,0,6460895.65155347,0,0,0,0,0,0,0,2053413.12439991,0,48464.3209592459,0,0,0,0,0,339250.244718765
"21",21752478.4756745,35028.1457646605,0,0,52542.2181961781,0,0,0,0,4212134.5203112,0,0,78813.3281958925,0,6063043.17565367,5681.92733745218,0,0,0,0,8522.89110368025,0,455501.177940812,0,0,0,0,0,0,0,853954.139821923
"22",5503651.36984209,0,0,0,9375.89697001872,0,0,0,0,4219153.51970188,0,0,0,0,13284605.1224844,343.842817726696,0,0,0,0,0,0,154729.26369336,0,0,0,0,0,0,0,709540.984490507
"23",24234709.2389718,1593653.56782301,0,0,106891.397792982,0,0,0,0,10329595.9966359,0,0,19434.7991439493,0,2731075.21508144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748239.784550876
"24",12138912.3824343,14900.4651778555,0,0,0,0,0,0,0,20880518.6746572,0,0,0,0,36303557.7971963,0,0,0,0,0,0,0,19944087.7677488,0,40504146.8782170,0,0,0,0,0,1582876.03456858
"25",670031.80131405,126237.876001120,0,0,21955679.7301351,0,0,0,0,55165951.6035303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16741084.4167761,1291510.57224327
"26",3981975.00833358,4431552.83100187,0,0,11266970.7592266,0,321127.017136299,256901.612953307,0,55720124.937376,0,0,0,0,830941.680253958,670157.073964964,19100.5680918205,15280.4544285056,0,0,0,0,3314221.42534763,0,3168976.93352207,0,0,0,0,12656466.1552731,1030403.54309024
"27",14440200.4887353,0,0,0,30411.0924319203,0,0,0,0,14262802.4486793,0,0,10137.0306366885,0,42696545.7849372,27852.0746813550,0,0,0,0,9284.02473447095,0,13062623.1154086,0,72100669.7875797,0,0,0,0,0,2835474.15217547
"28",0,4745087.77251663,213044.757015382,0,0,0,0,0,0,271147.872202467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551979.598265516
"29",0,39222.4509595127,5373475.77135736,0,1745399.06416476,0,1039394.94891270,0,0,225529.092764801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059178.67184086
"30",4520643.27816744,7852669.14207346,730707.426471165,0,0,0,224083.610918239,0,0,15978135.7228278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130160.81954186
"31",9010258.41076396,4153896.35262439,0,0,797703.74930037,0,48640.4728603269,0,0,4076071.59745012,0,0,9728.09477238651,0,182790.895735068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661510.426493381
"32",5519584.63403997,398420.721795124,58305.4710917653,0,272092.199762269,0,213786.728670503,0,0,787123.864741446,0,0,38870.3143946845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059216.06550424
"33",1979541.47226211,0,0,0,0,0,0,0,0,7947276.79386036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485181.733877529
"34",13745235.1478221,7607058.65960903,1303511.33040357,0,145915.447463133,0,19455.3925276875,0,0,3725707.75769063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042816.26448386
"35",8725738.18557446,242651.228444426,0,0,0,0,0,0,0,825014.177510519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475596.408470598
"36",4264487.8570003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163042.14299970
"37",7469190.28692719,1577586.47571609,0,0,0,0,0,0,0,642720.415549725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146072.821806996
"38",14050623.7989437,524712.092641306,0,0,0,0,0,0,0,126319.57822863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485844.530186377
"39",8621471.12176823,348733.66302071,0,0,0,0,503726.402584305,0,0,619970.957257002,0,0,193740.924454494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453056.93091526
"40",3907863.15743078,12754021.0535972,651310.526238464,0,58326.3153941476,0,787405.262825396,0,0,719357.89453193,0,0,9721.05289931814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244294.73708278
"41",3695659.38923597,3589794.14636418,115489.356130383,0,38496.4520434611,0,76992.9040869222,0,0,519702.102091275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481205.650047814
