Azone,Bzone,PECASName,ALDRegion,State,COUNTY,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,GridAcres,HourPark,DayPark,LUIntensityCode,MPOcalibrationzones,MPOmodeledzones,ACT,AggACT,Fare,HPMS,AreaType,NorthColumbia
1,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,80.71,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
2,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,78.48,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
3,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,41.47,0.72863112,6.31480304,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
4,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,37.68,0.72863112,6.31480304,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
5,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,32.11,0.72863112,6.31480304,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
6,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,26.53,0.72863112,6.31480304,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
7,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,80.05,0,0,High,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
8,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,123.75,0,0,High,Metro,Metro,2,PDX,TriMet1,PORTLAND,4,0
9,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,67.78,0,0,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,3,0
10,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,74.47,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
11,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,59.98,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,3,0
12,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,50.39,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
13,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,63.55,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
14,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,42.59,0.9107889,7.52918824,Medium,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,3,0
15,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,108.14,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,4,0
16,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,63.55,0.9107889,7.52918824,High,Metro,Metro,2,PDX,TriMetFareless,PORTLAND,3,0
17,17,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,378.15,0,0,High,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
18,17,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,301.68,0,0,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
