Activity,CompositeUtility,Size
RES_agmin_ag,7.891764349287322,1.6903898112E10
RES_forst_log,14.083178337639204,2.51914496E9
RES_offc_off,1.7442436807064345,1.33207424E9
ENGY_elec_hi,4.980192820214988,8.621277184E9
ENGY_ngas_hi,4.83716924763599,3.603145984E9
ENGY_ptrl_hi,1.8010923360837543,4.631318528E9
ENGY_offc_off,1.6540569832519416,1.912330624E9
CNST_main_xxx,2.532573376801154,3.690346496E9
CNST_nres_xxx,4.954091357226741,6.542617088E9
CNST_othr_xxx,2.5205884289840608,8.729001984E9
CNST_res_xxx,5.164501224889324,6.740919296E9
CNST_offc_off,1.7018859169043756,2.666187264E9
MFG_food_hi,2.2329975149016867,1.0829728768E10
MFG_food_li,2.235118302107014,1.0829728768E10
MFG_htec_hi,1.70027928718147,1.3063887872E10
MFG_htec_li,1.7193139373429782,1.3063887872E10
MFG_hvtw_hi,1.282300460005439,1.4441531392E10
MFG_hvtw_li,1.3220518652035995,1.4441531392E10
MFG_lvtw_hi,2.1820925908229687,1.2978763776E10
MFG_wdppr_hi,3.216227249346592,1.1847955456E10
MFG_offc_off,1.6828138338570413,1.0165454848E10
WHSL_whsl_ware,2.026977098220079,1.9829592064E10
WHSL_offc_off,1.740709813249074,1.733860864E9
RET_auto_ret,1.0767044514431088,7.439574016E9
RET_stor_ret,0.9102465678200775,1.6026845184E10
RET_stor_off,1.679161667049707,1.518361216E9
RET_nstor_off,0.8906814983482667,2.193797376E9
TRNS_trns_ware,1.6727400270668034,1.47232E10
TRNS_trns_off,1.6536779586186416,2.125367168E9
INFO_info_off_li,2.302414575821373,1.5239006208E10
INFO_info_off,1.7393008944666277,2.881870336E9
UTL_othr_off_li,1.9322453199369525,8.378148864E9
UTL_othr_off,1.7088672605992319,1.114027648E9
FIRE_fnin_off,1.236156197938004,3.1902799872E10
FIRE_real_off,0.8293721881185456,1.5446998016E10
HLTH_hosp_hosp,-0.4095090453806628,1.2295008256E10
HLTH_care_inst,0.6094260861036737,3.849533184E9
HLTH_othr_off_li,1.1409802509492857,1.8144155648E10
K12_k12_k12,3.2155510268870464,1.262608384E10
K12_k12_off,2.0611789790517965,2.777603328E9
HIED_hied_off_inst,1.3450570248195748,4.569757184E9
ENT_ent_ret,1.8857243015892224,3.571715328E9
HOSP_acc_acc,3.4627863726469528,3.5399552E9
HOSP_eat_ret_acc,1.30908913594793,1.2374280192E10
SERV_tech_off,1.1030277749818822,2.2817589248E10
SERV_site_li,0.9421292216556418,5.828886528E9
SERV_home_xxx,1.9346229150767174,4.56867808E8
SERV_bus_off,1.5164162290382353,1.4387504128E10
SERV_nonp_off_inst,1.2969983530144913,9.376816128E9
SERV_stor_ret,1.0521753580048894,5.164732928E9
GOV_admn_gov,0.6857816287747966,1.903683584E10
GOV_offc_off,1.7058862556168788,1.000865792E10
FGOV_acct_gov,2.4467882304687363,9.3817954304E10
SLGOV_acct_gov,2.133922469775189,7.187910656E10
CAP_acct_gov,3.0964907936650814,6.9549703168E10
HH0to8k1to2,194272.19990179467,100501.0234375
HH0to8k3plus,139133.01804202134,40017.0
HH8to15k1to2,246642.4870350255,109396.75
HH8to15k3plus,251554.07289762754,61597.7265625
HH15to23k1to2,368989.5322847105,142850.375
HH15to23k3plus,347523.8824864609,75044.0703125
HH23to32k1to2,419490.3711796948,161019.828125
HH23to32k3plus,426927.35768232006,88144.953125
HH32to46k1to2,518828.93843790534,228715.203125
HH32to46k3plus,497977.10933710507,127086.0625
HH46to61k1to2,577004.024265466,206254.578125
HH46to61k3plus,572261.3543730092,117703.234375
HH61to76k1to2,626648.9281438336,153619.046875
HH61to76k3plus,624705.662272243,104826.0234375
HH76to106k1to2,652562.6850771082,201061.84375
HH76to106k3plus,667378.0017888302,123183.3203125
HH106kUp1to2,860072.635362759,207765.75
HH106kUp3plus,863934.2853073751,140753.3125
sctg01_fkp_lvsk_impt,6.249247626640229,1.061593344E9
sctg02_fkp_agri_cereal_impt,6.963634193673633,9.99880896E8
sctg03_fkp_agri_other_impt,6.24105817798928,2.76006144E9
sctg04_fkp_feed_impt,6.57783593994207,1.301099776E9
sctg05_fkp_food_meat_impt,7.212892799319192,4.22394496E9
sctg06_fkp_agri_grain_impt,6.469082837672172,1.746200704E9
sctg07_fkp_food_prep_impt,6.3349915784360915,1.1559174144E10
sctg08_fkp_food_alc_impt,6.742716301579892,2.300836096E9
sctg10_cms_clay_impt,6.14991920975478,2.49320336E8
sctg11_cms_sand_impt,5.723171973826017,1.53419904E8
sctg13_cms_mine_nonmet_impt,10.936451348549134,1.5509488E8
sctg14_cms_mine_met_impt,8.522657613211752,7.25068096E8
sctg15_pcc_coal_impt,11.20299166903586,7.61404096E8
sctg16_pcc_petr_crude_impt,7.903009040487206,2.051368832E9
sctg17_pcc_fuel_impt,11.222871635986808,5.820532224E9
sctg18_pcc_petr_oil_impt,11.286878228391512,2.910266112E9
sctg19_pcc_coal_prod_impt,10.41267654308873,4.79003392E9
sctg20_pcc_chem_basic_impt,7.882070611719584,2.51965952E9
sctg21_pcc_chem_pharma_impt,10.815117015903153,6.571703296E9
sctg22_pcc_chem_fert_impt,6.5510400779101925,9.25356224E8
sctg23_pcc_chem_prod_impt,8.45994976725641,3.954914816E9
sctg24_pcc_petr_plast_impt,8.124340077184652,5.596685312E9
sctg25_fwp_logs_impt,7.565721546177135,2.474730752E9
sctg26_fwp_wood_impt,6.173554654720707,2.392018176E9
sctg27_ppp_papr_puplp_impt,6.334870969553493,1.913049984E9
sctg28_ppp_papr_paper_impt,6.5590083036786835,2.313922048E9
sctg29_ppp_papr_print_impt,6.983059497831604,2.495898112E9
sctg30_oth_clth_impt,10.16150638645762,3.805503744E9
sctg31_cms_min_impt,6.491371887821228,2.75224576E9
sctg32_mit_metl_base_impt,7.0773803142575,5.4727936E9
sctg33_mit_metl_prod_impt,6.847896827919909,4.199515136E9
sctg34_mit_mach_impt,8.891457538537955,8.683817984E9
sctg35_mit_elct_impt,8.410982455122491,1.4519139328E10
sctg36_mit_tran_impt,9.330024996320267,7.933939712E9
sctg37_mit_inst_transp_impt,9.791003890903037,2.41951488E9
sctg38_mit_inst_prec_impt,8.874946107043662,3.726728192E9
