Activity,TotalAmount
RES_agmin_ag,1.6903898303E10
RES_forst_log,2.519144897E9
RES_offc_off,1.332074210772328E9
ENGY_elec_hi,8.621276855E9
ENGY_ngas_hi,3.603145996E9
ENGY_ptrl_hi,4.631318359E9
ENGY_offc_off,1.9123306524129193E9
CNST_main_xxx,3.690346435E9
CNST_nres_xxx,6.542617309E9
CNST_othr_xxx,8.729001953E9
CNST_res_xxx,6.740919189E9
CNST_offc_off,2.666187208782096E9
MFG_food_hi,1.0829728776E10
MFG_food_li,1.0829728776E10
MFG_htec_hi,1.3063887807E10
MFG_htec_li,1.3063887807E10
MFG_hvtw_hi,1.4441531006E10
MFG_hvtw_li,1.4441531006E10
MFG_lvtw_hi,1.2978764067E10
MFG_wdppr_hi,1.1847955596E10
MFG_offc_off,1.0165454557971182E10
WHSL_whsl_ware,1.9829592529E10
WHSL_offc_off,1.7338608421975102E9
RET_auto_ret,7.439574272E9
RET_stor_ret,1.6026845092E10
RET_stor_off,1.5183612669435923E9
RET_nstor_off,2.193797363E9
TRNS_trns_ware,1.4723200435E10
TRNS_trns_off,2.1253671462485437E9
INFO_info_off_li,1.5239006202E10
INFO_info_off,2.8818704279648795E9
UTL_othr_off_li,8.378148941E9
UTL_othr_off,1.1140276524160135E9
FIRE_fnin_off,3.1902799194E10
FIRE_real_off,1.5446998046E10
HLTH_hosp_hosp,1.2295007812E10
HLTH_care_inst,3.849533203E9
HLTH_othr_off_li,1.814415509E10
K12_k12_k12,1.2626084053E10
K12_k12_off,2.7776033897092834E9
HIED_hied_off_inst,4.569757377E9
ENT_ent_ret,3.57171537E9
HOSP_acc_acc,3.53995523E9
HOSP_eat_ret_acc,1.2374280273E10
SERV_tech_off,2.2817588607E10
SERV_site_li,5.828886779E9
SERV_home_xxx,4.56867797E8
SERV_bus_off,1.4387504547E10
SERV_nonp_off_inst,9.376816406E9
SERV_stor_ret,5.164732788E9
GOV_admn_gov,1.9036836853E10
GOV_offc_off,1.0008657470063711E10
FGOV_acct_gov,9.3817953918E10
SLGOV_acct_gov,7.1879103322E10
CAP_acct_gov,6.9549704567E10
HH0to8k1to2,100501.02
HH0to8k3plus,40016.99986
HH8to15k1to2,109396.7495
HH8to15k3plus,61597.72839
HH15to23k1to2,142850.3765
HH15to23k3plus,75044.07343
HH23to32k1to2,161019.8258
HH23to32k3plus,88144.95155
HH32to46k1to2,228715.1973
HH32to46k3plus,127086.0636
HH46to61k1to2,206254.5816
HH46to61k3plus,117703.2315
HH61to76k1to2,153619.0521
HH61to76k3plus,104826.0239
HH76to106k1to2,201061.8439
HH76to106k3plus,123183.3234
HH106kUp1to2,207765.7563
HH106kUp3plus,140753.3051
higher_education_impt,6.100819829E9
sctg01_fkp_lvsk_impt,1.061593354E9
sctg02_fkp_agri_cereal_impt,9.99880909E8
sctg03_fkp_agri_other_impt,2.760061448E9
sctg04_fkp_feed_impt,1.30109977E9
sctg05_fkp_food_meat_impt,4.223945028E9
sctg06_fkp_agri_grain_impt,1.74620074E9
sctg07_fkp_food_prep_impt,1.1559174161E10
sctg08_fkp_food_alc_impt,2.30083622E9
sctg10_cms_clay_impt,2.493203358E8
sctg11_cms_sand_impt,1.534198971E8
sctg13_cms_mine_nonmet_impt,1.550948853E8
sctg14_cms_mine_met_impt,7.250680716E8
sctg15_pcc_coal_impt,7.614040963E8
sctg16_pcc_petr_crude_impt,2.051368883E9
sctg17_pcc_fuel_impt,5.820532158E9
sctg18_pcc_petr_oil_impt,2.910266079E9
sctg19_pcc_coal_prod_impt,4.79003368E9
sctg20_pcc_chem_basic_impt,2.519659617E9
sctg21_pcc_chem_pharma_impt,6.57170342E9
sctg22_pcc_chem_fert_impt,9.253562316E8
sctg23_pcc_chem_prod_impt,3.954914703E9
sctg24_pcc_petr_plast_impt,5.596685493E9
sctg25_fwp_logs_impt,2.474730626E9
sctg26_fwp_wood_impt,2.392018288E9
sctg27_ppp_papr_puplp_impt,1.913050007E9
sctg28_ppp_papr_paper_impt,2.313922158E9
sctg29_ppp_papr_print_impt,2.495898098E9
sctg30_oth_clth_impt,3.80550385E9
sctg31_cms_min_impt,2.752245863E9
sctg32_mit_metl_base_impt,5.472793396E9
sctg33_mit_metl_prod_impt,4.19951525E9
sctg34_mit_mach_impt,8.683817953E9
sctg35_mit_elct_impt,1.4519139328E10
sctg36_mit_tran_impt,7.933939737E9
sctg37_mit_inst_transp_impt,2.419515004E9
sctg38_mit_inst_prec_impt,3.726728106E9
sctg39_oth_furn_impt,2.330264351E9
sctg40_oth_misc_impt,5.425995365E9
sctg41_waste_scrap_impt,4.705646916E8
energy_impt,1.0549942946E10
retail_trade_impt,2.4933519811E10
transport_impt,1.4888372255E10
wholesale_trade_impt,2.3358986465E10
construction_impt,2.9113519443E10
communications_and_utilities_impt,2.1987249403E10
accommodations_impt,2.632335038E9
personal_and_other_services_and_amusements_impt,1.2097457557E10
entertainment_services_impt,4.720465981E9
food_services_impt,1.201027385E10
health_services_impt,3.7984394117E10
fire_business_and_professional_services_impt,1.17112E11
government_administration_impt,1.8954784844E10
education_reports_to_sponsors_impt,1.4881588731E10
sctg01_fkp_lvsk_expt,1.20351296E9
sctg02_fkp_agri_cereal_expt,8.939325582E8
sctg03_fkp_agri_other_expt,8.313501932E9
sctg04_fkp_feed_expt,6.948822385E8
sctg05_fkp_food_meat_expt,3.3463812E9
sctg06_fkp_agri_grain_expt,1.652958897E9
sctg07_fkp_food_prep_expt,1.5630709696E10
sctg08_fkp_food_alc_expt,2.026017524E9
