104 104
0 0 5.678742348202521E9
0 1 3.659085240860816E-8
0 2 1.0654203877278251E-7
0 3 -2.3652556153195005E-8
0 4 -1.1582201907708069E-7
0 5 -8.278484920429073E-8
0 6 -5.566520429961011E-7
0 7 -1.0095776802932754E-7
0 8 7.416636848494841E-10
0 9 9.449312856509682E-10
0 10 2.1133751687680372E-11
0 11 3.4412136329840232E-9
0 12 9.19823873064215E-10
0 13 2.583671557178875E-9
0 14 -5.092095912092299E-10
0 15 -8.331806655305645E-11
0 16 2.4415915480601842E-9
0 17 1.8014696857753376E-9
0 18 -4.2240661641869803E-11
0 19 -1.647868650423166E-9
0 20 1.2258243652169396E-9
0 21 1.7985642548028647E-8
0 22 2.4686074421558986E-9
0 23 1.2776383934304654E-10
0 24 2.1974065487445465E-9
0 25 3.466832638410155E-8
0 26 1.3755377125592225E-9
0 27 2.3113596591924838E-10
0 28 1.3039149795359801E-8
0 29 7.761167068932267E-9
0 30 3.928271687883418E-9
0 31 3.7444812132773806E-8
0 32 1.0666275738763556E-8
0 33 3.4070265485348316E-9
0 34 -2.890230984942245E-11
0 35 -8.628912993790276E-11
0 36 -2.3046274777340313E-11
0 37 1.3900696754729213E-9
0 38 5.537542177086505E-12
0 39 2.1822612224545673E-8
0 40 1.0456255020044426E-8
0 41 2.6888169131875678E-8
0 42 7.258061101278535E-8
0 43 1.4947028992904184E-8
0 44 8.494420301107113E-9
0 45 1.614465267628559E-9
0 46 6.788650530121453E-10
0 47 7.07622237536474E-10
0 48 -3.7404371899294004E-8
0 49 2.563046988706674E-9
0 50 1.5871972332346368E-9
0 51 -1.7897224907413116E-9
0 52 4.8411283825503755E-8
0 53 3.320505416933109E-12
0 54 -3.0836103721189857E-9
0 55 0.0
0 56 0.0
0 57 8.274216107184816E-8
0 58 0.0
0 59 -1.3225064670067738E-11
0 60 0.0
0 61 0.0
0 62 0.0
0 63 -9.325316639376068E-10
0 64 -3.270889500473477E-10
0 65 0.0
0 66 2.4477557916520793E-9
0 67 1.2430964858973492E-8
0 68 -1.5675007974029848E-9
0 69 3.5652843351003374E-8
0 70 -5.47900734232843E-9
