CommodityNumber,Commodity
0,SCTG01_FKP_LVSK
1,SCTG02_FKP_AGRI_cereal
2,SCTG03_FKP_AGRI_other
3,SCTG04_FKP_FEED
4,SCTG05_FKP_FOOD_meat
5,SCTG06_FKP_AGRI_grain
6,SCTG07_FKP_FOOD_prep
7,SCTG08_FKP_FOOD_alc
8,SCTG10_CMS_CLAY
9,SCTG11_CMS_SAND
10,SCTG13_CMS_MINE_nonmet
11,SCTG14_CMS_MINE_met
12,SCTG15_PCC_COAL
13,SCTG16_PCC_PETR_crude
14,SCTG17_PCC_FUEL
15,SCTG18_PCC_PETR_oil
16,SCTG19_PCC_COAL_prod
17,SCTG20_PCC_CHEM_basic
18,SCTG21_PCC_CHEM_pharma
19,SCTG22_PCC_CHEM_fert
20,SCTG23_PCC_CHEM_prod
21,SCTG24_PCC_PETR_plast
22,SCTG25_FWP_LOGS
23,SCTG26_FWP_WOOD
24,SCTG27_PPP_PAPR_puplp
25,SCTG28_PPP_PAPR_paper
26,SCTG29_PPP_PAPR_print
27,SCTG30_OTH_CLTH
28,SCTG31_CMS_MIN
29,SCTG32_MIT_METL_base
30,SCTG33_MIT_METL_prod
31,SCTG34_MIT_MACH
32,SCTG35_MIT_ELCT
33,SCTG36_MIT_TRAN
34,SCTG37_MIT_INST_transp
35,SCTG38_MIT_INST_prec
36,SCTG39_OTH_FURN
37,SCTG40_OTH_MISC
38,SCTG41_WASTE_SCRAP
39,Energy
40,Retail Trade
41,Transport
42,Wholesale Trade
43,Construction
44,Communications and Utilities
45,Accommodations
46,Personal and Other Services and Amusements
47,Entertainment Services
48,Food Services
49,Teaching K12
50,Higher Education
51,Health Services
52,Fire Business and Professional Services
53,Government Administration
54,Internal Services Resources
55,Internal Services Energy
56,Internal Services Construction
57,Internal Services Manufacturing
58,Internal Services Wholesale
59,Internal Services Retail Store
60,Internal ServicesTransport
61,Internal Services Information
62,Internal Services Utilities
63,Internal Services Education k12
64,Internal Services Government Administration
65,GHG Permits
66,Government Support Receipts
67,Tax Receipts
68,Investing Receipts
69,Return Investment Receipts
70,Capital Transfer Receipts
71,Education Reports to Sponsors
72,Proprietor Income Receipts
73,A1-Mgmt Bus
74,B1-Prof Specialty
75,B2-Education
76,B3-Health
77,B4-Technical Unskilled
78,C1-Sales Clerical Professionals
79,C2-Sales Service
80,C3-Clerical
81,C4-Sales Clerical Unskilled
82,D1-Production Specialists
83,D2-MaintConstRepair Specialists
84,D3-ProtectTrans Specialists
85,D4-Blue Collar Unskilled
86,FLR Agriculture
87,FLR Logging
88,FLR Hospital
89,FLR Retail
90,FLR Office
91,FLR Heavy Industry
92,FLR Light Industry
93,FLR Warehouse
94,FLR Institutional
95,FLR Accommodation
96,FLR Government Support
97,FLR K12
98,FLR SFD
99,FLR AT
100,FLR MH
101,FLR RRMH
102,FLR RRSFD
103,FLR MF
