Activity,SCTG01_FKP_LVSK,SCTG02_FKP_AGRI_cereal,SCTG03_FKP_AGRI_other,SCTG04_FKP_FEED,SCTG05_FKP_FOOD_meat,SCTG06_FKP_AGRI_grain,SCTG07_FKP_FOOD_prep,SCTG08_FKP_FOOD_alc,SCTG10_CMS_CLAY,SCTG11_CMS_SAND,SCTG13_CMS_MINE_nonmet,SCTG14_CMS_MINE_met,SCTG15_PCC_COAL,SCTG16_PCC_PETR_crude,SCTG17_PCC_FUEL,SCTG18_PCC_PETR_oil,SCTG19_PCC_COAL_prod,SCTG20_PCC_CHEM_basic,SCTG21_PCC_CHEM_pharma,SCTG22_PCC_CHEM_fert,SCTG23_PCC_CHEM_prod,SCTG24_PCC_PETR_plast,SCTG25_FWP_LOGS,SCTG26_FWP_WOOD,SCTG27_PPP_PAPR_puplp,SCTG28_PPP_PAPR_paper,SCTG29_PPP_PAPR_print,SCTG30_OTH_CLTH,SCTG31_CMS_MIN,SCTG32_MIT_METL_base,SCTG33_MIT_METL_prod,SCTG34_MIT_MACH,SCTG35_MIT_ELCT,SCTG36_MIT_TRAN,SCTG37_MIT_INST_transp,SCTG38_MIT_INST_prec,SCTG39_OTH_FURN,SCTG40_OTH_MISC,Energy,Retail Trade,Transport,Wholesale Trade,Construction,Communications and Utilities,Accommodations,Personal and Other Services and Amusements,Entertainment Services,Food Services,Higher Education,Fire Business and Professional Services,Internal Services Resources,Tax Receipts,Investing Receipts,Return Investment Receipts,Proprietor Income Receipts,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled,FLR Agriculture,FLR Logging,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,FLR Office,Internal Services Energy,FLR Heavy Industry,Internal Services Construction,Internal Services Manufacturing,FLR Light Industry,SCTG41_WASTE_SCRAP,Internal Services Wholesale,FLR Warehouse,FLR Retail,Internal Services Retail Store,Internal ServicesTransport,Internal Services Information,Internal Services Utilities,Government Administration,Health Services,FLR Hospital,FLR Institutional,Internal Services Education k12,Capital Transfer Receipts,FLR K12,FLR Accommodation,Internal Services Government Administration,FLR Government Support,Government Support Receipts,Education Reports to Sponsors,Teaching K12,FLR SFD,FLR RRSFD,FLR AT,FLR MF,FLR MH,FLR RRMH
RES_agmin_ag,0.002962763,0.001597605,0.001475413,1.283871243E-4,1.121102628E-6,6.776669125E-6,3.569873661E-5,3.404225311E-7,1.939082431E-4,1.735131445E-5,2.553350641E-4,0.002249292,4.774359331E-5,1.125182007E-5,1.534717594E-4,1.224473817E-4,0.003282426,6.0445298E-5,4.94864662E-6,0.002382335,1.815143623E-4,1.675465173E-4,7.632286724E-6,2.104319719E-4,3.638287353E-6,2.421353565E-5,7.165912166E-7,7.585454568E-6,3.162789289E-5,1.138349762E-4,5.704001887E-5,4.666102759E-4,3.758487946E-5,3.746602306E-5,6.162497357E-6,9.641668157E-7,7.089970495E-7,5.68953601E-6,0.005808738,3.294583075E-5,2.341815125E-4,5.144942552E-4,2.534021041E-4,1.561526442E-4,1.306976856E-6,1.781371975E-5,7.355537491E-6,8.787909792E-6,7.981601811E-5,0.002977506,5.21967595E-4,5.717683816E-4,1.181620064E-6,8.161925361E-4,0.001031397,7.929212006E-5,5.883150734E-4,2.305638482E-4,0.001549882,7.037819596E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_forst_log,0,0,2.877138741E-6,5.502263321E-6,0,0,5.976549346E-6,0,0,0,0,0,6.405277304E-7,0,2.860881068E-5,2.28255285E-5,5.465297145E-4,0,0,0,4.805575827E-6,1.243033239E-5,0.091527134,2.062459534E-4,3.49903587E-7,3.282092166E-6,7.009765E-7,0,0,0,2.060481847E-6,4.258544359E-4,5.03463184E-7,5.781480286E-5,0,0,0,1.140916083E-6,4.990740126E-5,3.039023795E-5,1.735190745E-4,5.39718254E-4,2.871769902E-5,4.121715392E-5,1.014463038E-7,0,3.407719487E-5,2.500237599E-7,1.744725887E-5,0.001570474,6.068001385E-4,6.647884147E-4,1.373660098E-6,8.942747372E-4,0.001480324,7.635787188E-5,3.837623517E-4,0.001204422,0.003349022,0,0.002401065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_offc_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012001261,0.003827593,2.530163874E-5,1.977899665E-4,0.001133428,6.591471029E-4,1.733940007E-4,0.001919362,4.459092743E-4,0.004077035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_elec_hi,0,0,8.479412827E-6,0,3.61342336E-6,1.53345718E-5,3.135370935E-5,0,0,0,0,0,0.008078679,8.516757516E-4,2.702402999E-4,2.15611115E-4,0.004927641,1.095579864E-5,0,1.410601698E-7,1.180417439E-5,3.841625949E-5,0,1.055838129E-5,1.998897824E-5,2.025940194E-5,9.979488595E-7,1.691720172E-5,2.151316949E-5,1.2626846E-5,3.05971007E-5,6.503729965E-4,1.111821475E-4,1.006503953E-5,9.727606312E-7,3.520224345E-5,3.723941404E-7,1.673649081E-6,0.002356456,5.450374942E-7,3.927429498E-4,2.750961285E-4,0.003879853,7.847067318E-4,2.328418304E-5,1.900184179E-5,8.28180855E-5,3.838083358E-4,1.304787147E-4,0.002259734,0,6.908100331E-4,1.035949936E-6,0.002060741,7.731145888E-5,0.001288361,0.001831491,1.411561825E-4,2.920754196E-4,0,0,0,0,0,0,0,0,0,0,0,0,7.364351768E-4,1.945322001E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_ngas_hi,0,0,5.077304195E-7,0,0,0,0,0,0,0,0,0,0,0.009179813,6.732333986E-6,5.371390216E-6,1.691947255E-4,9.936830793E-6,0,0,1.120948673E-5,1.86289355E-4,0,1.832598064E-4,2.665656893E-6,7.289513178E-6,6.412146831E-7,8.584927969E-8,1.172798948E-4,2.651463546E-5,1.487605477E-4,8.081088308E-4,3.201687941E-4,1.843252176E-5,1.749663454E-7,1.951227205E-5,5.746956958E-6,1.484540007E-5,0.001012988,2.962581448E-6,9.635151364E-4,1.374040003E-4,9.55684809E-5,1.00487654E-4,3.173520599E-5,6.857576955E-5,2.121168473E-5,7.849038229E-5,5.8701542E-5,0.001505582,0,6.157017197E-4,4.469999908E-7,0.002098975,6.484683399E-5,5.333554E-4,4.352705728E-4,5.905469152E-5,6.613547157E-5,0,0,0,0,0,0,0,0,0,0,0,0,3.179256164E-4,4.654139775E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_ptrl_hi,0,0,1.865614081E-6,1.510224479E-6,6.31267028E-7,0,3.557360515E-6,1.808971746E-7,0,0,0,8.073894264E-8,3.491909126E-7,1.25954125E-6,2.515802589E-5,2.007232251E-5,5.932183121E-4,9.353391761E-6,1.229487481E-7,1.972438622E-5,5.898485142E-6,1.866840466E-4,0,1.329310471E-4,2.508020225E-5,4.66854799E-5,1.74816123E-5,5.034738933E-6,1.221906496E-5,3.335297515E-5,3.17263075E-5,8.208114741E-5,2.758629562E-4,1.865523154E-5,3.904099799E-7,1.639010407E-6,2.893687451E-6,2.703981227E-5,0.001418874,4.737443669E-5,4.216030648E-4,8.506580489E-4,7.407987869E-5,2.780411451E-4,1.211942617E-5,6.266596029E-5,4.107654968E-5,7.445310621E-5,1.517760029E-5,0.002411284,0,0.001894163,2.237550007E-6,0.001406291,3.067506477E-4,3.28945498E-5,4.028574767E-5,3.62730294E-4,3.816427125E-5,0,0,0,0,0,0,0,0,0,0,0,0,0.001590625,8.969759801E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_offc_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801401,0.005182258,0,7.160520181E-5,0.001064188,0.001444309,6.813346408E-5,0.004151252,1.524152322E-4,3.137124004E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_main_xxx,0,0,8.494132635E-5,0,0,0,0,0,8.35985411E-4,3.609175837E-5,0,0,0,0,8.339035412E-5,6.653295713E-5,0.004567814,1.095177322E-5,1.712774861E-6,2.191753738E-4,3.896441922E-5,5.424770643E-4,0,0.002432881,1.234931551E-5,2.560645589E-5,3.518690619E-7,6.367369224E-6,9.270164301E-4,3.071095853E-4,4.311456578E-4,0.001225166,5.166765768E-4,1.902037184E-5,6.26745134E-7,2.478143642E-6,3.777389429E-5,1.664092633E-5,7.612406043E-4,3.17552418E-4,2.216850262E-4,4.468682746E-4,3.345893856E-5,2.222706826E-4,1.750138472E-5,3.296188515E-5,1.029499072E-5,3.083807314E-5,5.320000014E-7,0.001554655,0,5.949613987E-4,2.232809948E-6,8.518761606E-4,9.043487371E-4,7.421844202E-5,0.002371681,1.97268324E-4,0.002104015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.113841224E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_nres_xxx,0,0,3.077550718E-5,0,0,0,0,0,0,0,0,0,0,0,6.90521847E-5,5.509326365E-5,0.001773162,1.559218958E-6,0,2.619723673E-4,9.573499483E-6,3.981371992E-4,0,0.00141331,1.721604349E-5,1.432807767E-5,2.525026233E-8,1.166991024E-5,0.001082736,7.256261597E-5,0.001227964,0.003270295,4.449461412E-4,2.002058318E-5,3.434040821E-7,2.840183242E-6,1.490444265E-4,9.529751878E-6,0.00103501,5.06829565E-5,1.339820592E-4,5.819658982E-4,4.296626139E-5,3.030909575E-4,2.641437641E-5,5.552355287E-5,1.871166023E-5,5.463374328E-5,6.880000001E-7,0.00182527,0,6.00563013E-4,2.230540076E-6,5.005332641E-4,9.243732784E-4,1.714439131E-4,0.003771133,2.343314409E-4,0.003236056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.104582132E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_othr_xxx,0,0,6.622453657E-5,0,0,0,0,0,4.188743187E-4,3.044878758E-5,4.854374492E-5,0,0,0,1.298517891E-4,1.036021931E-4,0.00409547,6.121420938E-6,0,2.59470602E-4,2.205285637E-5,4.242930154E-4,0,0.001262679,1.610340041E-5,2.922753083E-5,9.03331312E-8,3.741068895E-6,0.001405107,1.370684331E-4,9.098488954E-4,0.001573265,4.678709374E-4,2.545107964E-5,8.81360279E-7,7.220244811E-7,3.228114656E-5,1.644129588E-5,0.001085608,1.511194423E-4,1.899111812E-4,4.551108868E-4,4.758425712E-5,2.842844406E-4,1.552508002E-5,4.373909906E-5,1.260857152E-5,3.340283729E-5,1.042000008E-6,0.002452106,0,5.4524804E-4,2.063589818E-6,5.231060204E-4,8.527095779E-4,8.008763689E-5,0.001546937,1.755593548E-4,0.001117906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.423139225E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
