Azone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
1.0,10.0,267162.6206,13389.92729,26109.11319,84.14984184,4170.034008,1736629.569,2028.704287,1344293.91,10.57955784,288.4060296,170714.7259,26383.97245,4456954.587,1128299.863,105251.7315,0.0,0.0
2.0,10.0,79638.33435,29685.19712,57912.5346,84.14984184,9243.176469,5891.182789,253.5880359,30903.30828,10.57955784,10.6985163,32793.22608,262.7893719,2228474.639,125249.449,10796.98087,0.0,0.0
3.0,10.0,256708.5845,882.3337486,20653.36086,84.14984184,2422.592244,15.00373626,10.61968242,10.81063939,48069.48403,10.6985163,23726.96255,204.2352316,648454.0965,24437.81624,62079.50134,0.0,0.0
4.0,10.0,312268.1766,68.46055278,18730.28235,84.14984184,2991.519238,23564.73116,10.61968242,10.81063939,10.57955784,10.6985163,29069.62664,525.7799607,373460.5255,215692.8552,2697.675889,0.0,0.0
5.0,10.0,253819.0711,46997.98667,17179.04735,84.14984184,2743.76273,15.00373626,10.61968242,10.81063939,10.57955784,10.6985163,9182.178085,10.65526109,45915.86061,7310.422788,106687.6672,0.0,0.0
6.0,10.0,207113.8999,39148.66744,14095.01081,84.14984184,2242.130037,15.00373626,10.61968242,10.81063939,10.57955784,10.6985163,10.45950527,54.32858377,4517.768544,467.6701447,84357.69036,0.0,0.0
7.0,10.0,640674.7855,121858.0886,43500.97007,84.14984184,6947.785752,15.00373626,8368.405185,10.81063939,6646.635333,10.6985163,4403.506878,3373.201401,129574.3872,138345.7514,24286.92964,0.0,0.0
8.0,10.0,760515.837,119205.4247,95214.0169,84.14984184,15207.16869,15.00373626,10.61968242,44809.79701,11429.47972,10.6985163,37679.71029,10019.59937,784455.003,583406.1984,1824680.351,0.0,0.0
9.0,10.0,447618.3377,5892.078229,48090.13948,84.14984184,7680.747933,20619.13976,10.61968242,772.5827071,10.57955784,10.6985163,36527.41985,4269.421817,1882511.239,640403.4973,14.24032249,0.0,0.0
10.0,6255.79677,433323.0171,22.84469722,32.97198067,932.5479088,40.71102304,490644.4093,10.61968242,1970858.486,1373.644295,10.6985163,218431.0168,44211.99782,4109502.325,791311.2175,16187.62466,0.0,0.0
11.0,2600.159654,1005212.895,63501.58716,67439.54093,387.604255,10771.15018,83745.91256,10.61968242,3090.330828,10.57955784,10.6985163,77657.76948,3038.376352,213805.785,311341.1429,2697.675889,0.0,0.0
12.0,10.0,626722.0008,29365.03807,42396.23793,84.14984184,6771.342738,66479.24855,76583.58685,1015173.677,1563.914196,256681.3664,86285.30263,3565.162397,6155447.131,207315.0471,86368.00032,0.0,0.0
13.0,10.0,168205.8057,30974.45968,74658.97044,84.14984184,11924.20606,111932.473,10.61968242,226366.7332,390.978549,10.6985163,20938.78115,1563.455911,1087306.438,63750.82498,14.24032249,0.0,0.0
14.0,10.0,147013.0992,23293.56816,59715.77386,84.14984184,9500.267156,82525.25949,10.61968242,10.81063939,10.57955784,10.6985163,10.45950527,10.65526109,129847.1739,2048.108068,2699.245217,0.0,0.0
15.0,10.0,411754.8563,52849.25788,111341.2775,84.14984184,17782.94462,4214.944913,10.61968242,20859.73309,10.57955784,454239.4967,64525.14841,5290.195541,2062179.546,137077.0936,10796.98087,0.0,0.0
16.0,10.0,360041.5798,57623.94386,38428.98541,84.14984184,6137.710423,15.00373626,12679.4018,10.81063939,390.978549,10.6985163,168114.7499,1391.012962,190110.0586,68405.98899,14.24032249,0.0,0.0
17.0,7681.392057,860804.1277,425878.8539,675257.9372,657.3838264,108505.2783,22512.68962,135.7714231,256265.3412,265929.4916,10.7002889,39083.82533,175737.0183,1598107.99,500826.1942,4606230.38,0.0,0.0
18.0,217.4388861,559016.8673,465114.7374,1338795.12,74.34580263,214807.167,30775.06112,135.7714231,7765.616401,270044.9898,10.7002889,4449.247324,75830.41512,784916.0391,149141.878,16380.38592,0.0,0.0
19.0,10.0,10.0,331.5881979,234217.0617,4001.297043,329008.2734,15.87468267,10.34270582,1570.841242,567299.2972,0.0,12883.12047,556900.0772,1234986.117,154217.0282,10244941.81,0.0,0.0
20.0,10.0,10.0,423.751049,407559.2461,28.32126967,84091.47849,15.87468267,10.34270582,10.81063939,10.86792401,0.0,6014.918128,10.71780185,623.8564615,10.82714946,13.88343459,0.0,48562.49901
21.0,10.0,10.0,10.0,442910.1668,10.0,87809.56314,15.87468267,10.34270582,10.81063939,10.86792401,0.0,10.45950527,174.2329326,24416.02935,5428.657366,13.88343459,0.0,0.0
22.0,10.0,10.0,464.2817807,326794.6981,31.49198842,67440.21308,15.87468267,10.34270582,10.81063939,10.86792401,0.0,10.45950527,430.2047719,10.90737503,10.82714946,13.88343459,0.0,0.0
23.0,10.0,10.0,769.3825614,557898.5199,51.84470623,111530.6804,15.87468267,10.34270582,34060.22973,4454.374735,0.0,3360.174392,3756.76317,17749.32795,20931.01079,4566.340853,0.0,0.0
24.0,10.0,10.0,1565.425082,1131994.62,1555.104784,579473.4538,15.87468267,10.34270582,10.81063939,10.86792401,0.0,10.45950527,7027.394948,3693.26789,7707.58179,17611.08174,40510836.38,0.0
25.0,10.0,10.0,149.6751199,153719.9061,5767.621661,477664.7585,15.87468267,10.34270582,10.81063939,660940.0787,0.0,744.4169188,341652.4971,321488.384,9501.512732,5960826.38,0.0,0.0
26.0,10.0,10.0,10.0,18572.88162,6374.594141,507746.0675,15.87468267,10.34270582,10.81063939,189007.522,0.0,487.6960644,522.6987978,82106.28524,15786.81027,2424106.789,0.0,3166274.913
27.0,10.0,10.0,10.0,44531.58108,2669.179923,1194702.808,15.87468267,10.34270582,10.81063939,10.86792401,0.0,10.45950527,876.5422227,14011.83494,24567.91695,13.88343459,72115310.51,0.0
28.0,10.0,76101.86264,54211.69256,796564.1883,62.9677575,127244.5909,15.86610593,10.3426183,10.81063939,11.69801866,10.7002889,10.45950527,517.37113,7797.055099,10.77583673,12.67141078,0.0,0.0
29.0,732.7101855,2739111.16,608560.7202,502406.2227,62.9677575,80255.27033,56503.84926,10.3426183,34168.71217,90524.12212,347014.105,57738.99736,189886.3947,1027986.373,1073273.993,1181269.666,0.0,0.0
30.0,10.0,260071.3407,150486.1503,1898263.282,62.9677575,303231.9783,15.86610593,10.3426183,10.81063939,5918.283578,10.7002889,2676.489047,8364.166601,55204.67971,138117.2218,12.67141078,0.0,0.0
31.0,10.0,4737.755545,6136.866732,877239.3861,42.55733743,146948.1137,15.26513871,0.0,795.0996823,3154.704596,10.69001832,22403.07263,17599.28064,289152.96,48635.41653,50011.72071,0.0,0.0
32.0,1544.926426,2408.047901,2527.343927,485598.2922,170.449423,79743.67725,15.26513871,0.0,10.81063939,13.19879171,10.69001832,113838.22,4494.801013,73482.33591,25116.52648,12794.26059,0.0,0.0
33.0,10.0,74895.64881,40844.21585,494748.7736,62.9677575,79032.05565,15.86610593,10.3426183,3157.168635,11.69801866,10.7002889,2813.856124,10.65526109,2393.80561,486131.6993,12.67141078,0.0,0.0
34.0,10.0,347495.6176,244822.271,2829567.137,42.55733743,477434.3008,15.26513871,0.0,7950.996823,13.19879171,327.7691233,62081.42308,1866.99739,292014.9715,50302.42402,14.55689835,0.0,0.0
35.0,2362.940397,716.7243566,7012.045064,804161.0918,260.6996815,135686.5096,15.26513871,0.0,10.81063939,13.19879171,10.69001832,1225.030329,318.5216513,7083.955453,584.3985908,2170.411569,0.0,0.0
36.0,828.1725998,821.1879449,1209.752105,308485.5863,91.37104481,52050.92972,15.26513871,0.0,10.81063939,13.19879171,10.69001832,12.69664027,10.65526109,1641.042091,10.73119541,14.55689835,0.0,0.0
37.0,10.0,67.93698795,11468.18241,1020088.141,42.46293165,175965.3149,16.17564286,10.3426183,18263.97,15.12580609,0.0,546.8760249,10.65526109,13276.93886,1189.091485,14.64382459,0.0,0.0
38.0,2863.51509,78601.06144,22687.78592,1308715.39,315.927339,220820.2126,15.26513871,0.0,10.81063939,13.19879171,10.69001832,12.69664027,220.1828885,5715.536385,10.73119541,14.55689835,0.0,0.0
39.0,1774.248545,41221.09022,7411.430575,1068516.045,195.1374296,86728.63712,15.26513871,0.0,10.81063939,1328.495877,10.69001832,45146.92109,3310.898249,79264.7021,57569.56765,14.55689835,0.0,0.0
40.0,10.0,65763.56805,51750.49275,2084592.013,42.46293165,359147.5745,16.17564286,10.3426183,10478.0306,60524.40049,0.0,112348.3794,36713.56023,51422.87971,102662.1773,14.64382459,0.0,0.0
41.0,10.0,29222.52283,31588.83893,933051.1286,42.46293165,160951.4209,16.17564286,10.3426183,10.8246642,15.12580609,0.0,7177.438508,308.6293787,4183.989341,24636.25381,14.64382459,0.0,0.0
42.0,680.0895199,36003.82419,14867.53162,2896810.34,75.03326001,488780.2802,318023.8032,0.0,10.81063939,5003.622647,10.69001832,57670.43258,2955.9193,91179.14151,22174.56307,2168.793066,0.0,0.0
43.0,3465.471374,198944.9493,74889.64272,432765.8647,382.340276,73020.80425,15.26513871,0.0,10.81063939,13.19879171,646785.1605,1558523.537,2112.124745,339464.4607,15704.92382,14.55689835,0.0,0.0
44.0,10.0,299069.7133,76632.83349,186283.0269,84.14984184,29752.31491,11782.36558,10.61968242,7693378.597,1264.037445,10.6985163,271777.2653,2847.019007,1306489.679,68294.19942,5396.921106,0.0,0.0
45.0,10.0,233563.5661,37022.91024,94870.11767,84.14984184,15096.52322,15.00373626,10.61968242,10.81063939,10.57955784,10.6985163,10.45950527,1179.131485,21740.33936,10.73119541,124116.6308,0.0,0.0
46.0,10.0,40281.65739,61094.36135,108736.4028,42.55733743,18347.14849,15.26513871,0.0,23297.27564,53380.17549,10.69001832,1486.487641,25854.9397,34138.34297,18125.816,14.55689835,0.0,0.0
47.0,10.0,84063.58153,160723.8849,154602.7991,42.55733743,26086.20884,15.26513871,0.0,10.81063939,3118.748155,10.69001832,53250.62891,15626.26926,208353.2949,21104.56709,2782.205433,0.0,0.0
48.0,18.88283615,36344.33343,37867.30231,99287.54352,42.55733743,16752.83766,15.26513871,0.0,10.81063939,13.19879171,10.69001832,28584.04101,1866.99739,61593.7091,584.3985908,14.55689835,0.0,0.0
49.0,10.0,94005.18994,258409.5776,421728.623,42.55733743,71158.48483,15.26513871,0.0,1564.550988,41735.9659,10.69001832,1050.235833,6054.309881,355045.1674,136803.1379,8346.616301,0.0,0.0
50.0,10.0,82084.63585,154382.394,174340.2297,42.55733743,29416.51552,15.26513871,0.0,10.81063939,13.19879171,10.69001832,12.69664027,10.65526109,3373.31212,10.73119541,14.55689835,0.0,0.0
51.0,10.0,58656.29326,28944.40073,950143.979,42.55733743,160318.2763,15.26513871,0.0,10.81063939,13.19879171,10.69001832,2895.125633,7798.024042,35767.71637,68036.18845,28098.81823,0.0,0.0
52.0,10.0,31175.31831,84533.87655,1884592.38,42.46293165,325092.39,16.17564286,10.3426183,10391.36368,15.12580609,0.0,6887.915906,6023.035685,19346.74878,41772.08441,2215.516926,0.0,0.0
53.0,17.37791369,20423.71661,46854.22747,1676213.618,42.46293165,287664.4678,16.17564286,10.3426183,10.8246642,3571.202818,0.0,11.38294885,900.1690213,6874.337066,475.6365941,14.64382459,0.0,0.0
54.0,1391.516904,17852.2746,117476.8013,3088577.078,180.114241,530390.5753,16.17564286,10.3426183,7557.355403,15.12580609,0.0,95849.30293,4716.123624,32683.07474,20379.19868,5404.869277,0.0,0.0
55.0,3124.295381,120651.048,215005.7068,1837737.556,405.1279479,317009.9279,16.17564286,10.3426183,12090.03531,27893.49901,0.0,53006.1443,44669.33977,138728.6412,175645.4919,159055.9282,0.0,0.0
56.0,10.0,55155.82304,18489.89815,1542094.238,42.55733743,260198.3444,1477.58346,0.0,25443.18983,6642.479383,10.69001832,1410.106853,6089.328075,36885.43537,178262.5917,2170.411569,0.0,0.0
57.0,10.0,2580.455594,9663.4653,117775.255,42.55733743,19872.27862,15.26513871,0.0,19583.60441,13.19879171,10.69001832,1451.23497,10.65526109,1172.172922,10.73119541,14.55689835,0.0,0.0
58.0,10.0,4863.454855,19424.07405,258503.2243,42.55733743,43617.38036,15.26513871,0.0,21933.63693,13.19879171,10.69001832,2711.51797,10.65526109,6870.736668,4157.007961,14.55689835,0.0,0.0
