Commodity,BuyingSelling,BandNumber,LowerBound,Quantity,AverageLength
SCTG01_FKP_LVSK,buying,0,0.0,1485150.1126060486,3.374783182805313
SCTG01_FKP_LVSK,buying,1,5.0,6962719.568181634,8.136699358755347
SCTG01_FKP_LVSK,buying,2,10.0,8.345864052503145E7,30.64419528193012
SCTG01_FKP_LVSK,buying,3,50.0,9.924331138424788E7,74.07588206224585
SCTG01_FKP_LVSK,buying,4,100.0,1.413284328171293E8,146.61519004484452
SCTG01_FKP_LVSK,buying,5,200.0,1.8202749994574666E8,251.5144247338007
SCTG01_FKP_LVSK,buying,6,300.0,1.3153051224308893E8,342.3573823590594
SCTG01_FKP_LVSK,buying,7,400.0,1.037198342050533E8,449.69334062051905
SCTG01_FKP_LVSK,buying,8,500.0,6.6558495188318156E7,563.5849217456722
SCTG01_FKP_LVSK,buying,9,1000.0,0.0,0.0
SCTG01_FKP_LVSK,buying,10,2000.0,0.0,0.0
SCTG01_FKP_LVSK,buying,11,4000.0,0.0,0.0
SCTG01_FKP_LVSK,buying,12,10000.0,0.0,0.0
SCTG01_FKP_LVSK,buying,13,20000.0,0.0,0.0
SCTG01_FKP_LVSK,selling,0,0.0,3.5880896840234375E8,3.2510283220306215
SCTG01_FKP_LVSK,selling,1,5.0,4.657085608857422E8,7.6077499709439955
SCTG01_FKP_LVSK,selling,2,10.0,3.789953976982422E8,17.205883862460865
SCTG01_FKP_LVSK,selling,3,50.0,0.0,0.0
SCTG01_FKP_LVSK,selling,4,100.0,0.0,0.0
SCTG01_FKP_LVSK,selling,5,200.0,0.0,0.0
SCTG01_FKP_LVSK,selling,6,300.0,0.0,0.0
SCTG01_FKP_LVSK,selling,7,400.0,0.0,0.0
SCTG01_FKP_LVSK,selling,8,500.0,0.0,0.0
SCTG01_FKP_LVSK,selling,9,1000.0,0.0,0.0
SCTG01_FKP_LVSK,selling,10,2000.0,0.0,0.0
SCTG01_FKP_LVSK,selling,11,4000.0,0.0,0.0
SCTG01_FKP_LVSK,selling,12,10000.0,0.0,0.0
SCTG01_FKP_LVSK,selling,13,20000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,buying,0,0.0,1017512.1253508329,3.3526036283973593
SCTG02_FKP_AGRI_cereal,buying,1,5.0,4300616.481601223,8.078450925815677
SCTG02_FKP_AGRI_cereal,buying,2,10.0,5.0173795662917376E7,30.518060150935856
SCTG02_FKP_AGRI_cereal,buying,3,50.0,5.7299997415478505E7,73.93558807139286
SCTG02_FKP_AGRI_cereal,buying,4,100.0,7.782875333075733E7,146.16065184829955
SCTG02_FKP_AGRI_cereal,buying,5,200.0,9.234102588128066E7,251.02967263317367
SCTG02_FKP_AGRI_cereal,buying,6,300.0,6.49178517417107E7,342.5318013665306
SCTG02_FKP_AGRI_cereal,buying,7,400.0,5.05770465874165E7,449.59859087120486
SCTG02_FKP_AGRI_cereal,buying,8,500.0,3.27160732584417E7,563.8022928107378
SCTG02_FKP_AGRI_cereal,buying,9,1000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,buying,10,2000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,buying,11,4000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,buying,12,10000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,buying,13,20000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,0,0.0,2.724524773939972E8,3.2168983633182924
SCTG02_FKP_AGRI_cereal,selling,1,5.0,3.424456360678711E8,7.605760523357818
SCTG02_FKP_AGRI_cereal,selling,2,10.0,2.790344359755707E8,17.233756484769593
SCTG02_FKP_AGRI_cereal,selling,3,50.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,4,100.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,5,200.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,6,300.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,7,400.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,8,500.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,9,1000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,10,2000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,11,4000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,12,10000.0,0.0,0.0
SCTG02_FKP_AGRI_cereal,selling,13,20000.0,0.0,0.0
SCTG03_FKP_AGRI_other,buying,0,0.0,5744802.136383057,3.4918081826143377
SCTG03_FKP_AGRI_other,buying,1,5.0,2.5241177626106262E7,8.09757891308777
SCTG03_FKP_AGRI_other,buying,2,10.0,3.3605432163759017E8,30.68319200365596
SCTG03_FKP_AGRI_other,buying,3,50.0,3.298642396097512E8,73.4477287435964
