Azone,ureslo,uresmed,uresmdh,ureshi,umix,umixhi,ucom,uindlt,uind,upub,uoth,ubigany,uany,unonindany,rres,rcntr,rcom,rind,rpub,rreserve,rany,rfor,rnatrs,xrec,xagfor,xcons,xhalo,xother,xother2,xwater,xtp
1.0,0.0,0.0,0.0,0.0,0.0,2112589.5,0.0,0.0,0.0,28808.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334772.46
2.0,0.0,0.0,0.0,0.0,0.0,796485.57,0.0,0.0,0.0,942184.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922757.67,757632.61
3.0,0.0,0.0,0.0,0.0,0.0,328004.57,0.0,0.0,0.0,328004.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618522.9,468577.96
4.0,0.0,0.0,0.0,0.0,0.0,1065237.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633112.72
5.0,0.0,0.0,0.0,9593.13,0.0,1064836.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306980.0
6.0,0.0,0.0,0.0,466620.5,0.0,0.0,0.0,0.0,0.0,145818.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495784.29,48606.3
7.0,0.0,0.0,0.0,0.0,0.0,1826328.36,0.0,0.0,0.0,29143.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136597.97,495440.14
8.0,0.0,0.0,0.0,9684.79,0.0,3457471.03,0.0,0.0,0.0,38739.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869165.01
9.0,0.0,0.0,0.0,0.0,0.0,1635052.3,0.0,0.0,0.0,247735.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129672.5
10.0,0.0,0.0,0.0,598454.07,0.0,1148645.72,0.0,0.0,0.0,67567.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409262.81
11.0,0.0,0.0,0.0,1162942.75,0.0,96911.9,0.0,0.0,0.0,164750.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182325.13
12.0,0.0,0.0,0.0,0.0,0.0,887286.24,0.0,0.0,0.0,204758.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111545.4
13.0,0.0,0.0,0.0,0.0,0.0,561210.03,0.0,0.0,0.0,1015983.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580562.11,599914.18
14.0,0.0,0.0,0.0,0.0,0.0,912144.97,0.0,0.0,0.0,284432.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98080.1,578672.62
