Activity,Commodity,MorU,Coefficient,StdDev,Amount
RES_agmin_ag,SCTG01_FKP_LVSK,M,0.07119736075401306,5.785502958949503E-18,1.203512932029145E9
RES_agmin_ag,SCTG01_FKP_LVSK,U,-0.01739591546356678,1.3544465715591848E-18,-2.940587825610978E8
RES_agmin_ag,SCTG02_FKP_AGRI_cereal,M,0.052205536514520645,4.760041947896278E-18,8.824770701237531E8
RES_agmin_ag,SCTG02_FKP_AGRI_cereal,U,-0.017660576850175858,1.4352066479567636E-18,-2.985325916745186E8
RES_agmin_ag,SCTG03_FKP_AGRI_other,M,0.49180975556373596,4.502067338880951E-17,8.313501998537014E9
RES_agmin_ag,SCTG03_FKP_AGRI_other,U,-0.037486087530851364,3.0019500804034687E-18,-6.336610042390251E8
RES_agmin_ag,SCTG04_FKP_FEED,M,0.007752208039164543,7.190035269175801E-19,1.3104253483706476E8
RES_agmin_ag,SCTG04_FKP_FEED,U,-0.02677961438894272,2.345970278077983E-18,-4.5267987310933673E8
RES_agmin_ag,SCTG05_FKP_FOOD_meat,M,0.014325415715575218,1.2936777900237264E-18,2.4215536766812703E8
RES_agmin_ag,SCTG05_FKP_FOOD_meat,U,-9.750000026542693E-5,9.1101984489443E-21,-1648130.0704067487
RES_agmin_ag,SCTG06_FKP_AGRI_grain,U,-5.910149775445461E-4,5.0456483717229974E-20,-9990456.96307898
RES_agmin_ag,SCTG07_FKP_FOOD_prep,M,0.06969212740659714,5.5120157206329264E-18,1.1780686208896408E9
RES_agmin_ag,SCTG07_FKP_FOOD_prep,U,-0.0045988899655640125,3.725538059417598E-19,-7.77391674061933E7
RES_agmin_ag,SCTG08_FKP_FOOD_alc,U,-4.4600001274375245E-5,4.025700439411855E-21,-753913.8773371091
RES_agmin_ag,SCTG10_CMS_CLAY,M,0.015715090557932854,1.3304721714058235E-18,2.6564628961215028E8
RES_agmin_ag,SCTG10_CMS_CLAY,U,-0.0026291341055184603,2.1625987004297487E-19,-4.4442615042468324E7
RES_agmin_ag,SCTG11_CMS_SAND,M,0.017168214544653893,1.268555441467802E-18,2.9020974942778593E8
RES_agmin_ag,SCTG11_CMS_SAND,U,-3.49442008882761E-4,2.8723616915216536E-20,-5906932.1142067965
RES_agmin_ag,SCTG13_CMS_MINE_nonmet,M,0.0025174999609589577,1.8079696746717198E-19,4.255556283701419E7
RES_agmin_ag,SCTG13_CMS_MINE_nonmet,U,-0.0021835039369761944,1.7657544448196334E-19,-3.690972807779647E7
RES_agmin_ag,SCTG14_CMS_MINE_met,M,0.09071815758943558,7.457552500865202E-18,1.5334904928001802E9
RES_agmin_ag,SCTG14_CMS_MINE_met,U,-0.019668327644467354,1.5116582713927608E-18,-3.324714065355089E8
RES_agmin_ag,SCTG15_PCC_COAL,M,0.004587164148688316,3.96106309641191E-19,7.754095539244656E7
RES_agmin_ag,SCTG15_PCC_COAL,U,-4.621350090019405E-4,4.033013252776774E-20,-7811883.106157004
RES_agmin_ag,SCTG16_PCC_PETR_crude,M,0.041605331003665924,3.107313542027167E-18,7.032922762020036E8
RES_agmin_ag,SCTG16_PCC_PETR_crude,U,-5.083029973320663E-4,4.081430512090304E-20,-8592302.076925453
RES_agmin_ag,SCTG17_PCC_FUEL,M,0.0025924190413206816,2.1857287562401896E-19,4.382198733809351E7
RES_agmin_ag,SCTG17_PCC_FUEL,U,-0.028099577873945236,2.4532694666933987E-18,-4.749924013713797E8
RES_agmin_ag,SCTG18_PCC_PETR_oil,M,0.0012962090549990535,1.0870972435203144E-19,2.191098579755579E7
RES_agmin_ag,SCTG18_PCC_PETR_oil,U,-0.014049788005650043,1.2748824405247512E-18,-2.3749618494270787E8
RES_agmin_ag,SCTG19_PCC_COAL_prod,M,0.00172739801928401,1.5373876654048357E-19,2.9199760116847526E7
RES_agmin_ag,SCTG19_PCC_COAL_prod,U,-0.01649635285139084,1.342512888968623E-18,-2.7885266781951135E8
RES_agmin_ag,SCTG20_PCC_CHEM_basic,M,0.0014968999894335866,1.3823762434091937E-19,2.530344490523923E7
RES_agmin_ag,SCTG20_PCC_CHEM_basic,U,-0.0016669549513608217,1.4359072614463605E-19,-2.8178036655097246E7
RES_agmin_ag,SCTG21_PCC_CHEM_pharma,U,-0.0011028409935534,8.162861024180608E-20,-1.8642311788763523E7
RES_agmin_ag,SCTG22_PCC_CHEM_fert,U,-0.028542041778564453,2.537110882935604E-18,-4.82471766133301E8
RES_agmin_ag,SCTG23_PCC_CHEM_prod,U,-0.04124588519334793,3.403891440419113E-18,-6.97216240847604E8
RES_agmin_ag,SCTG24_PCC_PETR_plast,U,-0.005206581205129623,4.2311601366957226E-19,-8.801151820336539E7
RES_agmin_ag,SCTG25_FWP_LOGS,M,0.03155307099223137,2.537110882935604E-18,5.33369897173382E8
RES_agmin_ag,SCTG25_FWP_LOGS,U,-2.599999970698263E-5,4.0674186566496514E-21,-439501.3459588643
RES_agmin_ag,SCTG26_FWP_WOOD,U,-0.002421674085780978,1.835573861572291E-19,-4.093573200651244E7
RES_agmin_ag,SCTG27_PPP_PAPR_puplp,U,-1.4349199773278087E-4,1.1386400318935147E-20,-2425574.1095622634
