Activity,SCTG01_FKP_LVSK,SCTG02_FKP_AGRI_cereal,SCTG03_FKP_AGRI_other,SCTG04_FKP_FEED,SCTG05_FKP_FOOD_meat,SCTG07_FKP_FOOD_prep,SCTG10_CMS_CLAY,SCTG11_CMS_SAND,SCTG13_CMS_MINE_nonmet,SCTG14_CMS_MINE_met,SCTG15_PCC_COAL,SCTG16_PCC_PETR_crude,SCTG17_PCC_FUEL,SCTG18_PCC_PETR_oil,SCTG19_PCC_COAL_prod,SCTG20_PCC_CHEM_basic,SCTG25_FWP_LOGS,SCTG30_OTH_CLTH,SCTG31_CMS_MIN,SCTG33_MIT_METL_prod,Entertainment Services,Fire Business and Professional Services,Internal Services Resources,Energy,Communications and Utilities,Wholesale Trade,Internal Services Energy,Construction,Internal Services Construction,SCTG06_FKP_AGRI_grain,SCTG08_FKP_FOOD_alc,SCTG21_PCC_CHEM_pharma,SCTG23_PCC_CHEM_prod,SCTG24_PCC_PETR_plast,SCTG32_MIT_METL_base,SCTG34_MIT_MACH,SCTG35_MIT_ELCT,SCTG36_MIT_TRAN,SCTG38_MIT_INST_prec,SCTG39_OTH_FURN,SCTG40_OTH_MISC,SCTG41_WASTE_SCRAP,SCTG26_FWP_WOOD,SCTG27_PPP_PAPR_puplp,SCTG28_PPP_PAPR_paper,SCTG29_PPP_PAPR_print,SCTG37_MIT_INST_transp,SCTG22_PCC_CHEM_fert,Internal Services Manufacturing,Internal Services Wholesale,Retail Trade,Internal Services Retail Store,Transport,Internal ServicesTransport,Higher Education,Internal Services Information,Personal and Other Services and Amusements,Internal Services Utilities,Health Services,Teaching K12,Return Investment Receipts,Education Reports to Sponsors,Internal Services Education k12,Accommodations,Food Services,Government Administration,Internal Services Government Administration,Tax Receipts,Capital Transfer Receipts,Investing Receipts,Government Support Receipts,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B4-Technical Unskilled,C1-Sales Clerical Professionals,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled,C2-Sales Service,B3-Health,Proprietor Income Receipts
RES_agmin_ag,0.012125889,0.0047226,0.019357113,5.32264763E-4,9.733477491E-4,0.00445156,0.001159045,8.52476398E-4,2.943919681E-4,0.010374629,4.739041615E-4,9.209776763E-4,7.05670318E-5,1.866293896E-4,3.437157138E-4,5.427894939E-5,0.009262388,5.082066855E-5,1.790447095E-5,1.815153468E-7,5.194429468E-5,0.001126238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_forst_log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293549478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_offc_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007771268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_elec_hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199284777,7.112425374E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_ngas_hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_ptrl_hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014683133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGY_offc_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007771268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_main_xxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013141567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_nres_xxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013141567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_othr_xxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013141567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
