zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
1,0,2.74660576E8,1.56507072E8,5.887402E7,2.3898844E7,6.0816628E7,7.6612472E7,1.6185559E7,9.4558552E7,5.6648056E7,4841115.5,1.419529E7,1.5016809E7,2.2369174E7
2,0,1.21588624E8,7.6226304E7,5845791.0,1.0991697E7,2.5736322E7,3.5570132E7,1879086.6,4.2328408E7,6398623.5,1519455.5,5931399.5,4669293.0,5493841.0
3,0,3.5810748E7,2.2581156E7,2008643.5,3247923.2,7669781.0,1.0420801E7,431603.6,1.2468579E7,1845811.5,1758545.8,4318813.0,2303025.0,4087633.8
4,0,2.242394E7,1.3585516E7,1831135.6,1953026.0,4896258.0,6604547.5,2297003.5,7927863.5,3705284.8,468172.28,3583174.8,1301728.0,3924588.8
5,0,2829656.5,1818787.5,463992.44,253719.38,672632.94,837081.9,89692.41,997331.06,294277.75,172172.9,3029118.2,1633233.0,2984199.5
6,0,246799.88,154428.73,7751.299,26889.564,56370.008,110118.37,6290.4424,91883.555,72754.195,136342.19,2898323.2,1266328.0,2857148.0
7,0,7802447.0,4610112.0,397217.94,849686.44,1746571.5,2435738.5,1404774.1,2840088.8,1771929.9,609750.8,3489388.5,2843066.5,3560662.2
8,0,4.6317264E7,2.7993456E7,4344066.5,4552773.5,1.0419019E7,1.4858047E7,6005007.0,1.6706034E7,7992697.0,1903023.8,8767214.0,2.4875058E7,8353643.0
9,0,1.05748072E8,6.5020976E7,4513878.5,9578180.0,2.2435636E7,3.1459562E7,6904339.0,3.7207852E7,1.1217353E7,1679212.1,6184479.5,4607665.5,6674304.0
10,0,2.3952032E8,1.4581128E8,8.1181296E7,2.3297062E7,5.9954196E7,6.8792952E7,1.0114643E7,8.365884E7,2.8138716E7,4875780.5,1.3122273E7,1.1892802E7,1.6845896E7
11,0,1.6865722E7,9680260.0,3775678.2,1469036.2,4081098.0,4691529.5,3350282.2,6033010.5,5872110.0,544785.2,3738954.8,1281345.8,4581308.5
12,0,3.40619776E8,2.13037648E8,4.6915688E7,5.9206464E7,8.4081296E7,9.8785432E7,3928320.8,1.20965608E8,1.8004538E7,5051500.5,1.4976385E7,3.1112224E7,1.4321312E7
13,0,6.1009204E7,3.7364076E7,1.0085082E7,5463302.0,1.3620359E7,1.7555546E7,1179772.4,2.1132292E7,5376907.0,905657.06,4629424.0,2650269.2,5028481.5
14,0,8105428.5,4399279.0,199439.03,637353.7,1490104.2,2171800.5,233217.12,2725923.0,1988053.1,211970.97,2969990.2,580231.6,3255803.5
15,0,1.22454064E8,7.629896E7,6730272.5,6.1363412E7,4.064756E7,3.4565912E7,1962871.1,4.7146096E7,7882769.5,2100029.2,6800995.0,4779325.0,7710855.5
16,0,1.6549502E7,1.1293173E7,7489653.0,1508024.5,4925977.0,4065865.0,807858.1,5855294.5,2318360.8,503330.25,3833354.8,3683531.0,3994024.2
17,0,1.047484E8,4.8922376E7,1.1048651E7,2.408645E7,2.5728814E7,7.6849672E7,6056808.0,4.0666076E7,1.6540545E7,1.2338927E7,1.6230258E7,2.9330448E7,2.4327654E7
18,0,5.0547008E7,2.3451274E7,870670.94,1.0745465E7,1.1325019E7,1.4132883E7,1940947.2,1.634342E7,5142995.0,8593560.0,6157380.0,4992679.5,8135239.0
19,0,1.48692208E8,6.7828E7,557723.44,6279580.5,2.1269258E7,1.49692848E8,4320722.0,5.1037976E7,1.7365192E7,3.7885848E7,3.0871024E7,4.2835644E7,4.5680572E7
20,0,187266.56,143809.02,24794.76,38563.754,108659.52,37121.715,3565.5078,56432.145,182996.95,38805.027,861393.75,79925.22,900751.94
21,0,2929968.0,1331676.8,9426.567,41074.824,393869.2,539527.8,87278.24,671471.5,259699.58,51635.938,889299.9,132502.38,922570.7
22,0,3255.9893,3059.8577,450.9937,4326.238,8940.431,822.8615,187.21814,1988.8198,113913.92,50213.06,861188.9,75666.38,888991.6
23,0,2291885.8,1042570.1,1290374.5,79209.19,531488.2,506074.16,255456.78,567051.06,456658.7,292070.7,1056006.2,236121.56,1149887.5
24,0,494113.56,213098.62,2333.4998,60916.992,93945.71,314787.5,92553.61,160347.31,234908.52,294188.5,1106371.6,224565.81,1444267.6
25,0,3.8838388E7,1.7743326E7,118316.53,3118381.0,6056733.5,7.8335528E7,1182926.9,1.8803798E7,7797664.0,3.0636438E7,2.1850072E7,2.5849308E7,2.9833058E7
26,0,9845506.0,4480057.5,32385.143,137970.25,1311378.0,3.0738024E7,556402.25,6129930.5,3171221.0,5973992.5,6886802.5,9614205.0,1.0047124E7
27,0,1800459.8,779607.06,7175.7524,31227.428,253655.55,365462.38,289859.16,441980.97,442158.06,106866.02,1150587.8,229301.47,1677152.5
28,0,484710.75,232523.72,5659.0703,86547.11,116057.07,132167.39,5672.6562,154169.45,263632.6,60839.83,1199469.4,131312.17,1269912.9
29,0,8.1678872E7,3.744688E7,2696640.8,6.1890484E7,3.282589E7,3.5148908E7,1.0375861E7,3.323605E7,2.1820638E7,6463600.5,9582861.0,1.1978288E7,1.4570368E7
30,0,4478994.0,1883539.8,80078.53,1072678.2,1156876.5,1411558.5,1240063.9,1550238.9,2275907.2,385485.22,1630556.6,559294.6,1949873.2
31,0,1.4596655E7,8852297.0,1512395.9,2411389.8,3648485.5,5405431.5,659589.06,4688906.5,1101163.0,773064.1,1673321.1,1236334.8,1667910.2
32,0,6462760.0,3973090.2,4488360.0,880545.7,2113260.8,1777455.1,356705.8,2123129.8,862441.44,245843.72,1007490.2,435503.53,1137934.4
33,0,3410530.5,689031.6,214723.94,53647.914,859258.9,1584325.8,4218345.5,1314770.9,6770162.5,247292.62,2028931.2,846979.8,2822600.0
34,0,1.5466854E7,9449961.0,3305999.2,1357022.8,3685659.5,5337953.0,686876.94,4780991.0,1191486.2,312695.03,1199836.4,724558.94,1277509.9
35,0,371570.8,229381.66,62384.973,54704.723,103718.45,135301.97,9250.075,118771.266,189593.9,34045.758,487336.7,76391.57,532049.94
36,0,78867.82,50622.027,4465.2046,9244.331,27809.965,28258.453,561.07513,24735.969,172246.02,21145.018,462211.53,41793.63,508428.34
37,0,938168.56,305194.47,939406.2,39303.88,228284.89,411259.2,22552.043,318272.94,159278.6,25781.191,406117.06,90795.86,460330.72
38,0,273234.75,169674.44,13303.321,39444.516,73831.664,99272.27,1617.8701,85523.5,178128.4,29210.07,474710.2,50085.03,518829.72
39,0,5128775.5,3058486.2,1891355.0,645682.5,1423347.9,1675309.9,715949.06,1689550.1,925534.44,232360.19,880740.5,320649.88,1017299.8
40,0,6957033.5,3127073.5,3595274.8,1751711.8,2391825.8,2423520.2,1547978.6,2660651.5,2078076.9,1886137.5,2167511.5,686651.06,2965123.2
41,0,582274.25,222564.17,198678.02,51314.785,153457.12,223188.73,359173.28,227360.22,452211.9,44058.55,432632.94,93823.31,510818.38
42,0,1.0131394E7,3638358.5,2391442.5,693979.3,1747822.0,2338566.0,941888.4,3068284.5,6566592.5,370465.66,1200284.2,636733.8,2613704.8
43,0,6.7351256E7,4.1396812E7,6.0145052E7,7.8865168E7,4.369456E7,1.3213642E7,822214.06,2.8573632E7,7935608.0,1613859.9,5580630.5,2349608.0,8595846.0
