zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
1,0,4871448.0,2701613.2,678570.5,1091894.2,925508.8,1394903.1,512783.4,1299988.5,908335.4,362697.72,512994.4,761285.4,723812.4
2,0,4098769.8,2051396.9,459725.9,964028.56,573011.25,1063949.5,311915.97,730418.9,478347.6,207647.25,333435.62,475793.97,378412.75
3,0,4182905.2,2352249.8,599766.75,930718.44,827040.8,1214587.4,459196.3,1173345.0,826324.94,326597.12,455516.47,679227.4,658455.7
4,0,4844140.0,2747477.0,706365.4,1073014.0,979560.2,1418199.4,544438.44,1397348.8,987176.1,388551.53,537911.1,804033.2,786919.7
5,0,5135977.5,2846524.8,710533.6,1152705.1,963546.6,1466046.5,533106.5,1348995.9,934297.44,377394.38,536964.1,794555.5,746390.1
6,0,4213161.0,2334057.8,582292.1,945817.9,789303.44,1202068.8,436664.12,1104639.5,764768.75,309069.53,439984.0,650927.5,610980.56
7,0,1.3042969E7,7225417.5,1802467.4,2928091.2,2443144.2,3721150.5,1351598.2,3419087.2,2366985.8,956644.4,1361933.6,2014845.2,1891015.0
8,0,1.664286E7,9072106.0,2231861.0,3764700.8,2996245.5,4680709.5,1654831.2,4148639.5,2861272.0,1162033.5,1677079.1,2471319.5,2281554.5
9,0,7942263.5,4402914.5,1107432.0,1779970.4,1512549.9,2275196.2,838342.56,2125872.5,1489115.9,592658.1,837139.9,1243231.8,1185642.2
10,0,5776085.5,3396234.2,900051.8,1255797.4,1273226.2,1748391.8,710088.9,1851979.8,1319573.0,513779.56,692878.56,1044191.4,1054837.5
11,0,1.743006E7,9778378.0,2480599.2,3884993.2,3406211.2,5043194.0,1889432.9,4818704.5,3376172.5,1343387.1,1882447.4,2801317.5,2693518.5
12,0,1.0611313E7,5961209.0,1515644.8,2363043.8,2084810.1,3075537.8,1156878.9,2953271.8,2072986.5,822826.6,1150660.9,1713719.1,1653192.2
13,0,5966212.5,3058046.5,706076.1,1388304.1,902934.1,1585046.4,494120.06,1184837.8,793220.7,334742.78,517843.12,747381.2,628589.6
14,0,4898840.0,2523202.8,586028.25,1137393.8,753099.9,1307657.1,412535.3,993538.6,667786.9,280379.28,430723.78,622990.75,529353.06
15,0,1.1157763E7,5877432.0,1398963.2,2564244.5,1833023.9,3041761.2,1007887.6,2470912.8,1682594.1,694671.94,1037848.7,1513780.2,1336689.1
16,0,7639057.0,4186897.8,1035267.6,1723505.6,1394859.1,2159173.0,770884.6,1938817.8,1339592.9,542776.75,779418.0,1150276.8,1068737.4
17,0,2.4934296E7,1.3960292E7,4410409.0,6069771.0,5480831.0,8257256.0,3038298.8,7714426.0,4566544.0,2547713.8,3609236.0,5164437.0,4636258.5
18,0,3.6302228E7,1.9666246E7,5925647.0,9102509.0,6945607.0,1.1537096E7,3852917.5,9422712.0,5179225.5,3186007.5,4742933.0,6719920.0,5472740.5
19,0,4880394.0,2021437.9,926069.0,1500566.2,890090.25,1706655.5,479299.6,1127919.0,423440.5,540684.8,1038473.56,1321813.8,923247.25
20,0,4075217.8,1701486.6,791035.56,1241704.6,773852.3,1437242.6,412732.3,986557.7,382740.3,473685.9,908493.44,1146449.2,829007.3
21,0,4394539.0,1835001.2,853244.8,1338872.1,834858.1,1550000.5,445221.9,1064382.6,413051.5,511073.72,980217.0,1236830.4,894640.25
22,0,3268380.2,1364620.4,634435.25,995850.56,620670.56,1152702.4,331030.0,791282.8,307001.38,379923.78,728653.8,919500.5,664941.0
23,0,5547319.5,2316337.5,1077081.9,1690051.8,1053917.1,1956633.1,562039.9,1343709.5,521512.06,645175.8,1237361.5,1561300.4,1129478.4
24,0,1.4426975E7,6003336.5,2773805.8,4412814.0,2693651.5,5069811.0,1442360.1,3425427.2,1311146.2,1643604.2,3154270.2,3994603.0,2847629.8
25,0,5565876.5,2298042.5,1046523.5,1717463.9,998505.94,1939763.8,539831.8,1262064.8,467073.25,604582.5,1161935.0,1484326.9,1021397.8
26,0,4737414.0,1948776.9,881294.8,1467848.1,833566.5,1644553.8,452811.0,1050364.9,381999.16,502756.8,966957.25,1240633.4,838401.56
27,0,1.1076737E7,4555258.5,2058517.9,3433531.2,1945187.6,3843517.2,1057107.2,2450062.5,889204.9,1172698.8,2256077.8,2895689.0,1952759.0
28,0,1.7043432E7,8983647.0,2600524.0,4372687.5,2890468.2,5240686.0,1605927.1,3773957.5,1919749.4,1306202.8,2038565.4,2865299.0,2117823.0
29,0,3.7455448E7,2.2088788E7,7486777.0,8661420.0,1.0057599E7,1.325125E7,5575605.5,1.4774732E7,9502269.0,4742187.0,6307059.5,9154051.0,9236491.0
30,0,4.1448872E7,2.1918852E7,6377771.0,1.0605526E7,7140894.0,1.2797332E7,3967015.2,9373018.0,4827060.0,3232977.8,5012808.0,7054306.0,5288002.5
31,0,1.1399866E7,5658738.5,2062244.2,3129699.2,1991932.5,3674711.0,1073716.5,2542639.5,1117651.0,1027084.5,1690540.2,2252157.8,1666831.5
32,0,6292892.5,3124175.0,1138948.8,1727424.2,1100632.8,2029050.5,593251.56,1405319.6,618252.44,567657.06,934072.1,1244315.2,921742.4
33,0,1.087541E7,5757263.0,1678055.2,2780204.5,1883344.1,3362327.5,1046229.4,2476282.5,1280347.9,853180.0,1320062.6,1858411.1,1399469.6
34,0,3.9543296E7,1.9739086E7,7321133.0,1.0772349E7,7252669.5,1.2923442E7,3909542.8,9412468.0,4392946.5,3764852.8,6082804.0,8099707.5,6324667.0
35,0,1.0470448E7,5197435.0,1894126.9,2874510.2,1829389.9,3375072.0,986058.25,2335145.2,1025909.56,943377.75,1552828.4,2068583.6,1530685.8
36,0,4008334.5,1989543.5,724890.06,1100561.0,699955.75,1291859.0,377297.0,893266.2,392276.53,360897.7,594166.3,791561.8,585395.2
37,0,1.0929084E7,5364558.5,2258896.8,3047687.5,2296372.8,3994567.8,1220414.8,2761394.0,1249658.8,1250552.4,2035880.8,2656110.8,2064970.1
