age_category,population,share
25,463925,0.0687425837876
45,453730,0.0672319287427
15,467020,0.0692011887277
10,449856,0.0666578946433
55,454666,0.0673706215453
30,455900,0.067553470817
50,461793,0.068426672404
35,452594,0.0670636007259
60,414922,0.0614815117753
0,455806,0.0675395422663
75,162982,0.0241500324209
5,439946,0.0651894697786
40,449528,0.0666092928919
70,190407,0.028213761171
20,469260,0.069533103127
80,145368,0.0215400591045
85,123570,0.0183101171065
65,237455,0.0351851489644
