Name,Type,Coeff
Lq1,,1.01692422588479
Lq2,,1.48071040579455
Bq1,"FLR MH",-2.68199413343341
Bq1,"FLR MF",-3.84517449821589
Bq1,"FLR AT",-3.60789340054091
Bq1,"FLR SFD",-2.24556399700276
Bq1,"FLR RRMH",-1.49780869481565
Bq1,"FLR RRSFD",-1.97620378506304
Bq2,,0.993564334806465
Bq3,"FLR MH",0
Bq3,"FLR MF",0
Bq3,"FLR AT",0
Bq3,"FLR SFD",0
Bq3,"FLR RRMH",0
Bq3,"FLR RRSFD",0
Bq4,,0.881171581676308
Lp,,0.075
Stc,,1
B3f,,1.24888910381021
B4f,,-0.271316340491224
B5f,,1.16002904841736
B6f,,0.284711826663632
B7f,,0.0522444116973517
B8f,,6.64284731959259
B9f,,0.000673479182324487
Df,,0.116593279821361
B1v,,0.707673592752324
B2v,,1.6080655192815
B3v,,0.167151614743397
B4v,,1.96084320943102
B5v,,0.760679981873972
B6v,,3.12642478504301
B7v,,0.225570182626617
B8v,,2.85452440896011
