occupation,occupationLabel
0,0_NoOccupation
1,1_ManPro
2,1_ManPro
3,1_ManPro
4,1_ManPro
5,1_ManPro
6,1_ManPro
7,1_ManPro
8,1_ManPro
9,1_ManPro
10,1_ManPro
11,1_ManPro
12,1_ManPro
13,1_ManPro
14,1_ManPro
15,1_ManPro
16,1_ManPro
17,1_ManPro
18,1_ManPro
19,1_ManPro
20,1_ManPro
21,1_ManPro
22,1_ManPro
23,1_ManPro
24,1_ManPro
25,1_ManPro
26,1_ManPro
27,1_ManPro
28,1_ManPro
29,1_ManPro
30,1_ManPro
31,1_ManPro
32,1_ManPro
33,1_ManPro
34,1_ManPro
35,1_ManPro
36,1_ManPro
37,1_ManPro
38,1_ManPro
39,1_ManPro
40,1_ManPro
41,1_ManPro
42,1_ManPro
43,1_ManPro
44,1_ManPro
45,1_ManPro
46,1_ManPro
47,1_ManPro
48,1_ManPro
49,1_ManPro
50,1_ManPro
51,1_ManPro
52,1_ManPro
53,1_ManPro
54,1_ManPro
55,1_ManPro
56,1_ManPro
57,1_ManPro
58,1_ManPro
59,1_ManPro
60,1_ManPro
61,1_ManPro
62,1_ManPro
63,1_ManPro
64,1_ManPro
65,1_ManPro
66,1_ManPro
67,1_ManPro
68,1_ManPro
69,1_ManPro
70,1_ManPro
71,1_ManPro
72,1_ManPro
73,1_ManPro
74,1_ManPro
75,1_ManPro
76,1_ManPro
77,1_ManPro
78,1_ManPro
79,1_ManPro
80,1_ManPro
81,1_ManPro
82,1_ManPro
83,1a_Health
84,1a_Health
85,1a_Health
86,1a_Health
87,1a_Health
88,1a_Health
89,1a_Health
90,1a_Health
91,1a_Health
92,1a_Health
93,1a_Health
94,1a_Health
95,1a_Health
96,1a_Health
97,1a_Health
98,1a_Health
99,1a_Health
100,1a_Health
101,1a_Health
102,1a_Health
103,1a_Health
104,1a_Health
105,1a_Health
106,1a_Health
107,1a_Health
108,1a_Health
109,1a_Health
110,1a_Health
111,1a_Health
112,1a_Health
113,2_PstSec
114,2_PstSec
115,2_PstSec
116,2_PstSec
117,2_PstSec
118,2_PstSec
119,2_PstSec
120,2_PstSec
121,2_PstSec
122,2_PstSec
123,2_PstSec
124,2_PstSec
125,2_PstSec
126,2_PstSec
127,2_PstSec
128,2_PstSec
129,2_PstSec
130,2_PstSec
131,2_PstSec
132,2_PstSec
133,2_PstSec
134,2_PstSec
135,2_PstSec
136,2_PstSec
137,2_PstSec
138,2_PstSec
139,2_PstSec
140,2_PstSec
141,2_PstSec
142,2_PstSec
143,2_PstSec
144,2_PstSec
145,2_PstSec
146,2_PstSec
147,2_PstSec
148,2_PstSec
149,2_PstSec
150,2_PstSec
151,2_PstSec
152,2_PstSec
153,2_PstSec
154,2_PstSec
155,3_OthTchr
156,3_OthTchr
157,3_OthTchr
158,3_OthTchr
159,3_OthTchr
160,3_OthTchr
161,3_OthTchr
162,3_OthTchr
163,4_OthP&T
164,4_OthP&T
165,4_OthP&T
166,4_OthP&T
167,4_OthP&T
168,4_OthP&T
169,4_OthP&T
170,4_OthP&T
171,4_OthP&T
172,4_OthP&T
173,4_OthP&T
174,4_OthP&T
175,4_OthP&T
176,4_OthP&T
177,4_OthP&T
178,4_OthP&T
179,4_OthP&T
180,4_OthP&T
181,4_OthP&T
182,4_OthP&T
183,4_OthP&T
184,4_OthP&T
185,4_OthP&T
186,4_OthP&T
187,4_OthP&T
188,4_OthP&T
