personType,tourPosition,stop,tourPurpose,stopPurpose,probability
1,0,1,0,1,0.00000
1,0,1,0,2,0.00000
1,0,1,0,3,0.00000
1,0,1,1,1,0.00000
1,0,1,1,2,0.00000
1,0,1,1,3,0.00000
1,0,1,2,1,0.00000
1,0,1,2,2,0.00000
1,0,1,2,3,0.00000
1,0,1,3,1,0.24106
1,0,1,3,2,0.34258
1,0,1,3,3,0.41636
1,0,1,4,1,0.00000
1,0,1,4,2,0.00000
1,0,1,4,3,0.00000
1,0,1,5,1,0.26024
1,0,1,5,2,0.15902
1,0,1,5,3,0.58074
1,0,1,6,1,0.00000
1,0,1,6,2,0.27153
1,0,1,6,3,0.72847
1,0,1,7,1,0.00000
1,0,1,7,2,0.00000
1,0,1,7,3,1.00000
1,0,2,0,1,0.00000
1,0,2,0,2,0.00000
1,0,2,0,3,0.00000
1,0,2,1,1,0.00000
1,0,2,1,2,0.00000
1,0,2,1,3,0.00000
1,0,2,2,1,0.00000
1,0,2,2,2,0.00000
1,0,2,2,3,0.00000
1,0,2,3,1,0.24106
1,0,2,3,2,0.34258
1,0,2,3,3,0.41636
1,0,2,4,1,0.00000
1,0,2,4,2,0.00000
1,0,2,4,3,0.00000
1,0,2,5,1,0.26024
1,0,2,5,2,0.15902
1,0,2,5,3,0.58074
1,0,2,6,1,0.00000
1,0,2,6,2,0.27153
1,0,2,6,3,0.72847
1,0,2,7,1,0.00000
1,0,2,7,2,0.00000
1,0,2,7,3,1.00000
1,1,1,0,1,0.00000
1,1,1,0,2,0.00000
1,1,1,0,3,0.00000
1,1,1,1,1,0.00000
1,1,1,1,2,0.00000
1,1,1,1,3,0.00000
1,1,1,2,1,0.00000
1,1,1,2,2,0.00000
1,1,1,2,3,0.00000
1,1,1,3,1,0.24106
1,1,1,3,2,0.34258
1,1,1,3,3,0.41636
1,1,1,4,1,0.00000
1,1,1,4,2,0.00000
1,1,1,4,3,0.00000
1,1,1,5,1,0.26024
1,1,1,5,2,0.15902
1,1,1,5,3,0.58074
1,1,1,6,1,0.00000
1,1,1,6,2,0.27153
1,1,1,6,3,0.72847
1,1,1,7,1,0.00000
1,1,1,7,2,0.00000
1,1,1,7,3,1.00000
1,1,2,0,1,0.00000
1,1,2,0,2,0.00000
1,1,2,0,3,0.00000
1,1,2,1,1,0.00000
1,1,2,1,2,0.00000
1,1,2,1,3,0.00000
1,1,2,2,1,0.00000
1,1,2,2,2,0.00000
1,1,2,2,3,0.00000
1,1,2,3,1,0.24106
1,1,2,3,2,0.34258
1,1,2,3,3,0.41636
1,1,2,4,1,0.00000
1,1,2,4,2,0.00000
1,1,2,4,3,0.00000
1,1,2,5,1,0.26024
1,1,2,5,2,0.15902
1,1,2,5,3,0.58074
1,1,2,6,1,0.00000
1,1,2,6,2,0.27153
1,1,2,6,3,0.72847
1,1,2,7,1,0.00000
1,1,2,7,2,0.00000
1,1,2,7,3,1.00000
1,2,1,0,1,0.00000
1,2,1,0,2,0.00000
1,2,1,0,3,0.00000
1,2,1,1,1,0.00000
1,2,1,1,2,0.00000
1,2,1,1,3,0.00000
1,2,1,2,1,0.00000
1,2,1,2,2,0.00000
1,2,1,2,3,0.00000
1,2,1,3,1,0.24106
1,2,1,3,2,0.34258
1,2,1,3,3,0.41636
1,2,1,4,1,0.00000
1,2,1,4,2,0.00000
1,2,1,4,3,0.00000
1,2,1,5,1,0.26024
1,2,1,5,2,0.15902
1,2,1,5,3,0.58074
1,2,1,6,1,0.00000
1,2,1,6,2,0.27153
1,2,1,6,3,0.72847
1,2,1,7,1,0.00000
1,2,1,7,2,0.00000
1,2,1,7,3,1.00000
1,2,2,0,1,0.00000
1,2,2,0,2,0.00000
1,2,2,0,3,0.00000
1,2,2,1,1,0.00000
1,2,2,1,2,0.00000
1,2,2,1,3,0.00000
1,2,2,2,1,0.00000
1,2,2,2,2,0.00000
1,2,2,2,3,0.00000
1,2,2,3,1,0.24106
1,2,2,3,2,0.34258
1,2,2,3,3,0.41636
1,2,2,4,1,0.00000
1,2,2,4,2,0.00000
1,2,2,4,3,0.00000
1,2,2,5,1,0.26024
1,2,2,5,2,0.15902
1,2,2,5,3,0.58074
1,2,2,6,1,0.00000
1,2,2,6,2,0.27153
1,2,2,6,3,0.72847
1,2,2,7,1,0.00000
1,2,2,7,2,0.00000
1,2,2,7,3,1.00000
2,0,1,0,1,0.00000
2,0,1,0,2,0.00000
2,0,1,0,3,0.00000
2,0,1,1,1,0.15478
2,0,1,1,2,0.65036
2,0,1,1,3,0.19486
2,0,1,2,1,0.00000
2,0,1,2,2,0.00000
2,0,1,2,3,1.00000
2,0,1,3,1,0.06842
2,0,1,3,2,0.35778
2,0,1,3,3,0.57380
2,0,1,4,1,0.00000
2,0,1,4,2,0.00000
2,0,1,4,3,0.00000
2,0,1,5,1,0.23788
2,0,1,5,2,0.25232
2,0,1,5,3,0.50980
2,0,1,6,1,0.00000
2,0,1,6,2,0.34102
2,0,1,6,3,0.65898
2,0,1,7,1,0.00000
2,0,1,7,2,0.00000
2,0,1,7,3,1.00000
2,0,2,0,1,0.00000
2,0,2,0,2,0.00000
2,0,2,0,3,0.00000
2,0,2,1,1,0.15478
2,0,2,1,2,0.65036
2,0,2,1,3,0.19486
2,0,2,2,1,0.00000
2,0,2,2,2,0.00000
2,0,2,2,3,1.00000
2,0,2,3,1,0.06842
2,0,2,3,2,0.35778
2,0,2,3,3,0.57380
2,0,2,4,1,0.00000
2,0,2,4,2,0.00000
2,0,2,4,3,0.00000
2,0,2,5,1,0.23788
2,0,2,5,2,0.25232
2,0,2,5,3,0.50980
2,0,2,6,1,0.00000
2,0,2,6,2,0.34102
2,0,2,6,3,0.65898
2,0,2,7,1,0.00000
2,0,2,7,2,0.00000
2,0,2,7,3,1.00000
2,1,1,0,1,0.00000
2,1,1,0,2,0.00000
2,1,1,0,3,0.00000
2,1,1,1,1,0.15478
2,1,1,1,2,0.65036
2,1,1,1,3,0.19486
2,1,1,2,1,0.00000
2,1,1,2,2,0.00000
2,1,1,2,3,1.00000
2,1,1,3,1,0.06842
2,1,1,3,2,0.35778
2,1,1,3,3,0.57380
2,1,1,4,1,0.00000
2,1,1,4,2,0.00000
2,1,1,4,3,0.00000
2,1,1,5,1,0.23788
2,1,1,5,2,0.25232
2,1,1,5,3,0.50980
2,1,1,6,1,0.00000
2,1,1,6,2,0.34102
2,1,1,6,3,0.65898
2,1,1,7,1,0.00000
2,1,1,7,2,0.00000
2,1,1,7,3,1.00000
2,1,2,0,1,0.00000
2,1,2,0,2,0.00000
2,1,2,0,3,0.00000
2,1,2,1,1,0.15478
2,1,2,1,2,0.65036
2,1,2,1,3,0.19486
2,1,2,2,1,0.00000
2,1,2,2,2,0.00000
2,1,2,2,3,1.00000
2,1,2,3,1,0.06842
2,1,2,3,2,0.35778
2,1,2,3,3,0.57380
2,1,2,4,1,0.00000
2,1,2,4,2,0.00000
2,1,2,4,3,0.00000
2,1,2,5,1,0.23788
2,1,2,5,2,0.25232
2,1,2,5,3,0.50980
2,1,2,6,1,0.00000
2,1,2,6,2,0.34102
2,1,2,6,3,0.65898
2,1,2,7,1,0.00000
2,1,2,7,2,0.00000
2,1,2,7,3,1.00000
2,2,1,0,1,0.00000
2,2,1,0,2,0.00000
2,2,1,0,3,0.00000
2,2,1,1,1,0.15478
2,2,1,1,2,0.65036
2,2,1,1,3,0.19486
2,2,1,2,1,0.00000
2,2,1,2,2,0.00000
2,2,1,2,3,1.00000
2,2,1,3,1,0.06842
