Workers,1990households,1991households,1992households,1993households,1994households,1995households,1996households,1997households,1998households,1999households,2000households
0,541147,544405.9,547664.8,550923.7,554182.6,557441.5,560700.4,563959.3,567218.2,570477.1,573736
1,694928,706437.2,717946.4,729455.6,740964.8,752474,763983.2,775492.4,787001.6,798510.8,810020
2,610846,619595.7,628345.4,637095.1,645844.8,654594.5,663344.2,672093.9,680843.6,689593.3,698343
3,96268,97632.2,98996.4,100360.6,101724.8,103089,104453.2,105817.4,107181.6,108545.8,109910
4,17284,17779.6,18275.2,18770.8,19266.4,19762,20257.6,20753.2,21248.8,21744.4,22240
5,3395,3473,3551,3629,3707,3785,3863,3941,4019,4097,4175
6,748,756.2,764.4,772.6,780.8,789,797.2,805.4,813.6,821.8,830
7,196,219.6,243.2,266.8,290.4,314,337.6,361.2,384.8,408.4,432
8,0,11.8,23.6,35.4,47.2,59,70.8,82.6,94.4,106.2,118
9,35,37.1,39.2,41.3,43.4,45.5,47.6,49.7,51.8,53.9,56
10+,73,67.1,61.2,55.3,49.4,43.5,37.6,31.7,25.8,19.9,14
