year,age_group,population
2009,0,448259
2009,5,437565
2009,10,449472
2009,15,465230
2009,20,463974
2009,25,456518
2009,30,450878
2009,35,448466
2009,40,448611
2009,45,451390
2009,50,457376
2009,55,444001
2009,60,397944
2009,65,226955
2009,70,185181
2009,75,160906
2009,80,143361
2009,85,120209
2010,0,455806
2010,5,439946
2010,10,449856
2010,15,467020
2010,20,469260
2010,25,463925
2010,30,455900
2010,35,452594
2010,40,449528
2010,45,453730
2010,50,461793
2010,55,454666
2010,60,414922
2010,65,237455
2010,70,190407
2010,75,162982
2010,80,145368
2010,85,123570
2011,0,461423
2011,5,446397
2011,10,452503
2011,15,464988
2011,20,473349
2011,25,466665
2011,30,466092
2011,35,458809
2011,40,454223
2011,45,452774
2011,50,459798
2011,55,456228
2011,60,426667
2011,65,252627
2011,70,200262
2011,75,166806
2011,80,144452
2011,85,125118
2012,0,467109
2012,5,452943
2012,10,455165
2012,15,462965
2012,20,477474
2012,25,469421
2012,30,476512
2012,35,465109
2012,40,458967
2012,45,451820
2012,50,457811
2012,55,457795
2012,60,438745
2012,65,268768
2012,70,210627
2012,75,170719
2012,80,143542
2012,85,126686
2013,0,472865
2013,5,459585
2013,10,457843
2013,15,460951
2013,20,481635
2013,25,472193
2013,30,487165
2013,35,471496
2013,40,463761
2013,45,450868
2013,50,455833
2013,55,459368
2013,60,451165
2013,65,285941
2013,70,221528
2013,75,174724
2013,80,142638
2013,85,128273
2014,0,478692
2014,5,466324
2014,10,460537
2014,15,458945
2014,20,485832
2014,25,474982
2014,30,498056
2014,35,477970
2014,40,468605
2014,45,449918
2014,50,453863
2014,55,460946
2014,60,463936
2014,65,304211
2014,70,232993
2014,75,178823
2014,80,141739
2014,85,129880
2015,0,484591
2015,5,473162
2015,10,463246
2015,15,456948
2015,20,490066
2015,25,477787
2015,30,509191
2015,35,484533
2015,40,473500
2015,45,448970
2015,50,451902
2015,55,462530
2015,60,477069
2015,65,323648
2015,70,245052
2015,75,183018
2015,80,140846
2015,85,131507
2016,0,489126
2016,5,479038
2016,10,470080
2016,15,459678
2016,20,488013
2016,25,482030
2016,30,512274
2016,35,495433
2016,40,480072
2016,45,453731
2016,50,451029
2016,55,460652
2016,60,478913
2016,65,333033
2016,70,260961
2016,75,192780
2016,80,144462
2016,85,132696
2017,0,493703
2017,5,484987
2017,10,477014
2017,15,462424
2017,20,485969
2017,25,486311
2017,30,515376
2017,35,506578
2017,40,486735
2017,45,458542
2017,50,450158
2017,55,458781
2017,60,480764
2017,65,342690
2017,70,277903
2017,75,203063
2017,80,148171
2017,85,133896
2018,0,498323
2018,5,491010
2018,10,484051
2018,15,465187
2018,20,483933
2018,25,490630
2018,30,518496
2018,35,517974
2018,40,493491
2018,45,463404
2018,50,449289
2018,55,456918
2018,60,482622
2018,65,352627
2018,70,295945
2018,75,213894
2018,80,151976
2018,85,135107
2019,0,502986
2019,5,497107
2019,10,491191
2019,15,467966
2019,20,481906
2019,25,494987
2019,30,521635
2019,35,529626
2019,40,500340
2019,45,468318
2019,50,448421
2019,55,455063
2019,60,484488
2019,65,362852
2019,70,315158
2019,75,225303
2019,80,155878
2019,85,136329
2020,0,507693
2020,5,503280
2020,10,498437
2020,15,470762
2020,20,479887
2020,25,499383
2020,30,524793
2020,35,541540
2020,40,507285
2020,45,473284
2020,50,447555
2020,55,453215
2020,60,486361
2020,65,373374
2020,70,335619
2020,75,237320
