year,trade_activity,dollars
2009,accommodations_expt,3270897187
2009,accommodations_impt,2541892752
2009,communications and utilities_expt,5678834996
2009,communications and utilities_impt,7869734616
2009,construction_expt,9180101387
2009,construction_impt,12590735942
2009,education reports to sponsors_expt,104924774
2009,education reports to sponsors_impt,37468124
2009,energy_expt,3123152392
2009,energy_impt,1143833082
2009,entertainment services_expt,407917914
2009,entertainment services_impt,1089285393
2009,fire business and professional services_expt,8268890580
2009,fire business and professional services_impt,30845752639
2009,food services_expt,720016802
2009,food services_impt,333886154
2009,government administration_expt,3594244993
2009,government administration_impt,3567099663
2009,health services_expt,6322315673
2009,health services_impt,1230526561
2009,higher education_expt,928962118
2009,higher education_impt,832993534
2009,personal and other services and amusements_expt,4882028098
2009,personal and other services and amusements_impt,1871340674
2009,retail trade_expt,3929056354
2009,retail trade_impt,1961754163
2009,sctg01_fkp_lvsk_expt,402771058
2009,sctg01_fkp_lvsk_impt,260851452
2009,sctg02_fkp_agri_cereal_expt,485384922
2009,sctg02_fkp_agri_cereal_impt,591333272
2009,sctg03_fkp_agri_other_expt,6652824240
2009,sctg03_fkp_agri_other_impt,1099383757
2009,sctg04_fkp_feed_expt,157695428
2009,sctg04_fkp_feed_impt,763912960
2009,sctg05_fkp_food_meat_expt,2043552639
2009,sctg05_fkp_food_meat_impt,2921116467
2009,sctg06_fkp_agri_grain_expt,761763359
2009,sctg06_fkp_agri_grain_impt,855005202
2009,sctg07_fkp_food_prep_expt,9382925853
2009,sctg07_fkp_food_prep_impt,5311390317
2009,sctg08_fkp_food_alc_expt,1156635454
2009,sctg08_fkp_food_alc_impt,1431454151
2009,sctg10_cms_clay_expt,95534556
2009,sctg10_cms_clay_impt,73318169
2009,sctg11_cms_sand_expt,163311587
2009,sctg11_cms_sand_impt,17333501
2009,sctg13_cms_mine_nonmet_expt,34035256
2009,sctg13_cms_mine_nonmet_impt,144903688
2009,sctg14_cms_mine_met_expt,1315595424
2009,sctg14_cms_mine_met_impt,507173011
2009,sctg15_pcc_coal_expt,34023971
2009,sctg15_pcc_coal_impt,717887113
2009,sctg16_pcc_petr_crude_expt,242077538
2009,sctg16_pcc_petr_crude_impt,1590154115
2009,sctg17_pcc_fuel_expt,21714405
2009,sctg17_pcc_fuel_impt,5642668465
2009,sctg18_pcc_petr_oil_expt,10857202
