Activity,CompositeUtility,Size
ACCOMMODATIONS,1.43424573669858,1.612404992E9
AGRICULTURE AND MINING-Agriculture,1.4255975411909243,9.784656896E9
AGRICULTURE AND MINING-Office,1.4714456319741325,1.98041184E8
COMMUNICATIONS AND UTILITIES-Light Industry,1.3675702015523388,1.2550295552E10
COMMUNICATIONS AND UTILITIES-Office,2.200819140230488,1.417223808E9
CONSTRUCTION,1.1870962529514029,2.0714635264E10
ELECTRONICS AND INSTRUMENTS-Light Industry,-3.141305901862974,2.4957251584E10
ELECTRONICS AND INSTRUMENTS-Office,2.230215953601536,2.393319936E9
FIRE BUSINESS AND PROFESSIONAL SERVICES,1.0848162036044098,4.552275968E10
FOOD PRODUCTS-Heavy Industry,0.46134468702883996,6.086302208E9
FOOD PRODUCTS-Light Industry,0.44372637070337495,2.901168384E9
FOOD PRODUCTS-Office,2.194185183328574,2.18863216E8
FORESTRY AND LOGGING,3.4032725731048643,1.77263936E9
GOVERNMENT ADMINISTRATION-Government Support,1.53413306211046,1.3622413312E10
GOVERNMENT ADMINISTRATION-Office,1.6494572350816186,1.286615552E9
HEALTH SERVICES-Hospital,1.1630061318927736,5.032186368E9
HEALTH SERVICES-Institutional,1.4594036843005596,1.1661536E9
HEALTH SERVICES-Office,1.3129264070698416,7.857276928E9
HIGHER EDUCATION,1.68186372149163,2.508668416E9
HOMEBASED SERVICES,3.58665390679485,1.497832E8
LOWER EDUCATION-Grade School,-0.02337576729135579,6.345850368E9
LOWER EDUCATION-Office,1.4129552644695802,2.69952512E8
LUMBER AND WOOD PRODUCTS-Heavy Industry,1.049538774918256,5.070374912E9
LUMBER AND WOOD PRODUCTS-Office,2.243698472496437,1.54980064E8
OTHER DURABLES-Heavy Industry,0.5530815875639106,1.15315712E10
OTHER DURABLES-Light Industry,0.5485771678114609,3.561555712E9
OTHER DURABLES-Office,2.2535483480354563,1.12196288E9
OTHER NON-DURABLES-Heavy Industry,0.5234472733066287,3.527780864E9
OTHER NON-DURABLES-Light Industry,0.5329002231746389,2.445474048E9
OTHER NON-DURABLES-Office,2.239018648617276,6.35139392E8
PERSONAL AND OTHER SERVICES AND AMUSEMENTS,1.2699150128325898,1.37344768E10
PULP AND PAPER-Heavy Industry,0.652885994116927,4.977091072E9
PULP AND PAPER-Office,2.0287268860521093,1.61164144E8
RETAIL TRADE-Office,2.2318858627865468,3.71817728E8
RETAIL TRADE-Retail,0.8932102067614585,6.1081096192E10
TRANSPORT-Depot,1.0426592894324223,8.765315072E9
TRANSPORT-Office,2.2065514922587446,8.42334976E8
WHOLESALE TRADE-Office,2.1640585193277153,2.708597504E9
WHOLESALE TRADE-Warehouse,0.5117748106005607,4.131465216E10
Capitalists,-24.584311336041598,1.121425152E9
GovInstitutions,-6.171802564888396,2.456445184E9
HH0to5k1to2,-497587.1108389322,83473.0
HH0to5k3plus,-592612.398743674,16167.0
HH5to10k1to2,-475662.6468013598,188145.0
HH5to10k3plus,-587673.3294885815,36305.0
HH10to15k1to2,-526560.2185226106,183631.0
HH10to15k3plus,-684920.7530131008,57354.0
HH15to20k1to2,-616961.2576308331,172702.0
HH15to20k3plus,-845252.2834192561,67893.0
HH20to30k1to2,-685477.459709077,272047.0
HH20to30k3plus,-876029.2139820813,171150.0
HH30to40k1to2,-857211.7829832399,182261.0
HH30to40k3plus,-1236003.8243411882,172423.0
HH40to50k1to2,-1030339.4014249537,110560.0
HH40to50k3plus,-1472638.3339593366,133154.0
HH50to70k1to2,-1367588.6853131237,104789.0
HH50to70k3plus,-1895249.7179490014,142255.0
HH70kUp1to2,-945756.9447916232,74604.0
HH70kUp3plus,-1558049.867875993,105022.0
SCTG01 Exporters,2.5298928685439743,3.4823616E8
SCTG01 Importers,2.5229768032925133,2.1679048E8
SCTG02 Exporters,2.393114319610145,7.6914022E8
SCTG02 Importers,1.412555097555888,3.08316512E8
SCTG03 Exporters,2.2792608365421403,2.42422323E9
SCTG03 Importers,2.13367833604762,4.84927264E8
SCTG04 Exporters,2.3690363422993923,4.57167584E8
SCTG04 Importers,1.6774714758753984,5.3276304E8
SCTG05 Exporters,1.8138434499934273,7.3673402E8
SCTG05 Importers,2.2921799640185836,9.072537E8
SCTG06 Exporters,1.8529279437363804,2.58491904E8
SCTG06 Importers,2.213972928890071,6.4973107E8
SCTG07 Exporters,1.9610069023842467,4.6851041E9
SCTG07 Importers,2.116327170685572,2.77831526E9
SCTG08 Exporters,2.224214571286951,4.20453152E8
SCTG08 Importers,1.884175811005117,4.92744512E8
SCTG09 Exporters,2.0805282286013984,1760032.0
SCTG09 Importers,2.8213214945670586,5.0030992E8
SCTG10 Exporters,2.2099446397259372,1.639056E8
SCTG10 Importers,1.5034495027773838,1.24093584E8
SCTG11 Exporters,-2.3374723925348637,3.3221952E7
SCTG11 Importers,-4.266588900176325,1.0709489E7
SCTG12 Exporters,-10.511373794983294,1.88269824E8
SCTG12 Importers,-9.370723337461053,6.0639844E7
SCTG13 Exporters,0.26705992971926396,4.217766E7
SCTG13 Importers,-0.2483458164751904,3.91848E7
SCTG14 Exporters,3.3625709586197745,2.79468416E8
SCTG14 Importers,3.1245354190067407,3.7832572E7
SCTG15 Exporters,-0.1929099047373125,8.1737856E7
SCTG15 Importers,0.9949147024306642,4.72986912E8
SCTG19 Exporters,4.447081939502137,1.0044544E7
SCTG19 Importers,1.8285282548145267,9.7363827E8
SCTG20 Exporters,3.292545381383723,1.14218368E8
SCTG20 Importers,1.7434653717652906,7.2897882E8
SCTG21 Exporters,1.7258276370388925,3.8816512E7
SCTG21 Importers,1.9247570517994599,1.25913139E9
SCTG22 Exporters,1.8653235112871769,5.3515568E7
SCTG22 Importers,1.436433845396704,1.68901808E8
SCTG23 Exporters,1.9168892439899894,2.47615616E8
SCTG23 Importers,2.1370401253550173,1.47071014E9
SCTG24 Exporters,2.2237628122817283,1.74197837E9
SCTG24 Importers,2.243830331821752,3.01186867E9
SCTG25 Exporters,2.277037310352917,1.28972186E9
SCTG25 Importers,0.7508180209468172,9.4121107E8
SCTG26 Exporters,2.037694130184132,3.16019174E9
SCTG26 Importers,2.369743754585131,1.24645478E9
SCTG27 Exporters,2.3192310834151715,2.49018864E8
SCTG27 Importers,1.7172955754355963,2.1818536E8
SCTG28 Exporters,2.3148743434422254,4.17363763E9
SCTG28 Importers,2.2261569859255483,1.9903296E9
SCTG29 Exporters,2.2087322554432336,9.5505856E8
SCTG29 Importers,2.4402867667861377,1.44309581E9
SCTG30 Exporters,1.9427873418955137,1.83076096E8
SCTG30 Importers,2.8751428278217466,2.62903091E9
SCTG31 Exporters,2.2638272769562624,7.6634323E8
SCTG31 Importers,0.7193196157210118,1.54915763E9
SCTG32 Exporters,2.455292735421521,1.62367322E9
SCTG32 Importers,1.8172283844467823,2.01558899E9
SCTG33 Exporters,2.3261261009821004,2.31688192E9
SCTG33 Importers,2.2914250262620173,3.04611226E9
SCTG34 Exporters,2.158835438537414,1.52396288E9
SCTG34 Importers,2.125194419523385,2.92937677E9
SCTG35 Exporters,2.454529941853945,1.78435256E10
SCTG35 Importers,1.9969071993034784,6.89888E9
SCTG36 Exporters,2.6093129610710553,2.47956966E9
SCTG36 Importers,2.321809525642012,6.320233E9
SCTG37 Exporters,2.555616429054242,8.5518598E8
SCTG37 Importers,2.3473586824484944,6.741424E8
SCTG38 Exporters,2.2040636386403403,1.91867059E9
SCTG38 Importers,2.1495867768852768,8.7917344E8
SCTG39 Exporters,2.034768519939449,3.6794752E7
SCTG39 Importers,2.1771295163137614,9.3972749E8
SCTG40 Exporters,2.9061738619774338,6.5469542E8
