taz,commodity,quantity
768,FLR AT,6871.844579
593,FLR AT,20988.17274
191,FLR AT,284967.4605
761,FLR AT,40603.84869
3057,FLR AT,94035.50801
1653,FLR AT,17024.2402
2933,FLR AT,1793.910086
3091,FLR AT,644.4219213
1038,FLR AT,87333.08792
2440,FLR AT,39786.47311
1174,FLR AT,60993.00064
271,FLR AT,35228.1696
635,FLR AT,44783.76155
4062,FLR AT,994563.3385
1151,FLR AT,355.9453435
3054,FLR AT,66.92185751
1123,FLR AT,214366.8012
2856,FLR AT,73752.53766
2857,FLR AT,1.082456603
863,FLR AT,47286.70513
2538,FLR AT,18377.48194
1611,FLR AT,97737.84479
3157,FLR AT,110.2095589
3030,FLR AT,37219.97013
4053,FLR AT,34455.55137
3012,FLR AT,25440.95773
849,FLR AT,80831.03386
1731,FLR AT,41.02068581
989,FLR AT,32895.07273
4055,FLR AT,33440.19888
3137,FLR AT,119.5990545
1384,FLR AT,49223.06963
887,FLR AT,65021.81488
2959,FLR AT,7792.614972
915,FLR AT,28290.63282
1141,FLR AT,14967.47963
2915,FLR AT,20944.41018
860,FLR AT,77348.77251
938,FLR AT,56204.79677
380,FLR AT,156239.6206
2717,FLR AT,41727.67301
961,FLR AT,792.1270474
2995,FLR AT,409639.7566
2520,FLR AT,35984.1393
831,FLR AT,144431.7435
1753,FLR AT,32623.57614
611,FLR AT,27816.58625
2312,FLR AT,12548.95471
2284,FLR AT,77764.94026
2152,FLR AT,15953.58737
599,FLR AT,59027.7865
3103,FLR AT,7780.45066
178,FLR AT,100653.5465
653,FLR AT,9134.97715
4058,FLR AT,166847.2765
2078,FLR AT,91.97562123
458,FLR AT,166.0248807
2176,FLR AT,42691.54646
3119,FLR AT,42105.19235
882,FLR AT,30871.15556
1011,FLR AT,272003.7438
2868,FLR AT,26238.51401
3037,FLR AT,96.18388959
3085,FLR AT,341.876534
1169,FLR AT,2660.739111
590,FLR AT,40960.77508
622,FLR AT,143943.484
2575,FLR AT,44.63589261
2166,FLR AT,24.45819694
3180,FLR AT,18508.90057
667,FLR AT,33080.51139
1419,FLR AT,44007.7717
