Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
1.0,593.0,378.0,196.0,170.0,41.0,810.0,934.0,383.0,49.0,49.0,234.0,171.0,384.0,45.0,1404.0,414.0,32.0,943.0,9.0,367.0,76.0,63.0,133.0,260.0,9.0,1316.0,58.0,838.0,63.0,4.0,444.0,338.0,224.0,894.0,110.0,418.0,154.0,772.0,1135.0,6.0,367.0,11.0,429.0,31.0,1194.0,28.0,32.0,256.0,276.0,806.0,444.0,113.0,158.0,19066.0
2.0,280.0,203.0,44.0,82.0,9.0,340.0,353.0,137.0,11.0,12.0,119.0,49.0,87.0,18.0,271.0,124.0,5.0,414.0,2.0,151.0,25.0,20.0,36.0,110.0,3.0,648.0,12.0,349.0,24.0,4.0,225.0,105.0,45.0,122.0,15.0,142.0,48.0,322.0,490.0,1.0,141.0,0.0,120.0,11.0,186.0,5.0,7.0,56.0,57.0,295.0,169.0,56.0,52.0,6612.0
3.0,69.0,35.0,12.0,14.0,1.0,82.0,79.0,39.0,4.0,5.0,29.0,8.0,32.0,3.0,72.0,23.0,5.0,76.0,1.0,39.0,5.0,4.0,12.0,18.0,0.0,138.0,3.0,76.0,6.0,0.0,45.0,27.0,13.0,34.0,11.0,34.0,10.0,66.0,125.0,1.0,43.0,0.0,36.0,2.0,43.0,2.0,1.0,18.0,16.0,72.0,37.0,10.0,8.0,1544.0
4.0,68.0,32.0,19.0,21.0,3.0,71.0,123.0,50.0,5.0,2.0,23.0,18.0,76.0,5.0,191.0,66.0,5.0,113.0,0.0,36.0,3.0,11.0,15.0,36.0,0.0,133.0,5.0,79.0,8.0,3.0,55.0,45.0,24.0,29.0,12.0,47.0,22.0,81.0,117.0,0.0,39.0,4.0,43.0,2.0,171.0,1.0,1.0,47.0,29.0,104.0,45.0,16.0,19.0,2173.0
5.0,10.0,3.0,3.0,2.0,2.0,10.0,20.0,9.0,1.0,1.0,3.0,4.0,9.0,1.0,16.0,7.0,1.0,8.0,0.0,6.0,0.0,2.0,3.0,4.0,1.0,17.0,5.0,10.0,0.0,0.0,3.0,7.0,5.0,3.0,1.0,11.0,5.0,19.0,27.0,0.0,6.0,0.0,11.0,0.0,16.0,0.0,0.0,3.0,6.0,11.0,6.0,3.0,5.0,306.0
6.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,9.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,4.0,95.0
7.0,18.0,15.0,7.0,12.0,0.0,33.0,38.0,16.0,3.0,4.0,7.0,6.0,20.0,2.0,50.0,21.0,2.0,31.0,0.0,9.0,3.0,3.0,2.0,7.0,0.0,51.0,3.0,33.0,3.0,2.0,10.0,15.0,7.0,12.0,8.0,20.0,11.0,32.0,34.0,0.0,16.0,2.0,9.0,3.0,78.0,0.0,2.0,16.0,16.0,34.0,10.0,5.0,8.0,749.0
8.0,124.0,118.0,65.0,41.0,11.0,204.0,220.0,97.0,10.0,14.0,49.0,59.0,129.0,26.0,285.0,115.0,9.0,219.0,8.0,79.0,24.0,18.0,35.0,69.0,5.0,331.0,20.0,217.0,18.0,5.0,104.0,71.0,68.0,91.0,26.0,112.0,56.0,214.0,303.0,1.0,93.0,7.0,99.0,17.0,339.0,5.0,14.0,67.0,59.0,180.0,149.0,37.0,55.0,4791.0
9.0,236.0,155.0,64.0,78.0,7.0,315.0,318.0,132.0,21.0,6.0,86.0,59.0,143.0,11.0,451.0,151.0,8.0,352.0,5.0,149.0,19.0,15.0,29.0,90.0,5.0,545.0,19.0,365.0,33.0,1.0,175.0,116.0,60.0,99.0,21.0,163.0,59.0,315.0,506.0,0.0,162.0,6.0,120.0,8.0,463.0,7.0,5.0,91.0,75.0,318.0,156.0,40.0,36.0,6869.0
10.0,469.0,353.0,172.0,168.0,37.0,661.0,790.0,326.0,59.0,53.0,200.0,138.0,276.0,43.0,1076.0,396.0,28.0,791.0,3.0,323.0,60.0,67.0,117.0,254.0,15.0,1197.0,47.0,710.0,62.0,11.0,411.0,252.0,222.0,1112.0,81.0,371.0,195.0,705.0,1026.0,3.0,356.0,18.0,423.0,35.0,887.0,23.0,20.0,203.0,222.0,694.0,436.0,85.0,176.0,16858.0
