Package,Old,New,Upgraded
assertthat,0.1,0.1,FALSE
BH,1.60.0-2,1.60.0-2,FALSE
BiocInstaller,1.24.0,1.24.0,FALSE
broom,0.4.1,0.4.1,FALSE
colorspace,1.3-0,1.3-0,FALSE
curl,2.2,2.2,FALSE
DBI,0.5-1,0.5-1,FALSE
devtools,1.12.0,1.12.0,FALSE
dichromat,2.0-0,2.0-0,FALSE
digest,0.6.10,0.6.10,FALSE
doParallel,1.0.10,1.0.10,FALSE
dplyr,0.5.0,0.5.0,FALSE
forcats,0.1.1,0.1.1,FALSE
foreach,1.4.3,1.4.3,FALSE
ggplot2,2.2.0,2.2.0,FALSE
git2r,0.15.0,0.15.0,FALSE
gtable,0.2.0,0.2.0,FALSE
haven,1.0.0,1.0.0,FALSE
hms,0.2,0.2,FALSE
httr,1.2.1,1.2.1,FALSE
iterators,1.0.8,1.0.8,FALSE
jsonlite,1.1,1.1,FALSE
labeling,0.3,0.3,FALSE
lazyeval,0.2.0,0.2.0,FALSE
lubridate,1.6.0,1.6.0,FALSE
magrittr,1.5,1.5,FALSE
memoise,1.0.0,1.0.0,FALSE
mime,0.5,0.5,FALSE
mnormt,1.5-5,1.5-5,FALSE
modelr,0.1.0,0.1.0,FALSE
munsell,0.4.3,0.4.3,FALSE
omxr,0.2.1,0.2.1,FALSE
openssl,0.9.5,0.9.5,FALSE
outviz,0.0.2,0.0.2,FALSE
plogr,0.1-1,0.1-1,FALSE
plyr,1.8.4,1.8.4,FALSE
psych,1.6.9,1.6.9,FALSE
purrr,0.2.2,0.2.2,FALSE
R6,2.2.0,2.2.0,FALSE
RColorBrewer,1.1-2,1.1-2,FALSE
Rcpp,0.12.7,0.12.16,TRUE
readr,1.0.0,1.0.0,FALSE
readxl,0.1.1,0.1.1,FALSE
reshape2,1.4.2,1.4.2,FALSE
rhdf5,2.18.0,2.18.0,FALSE
RSQLite,1.0.0,1.0.0,FALSE
rstudioapi,0.6,0.6,FALSE
rvest,0.3.2,0.3.2,FALSE
scales,0.4.1,0.4.1,FALSE
selectr,0.3-0,0.3-0,FALSE
sp,1.2-3,1.2-3,FALSE
stringi,1.1.2,1.1.7,TRUE
stringr,1.1.0,1.3.0,TRUE
swimctr,0.9.1,0.9.1,FALSE
swimr,0.2.7,0.2.8,TRUE
tibble,1.2,1.2,FALSE
tidyr,0.6.0,0.6.0,FALSE
tidyverse,1.0.0,1.0.0,FALSE
whisker,0.3-2,0.3-2,FALSE
withr,1.0.2,1.0.2,FALSE
xml2,1.0.0,1.0.0,FALSE
zlibbioc,1.20.0,1.20.0,FALSE
zoo,1.7-13,1.7-13,FALSE
backports,NA,1.1.2,NA
base64enc,NA,0.1-3,NA
classInt,NA,0.2-3,NA
crosstalk,NA,1.0.0,NA
dbplyr,NA,1.2.1,NA
DT,NA,0.4,NA
e1071,NA,1.6-8,NA
evaluate,NA,0.10.1,NA
glue,NA,1.2.0,NA
gridExtra,NA,2.3,NA
highr,NA,0.6,NA
htmltools,NA,0.3.6,NA
htmlwidgets,NA,1.2,NA
httpuv,NA,1.4.1,NA
knitr,NA,1.20,NA
later,NA,0.7.1,NA
leaflet,NA,2.0.0,NA
mapproj,NA,1.2.6,NA
maps,NA,3.3.0,NA
markdown,NA,0.8,NA
png,NA,0.1-7,NA
promises,NA,1.0.1,NA
raster,NA,2.6-7,NA
rlang,NA,0.2.0,NA
rmarkdown,NA,1.9,NA
rprojroot,NA,1.3-2,NA
sf,NA,0.6-1,NA
shiny,NA,1.0.5,NA
sourcetools,NA,0.1.6,NA
spData,NA,0.2.8.3,NA
udunits2,NA,0.13,NA
units,NA,0.5-1,NA
viridis,NA,0.5.1,NA
viridisLite,NA,0.3.0,NA
xtable,NA,1.8-2,NA
yaml,NA,2.2.0,NA
