taz,commodity,quantity
1,FLR MH,1000.0
1,FLR MF,459364.5385724983
1,FLR AT,1137.660233399329
1,FLR SFD,1000.0
1,FLR RRMH,1000.0
1,FLR RRSFD,1000.0
1,FLR Accommodation,1798774.1527277618
1,FLR Government Support,2450.991146954744
1,FLR K12,1379480.8946491156
1,FLR Heavy Industry,1000.0
1,FLR Hospital,1026.5308924224935
1,FLR Institutional,220867.86447251937
1,FLR Light Industry,1012.5611157347248
1,FLR Office,5046263.574228441
1,FLR Retail,1083563.4950985569
1,FLR Warehouse,1000.0
1,FLR Agriculture,1000.0
1,FLR Logging,1000.0
2,FLR MH,1000.0
2,FLR MF,47462.764590637256
2,FLR AT,1137.660233399329
2,FLR SFD,1000.0
2,FLR RRMH,1000.0
2,FLR RRSFD,1000.0
2,FLR Accommodation,28344.640811153848
2,FLR Government Support,1000.0
2,FLR K12,31712.206243935732
2,FLR Heavy Industry,1000.0
2,FLR Hospital,1026.5308924224935
2,FLR Institutional,40105.41231585032
2,FLR Light Industry,1012.5611157347248
2,FLR Office,2799777.6521253255
2,FLR Retail,120283.38980048792
2,FLR Warehouse,1000.0
2,FLR Agriculture,1000.0
2,FLR Logging,1000.0
3,FLR MH,1000.0
3,FLR MF,6770.818112582053
3,FLR AT,1137.660233399329
3,FLR SFD,1000.0
3,FLR RRMH,1000.0
3,FLR RRSFD,1000.0
3,FLR Accommodation,12125.256788776533
3,FLR Government Support,1000.0
3,FLR K12,1004.9915931550909
3,FLR Heavy Industry,1000.0
3,FLR Hospital,1026.5308924224935
3,FLR Institutional,28158.104538969434
3,FLR Light Industry,1012.5611157347248
3,FLR Office,814695.067554761
3,FLR Retail,23468.876131752513
3,FLR Warehouse,1000.0
3,FLR Agriculture,1000.0
3,FLR Logging,1000.0
4,FLR MH,1000.0
4,FLR MF,816918.3244622999
4,FLR AT,1137.660233399329
4,FLR SFD,1000.0
4,FLR RRMH,1000.0
4,FLR RRSFD,1000.0
4,FLR Accommodation,92426.68890188955
4,FLR Government Support,1000.0
4,FLR K12,1004.9915931550909
4,FLR Heavy Industry,1000.0
4,FLR Hospital,1026.5308924224935
4,FLR Institutional,32921.56042550681
4,FLR Light Industry,1012.5611157347248
4,FLR Office,469202.7573094231
4,FLR Retail,207140.77663701292
4,FLR Warehouse,1000.0
4,FLR Agriculture,1000.0
4,FLR Logging,1000.0
5,FLR MH,1000.0
5,FLR MF,476720.3114031651
5,FLR AT,1137.660233399329
5,FLR SFD,1000.0
5,FLR RRMH,1000.0
5,FLR RRSFD,1000.0
5,FLR Accommodation,3548.8556317415196
5,FLR Government Support,1000.0
5,FLR K12,1004.9915931550909
5,FLR Heavy Industry,1000.0
5,FLR Hospital,1026.5308924224935
5,FLR Institutional,9386.034848542738
5,FLR Light Industry,1012.5611157347248
5,FLR Office,57687.08172851997
5,FLR Retail,7020.566542148074
5,FLR Warehouse,1000.0
5,FLR Agriculture,1000.0
5,FLR Logging,1000.0
6,FLR MH,1000.0
6,FLR MF,388999.14719881036
6,FLR AT,1137.660233399329
6,FLR SFD,1000.0
6,FLR RRMH,1000.0
6,FLR RRSFD,1000.0
6,FLR Accommodation,1015.5849378161605
6,FLR Government Support,1000.0
6,FLR K12,1004.9915931550909
6,FLR Heavy Industry,1000.0
6,FLR Hospital,1026.5308924224935
6,FLR Institutional,1000.0
6,FLR Light Industry,1012.5611157347248
6,FLR Office,5675.968330004593
6,FLR Retail,1000.5964205402386
6,FLR Warehouse,1000.0
6,FLR Agriculture,1000.0
6,FLR Logging,1000.0
7,FLR MH,1000.0
7,FLR MF,501677.39947691176
7,FLR AT,1137.660233399329
7,FLR SFD,1000.0
7,FLR RRMH,1000.0
7,FLR RRSFD,1000.0
7,FLR Accommodation,1015.5849378161605
7,FLR Government Support,12002.293787986082
7,FLR K12,1004.9915931550909
7,FLR Heavy Industry,1000.0
7,FLR Hospital,1026.5308924224935
7,FLR Institutional,5283.036707101658
7,FLR Light Industry,1012.5611157347248
7,FLR Office,162792.73498284136
7,FLR Retail,132860.42991177028
7,FLR Warehouse,1000.0
7,FLR Agriculture,1000.0
7,FLR Logging,1000.0
8,FLR MH,1000.0
8,FLR MF,2240158.704741549
8,FLR AT,1137.660233399329
8,FLR SFD,1000.0
8,FLR RRMH,1000.0
8,FLR RRSFD,1000.0
8,FLR Accommodation,114746.33246387592
8,FLR Government Support,1000.0
8,FLR K12,45982.699554038794
8,FLR Heavy Industry,1000.0
8,FLR Hospital,1026.5308924224935
8,FLR Institutional,48092.189613280716
8,FLR Light Industry,1012.5611157347248
8,FLR Office,985561.8450217402
8,FLR Retail,560274.5188620932
8,FLR Warehouse,1000.0
8,FLR Agriculture,1000.0
8,FLR Logging,1000.0
9,FLR MH,1000.0
9,FLR MF,840712.0653753189
9,FLR AT,1137.660233399329
9,FLR SFD,1000.0
9,FLR RRMH,1000.0
9,FLR RRSFD,1000.0
9,FLR Accommodation,181647.31390308062
9,FLR Government Support,1000.0
9,FLR K12,1004.9915931550909
9,FLR Heavy Industry,1000.0
9,FLR Hospital,1026.5308924224935
9,FLR Institutional,45603.3983324641
9,FLR Light Industry,1012.5611157347248
9,FLR Office,2365121.327059309
9,FLR Retail,615011.9125196147
9,FLR Warehouse,1000.0
9,FLR Agriculture,1000.0
9,FLR Logging,1000.0
10,FLR MH,1000.0
10,FLR MF,671229.7898158476
10,FLR AT,1137.660233399329
10,FLR SFD,1000.0
10,FLR RRMH,1000.0
10,FLR RRSFD,1000.0
10,FLR Accommodation,440155.8486914868
10,FLR Government Support,1000.0
10,FLR K12,1428088.5210644573
10,FLR Heavy Industry,1000.0
10,FLR Hospital,1026.5308924224935
10,FLR Institutional,279105.454385022
10,FLR Light Industry,1012.5611157347248
10,FLR Office,3194801.8260322376
10,FLR Retail,550109.7567828798
10,FLR Warehouse,1000.0
10,FLR Agriculture,1000.0
10,FLR Logging,1000.0
11,FLR MH,1000.0
11,FLR MF,1959238.667924367
11,FLR AT,1137.660233399329
11,FLR SFD,1000.0
11,FLR RRMH,1000.0
11,FLR RRSFD,1000.0
11,FLR Accommodation,86742.72332875051
11,FLR Government Support,1000.0
11,FLR K12,3171.2195984347445
11,FLR Heavy Industry,1000.0
11,FLR Hospital,1026.5308924224935
11,FLR Institutional,94604.73996199961
11,FLR Light Industry,1012.5611157347248
11,FLR Office,268618.1219361258
11,FLR Retail,298996.66377562826
11,FLR Warehouse,1000.0
11,FLR Agriculture,1000.0
11,FLR Logging,1000.0
12,FLR MH,1000.0
12,FLR MF,760006.9900908906
12,FLR AT,1137.660233399329
12,FLR SFD,1000.0
12,FLR RRMH,1000.0
12,FLR RRSFD,1000.0
12,FLR Accommodation,87064.08049401669
12,FLR Government Support,66751.77738006569
12,FLR K12,772894.582924068
12,FLR Heavy Industry,1000.0
12,FLR Hospital,206693.43685053635
12,FLR Institutional,116313.9054205154
12,FLR Light Industry,1012.5611157347248
12,FLR Office,5027991.405228326
12,FLR Retail,151430.4047397914
12,FLR Warehouse,1000.0
12,FLR Agriculture,1000.0
12,FLR Logging,1000.0
13,FLR MH,1000.0
13,FLR MF,203392.69456622077
13,FLR AT,1137.660233399329
13,FLR SFD,1000.0
13,FLR RRMH,1000.0
13,FLR RRSFD,1000.0
13,FLR Accommodation,115937.92789457606
13,FLR Government Support,1000.0
13,FLR K12,232291.89449576946
13,FLR Heavy Industry,1000.0
13,FLR Hospital,1026.5308924224935
13,FLR Institutional,28321.25753044938
13,FLR Light Industry,1012.5611157347248
13,FLR Office,1366053.8089976443
13,FLR Retail,61223.140926760716
13,FLR Warehouse,1000.0
13,FLR Agriculture,1000.0
13,FLR Logging,1000.0
14,FLR MH,1000.0
14,FLR MF,312347.21332294395
14,FLR AT,69000.15813960451
14,FLR SFD,1000.0
14,FLR RRMH,1000.0
14,FLR RRSFD,1000.0
14,FLR Accommodation,85478.39287007466
14,FLR Government Support,1000.0
14,FLR K12,1004.9915931550909
14,FLR Heavy Industry,1000.0
14,FLR Hospital,1026.5308924224935
14,FLR Institutional,1000.0
14,FLR Light Industry,1012.5611157347248
14,FLR Office,163135.44624854397
14,FLR Retail,4774.395331716425
14,FLR Warehouse,1000.0
14,FLR Agriculture,1000.0
14,FLR Logging,1000.0
15,FLR MH,1000.0
15,FLR MF,879293.8633222596
15,FLR AT,157349.96166618037
15,FLR SFD,1000.0
15,FLR RRMH,1000.0
15,FLR RRSFD,1000.0
15,FLR Accommodation,33328.5821810161
15,FLR Government Support,1000.0
15,FLR K12,21405.7348454784
15,FLR Heavy Industry,1000.0
15,FLR Hospital,540868.4794037333
15,FLR Institutional,79624.15469017971
15,FLR Light Industry,1012.5611157347248
15,FLR Office,2590850.312580133
15,FLR Retail,131642.0713978076
15,FLR Warehouse,1000.0
15,FLR Agriculture,1000.0
15,FLR Logging,1000.0
16,FLR MH,1000.0
16,FLR MF,676226.3150282792
16,FLR AT,1137.660233399329
16,FLR SFD,1000.0
16,FLR RRMH,1000.0
16,FLR RRSFD,1000.0
16,FLR Accommodation,33566.25963344633
16,FLR Government Support,18185.280580551414
16,FLR K12,1004.9915931550909
16,FLR Heavy Industry,1000.0
16,FLR Hospital,1026.5308924224935
16,FLR Institutional,238494.55713401758
16,FLR Light Industry,1012.5611157347248
16,FLR Office,238847.6349817612
16,FLR Retail,65693.73643793777
16,FLR Warehouse,1000.0
16,FLR Agriculture,1000.0
16,FLR Logging,1000.0
17,FLR MH,5423.766265094428
17,FLR MF,1722708.2160883325
17,FLR AT,1124372.675858372
17,FLR SFD,928400.085734551
17,FLR RRMH,1000.0
17,FLR RRSFD,1000.0
17,FLR Accommodation,107950.20100910142
17,FLR Government Support,1000.0
17,FLR K12,252147.62323067116
17,FLR Heavy Industry,190789.8445344523
17,FLR Hospital,1057.7205927542625
17,FLR Institutional,46942.97564779317
17,FLR Light Industry,141973.48557710674
17,FLR Office,1721161.0536008726
17,FLR Retail,499258.5723284186
17,FLR Warehouse,5049201.059332271
17,FLR Agriculture,1000.0
17,FLR Logging,1000.0
18,FLR MH,1304.5967607527361
18,FLR MF,1118748.0620409567
18,FLR AT,1227960.2795381853
18,FLR SFD,1840170.5132435607
18,FLR RRMH,1000.0
18,FLR RRSFD,1000.0
