Group,Target,Param
Accommodations,9,100
B2-Education,7.42,100
B3-Health,7.63,58.06845588
B4-Technical Unskilled,7.42,100
C1-Sales Clerical Professionals,6.76,100
C4-Sales Clerical Unskilled,9.57,58.46400856
Communication,43,70.81042005
Construction,19,100
D1-Production Specialists,9.57,48.12797867
D4-Blue Collar Unskilled,9.57,100
Entertainment,21,1.72130794
FIRE,21,100
Food,5.88,5
Government,5.49,100
Higher Education,4.03,4
Institutions,5.49,5
InternalServices,21,100
LaborA+B1,7.63,46.25088999
LaborC2-3,6.76,80.52520732
LaborC4+D2-3,9.57,55.95231917
Personal,5.88,4
Retail,5.19,27.80817344
SCTG01_FKP_LVSK_buy,208,34.66155199
SCTG02_FKP_AGRI_cereal_buy,197,18.75555376
SCTG03_FKP_AGRI_other_buy,166,71.03339925
SCTG04_FKP_FEED_buy,16.84287828,45.33829759
SCTG05_FKP_FOOD_meat_buy,16.84287828,35.14710067
SCTG06_FKP_AGRI_grain_buy,16.84287828,31.64416001
SCTG07_FKP_FOOD_prep_buy,16.84287828,35.72715873
SCTG08_FKP_FOOD_alc_buy,16.84287828,32.64535903
SCTG10_CMS_CLAY_buy,70,24.23432144
SCTG11_CMS_SAND_buy,75,7.516177502
SCTG13_CMS_MINE_nonmet_buy,98,14.50147861
SCTG14_CMS_MINE_met_buy,100,100
SCTG15_PCC_COAL_buy,119,9.904580396
SCTG16_PCC_PETR_crude_buy,123,84.375
SCTG17_PCC_FUEL_buy,16.84287828,13.59422197
SCTG18_PCC_PETR_oil_buy,16.84287828,39.24791802
SCTG19_PCC_COAL_prod_buy,159,7.823732393
SCTG20_PCC_CHEM_basic_buy,101,15.02609399
SCTG21_PCC_CHEM_pharma_buy,16.84287828,37.13981966
SCTG22_PCC_CHEM_fert_buy,158,21.43922442
SCTG23_PCC_CHEM_prod_buy,16.84287828,37.71118976
SCTG24_PCC_PETR_plast_buy,106,51.2432001
SCTG25_FWP_LOGS_buy,124,100
SCTG26_FWP_WOOD_buy,167,37.55152326
SCTG27_PPP_PAPR_puplp_buy,74,93.85875745
SCTG28_PPP_PAPR_paper_buy,65,46.83376628
SCTG29_PPP_PAPR_print_buy,16.84287828,26.29544805
SCTG30_OTH_CLTH_buy,16.84287828,26.76815647
SCTG31_CMS_MIN_buy,99,23.86967464
SCTG32_MIT_METL_base_buy,93,40.0638393
SCTG33_MIT_METL_prod_buy,109,78.17575555
SCTG34_MIT_MACH_buy,116,100
SCTG35_MIT_ELCT_buy,75,100
SCTG36_MIT_TRAN_buy,16.84287828,100
SCTG37_MIT_INST_transp_buy,59,100
SCTG38_MIT_INST_prec_buy,75,100
SCTG39_OTH_FURN_buy,16.84287828,100
SCTG40_OTH_MISC_buy,16.84287828,26.59632907
SCTG41_WASTE_SCRAP_buy,69,30
SCTG04_FKP_FEED_sell,158,58.85650102
SCTG05_FKP_FOOD_meat_sell,98,100
SCTG06_FKP_AGRI_grain_sell,79,100
SCTG07_FKP_FOOD_prep_sell,125,100
SCTG08_FKP_FOOD_alc_sell,133,72.07010921
SCTG17_PCC_FUEL_sell,67,75
SCTG18_PCC_PETR_oil_sell,132,16.23660513
SCTG21_PCC_CHEM_pharma_sell,183,70.77811645
SCTG23_PCC_CHEM_prod_sell,141,76.48619241
SCTG29_PPP_PAPR_print_sell,119,100
SCTG30_OTH_CLTH_sell,92,16.23660513
SCTG36_MIT_TRAN_sell,115,5
SCTG39_OTH_FURN_sell,128,100
SCTG40_OTH_MISC_sell,120,100
Teaching K12,4.03,4
Transport,4.04,100
Wholesale,4.04,100
