Region,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse
Astoria_LincolnCity,2.7637574,0.550963485,-0.588356652,2.17129767,-0.293591013,-0.729382963,1.650154069,0.82748967,0,-0.810913156
BakerCity_JohnDay,-0.891267716,2.249195548,2.157933948,1.96100645,-1.042787846,1.813892312,-0.465579025,0.459310131,0,-1.913085077
Bend,-0.460972824,2.660422646,3.029211394,2.405164666,0.022755105,0.053864993,2.891694256,1.527273344,0,-1.002809043
Eugene,-0.040205849,-3.038274775,0.235207821,1.123077695,2.40291756,-0.522407576,-0.052002414,0.954049851,0,0.541387464
Eureka_Brookings,1.101352453,1.274712525,0.741928459,3.300661807,0.772333211,1.338762436,3.018789497,1.37482418,0,-0.496000891
KlamathFalls_Burns,0.781087195,-0.085089189,-0.134996799,-0.00264462,0.367056321,-1.208863912,0.117831161,-0.319938802,0,-2.070173687
Longview_Centralia,0.393504379,-0.788387652,0.676693247,1.232854696,1.975634067,-2.210475567,1.070666547,0.7266164,0,-0.175314663
Medford_GrantsPass,-0.147761846,-0.288340652,0.058904175,2.180456693,-1.012890976,1.545077571,2.76550449,-0.164663021,0,0.07376735
Ontario_Boise,0.584220905,-0.251980339,-1.078798515,2.275093388,0.240065323,-0.487523844,1.986375537,-0.335838064,0,0.519280581
Portland_Vancouver,1.363667757,0.122152577,0.825876457,-0.962027145,-2.057666541,0.743412002,0.649737348,1.054239676,0,0.41013621
Salem,-0.082270456,1.56237575,1.74843873,0.128730409,0.642501403,-0.449636577,-0.071460919,0.692468458,0,-1.009279976
TheDalles,-2.61994402,-3.461466201,-3.14811953,-1.094044608,-3.291058846,-2.679317538,3.974732459,-1.87761745,0,-2.478947183
Yakima_Pendleton,-1.287373207,-1.908385977,2.254272001,2.243717138,-1.789343569,2.383303556,2.847587075,0.956472626,0,-1.576993419
Yreka_Redding,1.226758879,1.439139128,1.29756402,0.675902991,2.622161668,-0.2118552,0.785988482,1.974681281,0,0.561401252
