Activity,ActivityType,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units,FSC Unconstrained,ConstInExchangeSize
RES_agmin_ag,Industries,0.307,1,0.307,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RES_forst_log,Industries,0.307,1,0.307,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RES_offc_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
ENGY_elec_hi,Industries,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
ENGY_ngas_hi,Industries,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
ENGY_ptrl_hi,Industries,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
ENGY_offc_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CNST_main_xxx,Industries,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CNST_nres_xxx,Industries,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CNST_othr_xxx,Industries,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CNST_res_xxx,Industries,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CNST_offc_off,Industries,4.49,1,4.49,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_food_hi,Industries,16.4,1,16.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_food_li,Industries,16.4,1,16.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_htec_hi,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_htec_li,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_hvtw_hi,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_hvtw_li,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_lvtw_hi,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_wdppr_hi,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
MFG_offc_off,Industries,4.93,1,4.93,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
WHSL_whsl_ware,Industries,7.12,1,7.12,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
WHSL_offc_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RET_auto_ret,Industries,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RET_stor_ret,Industries,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RET_stor_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
RET_nstor_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
TRNS_trns_ware,Industries,7.86,1,7.86,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
TRNS_trns_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
INFO_info_off_li,Industries,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
INFO_info_off,Industries,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
UTL_othr_off_li,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
UTL_othr_off,Industries,4.48,1,4.48,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
FIRE_fnin_off,Industries,28.3,1,28.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
FIRE_real_off,Industries,28.3,1,28.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HLTH_hosp_hosp,Industries,5.19,1,5.19,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HLTH_care_inst,Industries,5.19,1,5.19,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HLTH_othr_off_li,Industries,9.68,1,9.68,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
K12_k12_k12,Industries,14,1,14,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
K12_k12_off,Industries,40.2,1,40.2,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HIED_hied_off_inst,Industries,5.88,1,5.88,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
ENT_ent_ret,Industries,1.5,1,1.5,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HOSP_acc_acc,Industries,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HOSP_eat_ret_acc,Industries,24.4,1,24.4,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_tech_off,Industries,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_site_li,Industries,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_home_xxx,Industries,13.7,1,13.7,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_bus_off,Industries,22.1,1,22.1,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_nonp_off_inst,Industries,12.3,1,12.3,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SERV_stor_ret,Industries,22.1,1,22.1,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
GOV_admn_gov,Industries,3.94,1,3.94,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
GOV_offc_off,Industries,3.94,1,3.94,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
FGOV_acct_gov,Industries,3.94,1,3.94,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
SLGOV_acct_gov,Industries,3.94,1,3.94,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
CAP_acct_gov,Industries,3.94,1,3.94,0,1,Neither,Dollars of activity production/consumption,TRUE,TRUE
HH0to8k1to2,Households,9.74E-04,1,9.74E-04,0,1,Neither,Households,FALSE,TRUE
HH0to8k3plus,Households,8.20E-04,1,8.20E-04,0,1,Neither,Households,FALSE,TRUE
HH8to15k1to2,Households,6.30E-04,1,6.30E-04,0,1,Neither,Households,FALSE,TRUE
HH8to15k3plus,Households,5.25E-04,1,5.25E-04,0,1,Neither,Households,FALSE,TRUE
HH15to23k1to2,Households,4.31E-04,1,4.31E-04,0,1,Neither,Households,FALSE,TRUE
HH15to23k3plus,Households,4.05E-04,1,4.05E-04,0,1,Neither,Households,FALSE,TRUE
HH23to32k1to2,Households,3.80E-04,1,3.80E-04,0,1,Neither,Households,FALSE,TRUE
HH23to32k3plus,Households,3.35E-04,1,3.35E-04,0,1,Neither,Households,FALSE,TRUE
HH32to46k1to2,Households,3.10E-04,1,3.10E-04,0,1,Neither,Households,FALSE,TRUE
HH32to46k3plus,Households,3.00E-04,1,3.00E-04,0,1,Neither,Households,FALSE,TRUE
HH46to61k1to2,Households,2.80E-04,1,2.80E-04,0,1,Neither,Households,FALSE,TRUE
HH46to61k3plus,Households,2.65E-04,1,2.65E-04,0,1,Neither,Households,FALSE,TRUE
HH61to76k1to2,Households,2.50E-04,1,2.50E-04,0,1,Neither,Households,FALSE,TRUE
HH61to76k3plus,Households,2.40E-04,1,2.40E-04,0,1,Neither,Households,FALSE,TRUE
