Activity,TotalAmount
sctg01_fkp_lvsk_expt,1203512960.1
sctg01_fkp_lvsk_impt,1061593353.5000001
sctg02_fkp_agri_cereal_expt,893932558.1999999
sctg02_fkp_agri_cereal_impt,999880908.0
sctg03_fkp_agri_other_expt,8313501931.700001
sctg03_fkp_agri_other_impt,2760061448.0
sctg04_fkp_feed_expt,694882238.6999999
sctg04_fkp_feed_impt,1301099770.0
sctg05_fkp_food_meat_expt,3346381199.8
sctg05_fkp_food_meat_impt,4223945032.4
sctg06_fkp_agri_grain_expt,1652958895.4
sctg06_fkp_agri_grain_impt,1746200741.5
sctg07_fkp_food_prep_expt,15630709696.4
sctg07_fkp_food_prep_impt,11559174148.9
sctg08_fkp_food_alc_expt,2026017521.7
sctg08_fkp_food_alc_impt,2300836224.6
sctg10_cms_clay_expt,271536722.70000005
sctg10_cms_clay_impt,249320335.8
sctg11_cms_sand_expt,299397983.2
sctg11_cms_sand_impt,153419897.10000002
sctg13_cms_mine_nonmet_expt,44226452.9
sctg13_cms_mine_nonmet_impt,155094885.3
sctg14_cms_mine_met_expt,1533490482.5
sctg14_cms_mine_met_impt,725068071.9000001
sctg15_pcc_coal_expt,77540954.10000001
sctg15_pcc_coal_impt,761404096.8999999
sctg16_pcc_petr_crude_expt,703292305.5999999
sctg16_pcc_petr_crude_impt,2051368882.6999998
sctg17_pcc_fuel_expt,199578099.20000002
sctg17_pcc_fuel_impt,5820532159.899999
sctg18_pcc_petr_oil_expt,99789049.5
sctg18_pcc_petr_oil_impt,2910266075.8
sctg19_pcc_coal_prod_expt,921302319.8
sctg19_pcc_coal_prod_impt,4790033679.799999
sctg20_pcc_chem_basic_expt,1754684976.9
sctg20_pcc_chem_basic_impt,2519659615.2000003
sctg21_pcc_chem_pharma_expt,1101464642.0
sctg21_pcc_chem_pharma_impt,6571703420.099999
sctg22_pcc_chem_fert_expt,699492455.1
sctg22_pcc_chem_fert_impt,925356231.7
sctg23_pcc_chem_prod_expt,1649599413.6999998
sctg23_pcc_chem_prod_impt,3954914702.7
sctg24_pcc_petr_plast_expt,3249228683.3999996
sctg24_pcc_petr_plast_impt,5596685487.8
sctg25_fwp_logs_expt,3234936198.8
sctg25_fwp_logs_impt,2474730626.1000004
sctg26_fwp_wood_expt,6456998786.7
sctg26_fwp_wood_impt,2392018285.7000003
sctg27_ppp_papr_puplp_expt,5580698646.3
sctg27_ppp_papr_puplp_impt,1913050009.3999999
sctg28_ppp_papr_paper_expt,1831491215.4999998
sctg28_ppp_papr_paper_impt,2313922155.2
sctg29_ppp_papr_print_expt,1705409779.1999998
sctg29_ppp_papr_print_impt,2495898100.3
sctg30_oth_clth_expt,822096421.1
sctg30_oth_clth_impt,3805503854.2
sctg31_cms_min_expt,2273122330.8
sctg31_cms_min_impt,2752245860.1
sctg32_mit_metl_base_expt,4970671953.6
sctg32_mit_metl_base_impt,5472793396.3
sctg33_mit_metl_prod_expt,4028276107.4
sctg33_mit_metl_prod_impt,4199515249.7
sctg34_mit_mach_expt,5745210491.6
sctg34_mit_mach_impt,8683817952.599998
sctg35_mit_elct_expt,25089950757.399998
sctg35_mit_elct_impt,14519139328.099998
sctg36_mit_tran_expt,4125428569.8
sctg36_mit_tran_impt,7933939736.0
sctg37_mit_inst_transp_expt,2875766314.8999996
sctg37_mit_inst_transp_impt,2419515004.2999997
sctg38_mit_inst_prec_expt,2884849238.8
sctg38_mit_inst_prec_impt,3726728105.8
sctg39_oth_furn_expt,1561209262.9999998
sctg39_oth_furn_impt,2330264353.1
sctg40_oth_misc_expt,2507860460.2
sctg40_oth_misc_impt,5425995365.3
sctg41_waste_scrap_expt,514554668.5
sctg41_waste_scrap_impt,470564692.2
MFG_food_hi,10829728776.119936
MFG_food_li,10829728776.630987
MFG_htec_hi,13063887806.945353
MFG_htec_li,13063887807.659372
MFG_hvtw_hi,14441531004.97955
MFG_hvtw_li,14441531007.012508
MFG_lvtw_hi,12978764066.120636
MFG_offc_off,10165454714.777962
MFG_wdppr_hi,11847955596.462797
RES_agmin_ag,16903898303.180008
RES_forst_log,2519144897.4123797
RES_offc_off,1332074222.665023
RET_auto_ret,7439574271.3918295
RET_nstor_off,2193797363.1682296
RET_stor_off,1518361266.4571123
RET_stor_ret,16026845091.60856
SERV_bus_off,14387504547.694939
SERV_home_xxx,456867797.90990067
SERV_nonp_off_inst,9376816407.539896
SERV_site_li,5828886779.139351
SERV_stor_ret,5164732781.765228
SERV_tech_off,22817588634.048138
TRNS_trns_off,2125367253.753034
TRNS_trns_ware,14723200434.343346
UTL_othr_off,1114027683.0630646
UTL_othr_off_li,8378148940.99976
WHSL_offc_off,1733860877.7788863
WHSL_whsl_ware,19829592530.475147
CNST_main_xxx,3690346436.4209766
CNST_nres_xxx,6542617307.855397
CNST_offc_off,2666187150.031702
CNST_othr_xxx,8729001954.72479
CNST_res_xxx,6740919187.2998295
ENGY_elec_hi,8621276854.765507
