Activity,TotalAmount
accommodations_expt,1700121344.00
accommodations_impt,2086655315.45
communications_and_utilities_expt,15211754508.50
communications_and_utilities_impt,17509851733.75
construction_expt,18058649088.00
construction_impt,21675915294.38
education_reports_to_sponsors_expt,13098225872.00
education_reports_to_sponsors_impt,11528684784.31
energy_expt,8348569136.00
energy_impt,8157678264.42
entertainment_services_expt,3611706419.00
entertainment_services_impt,3784709514.00
fire_business_and_professional_services_expt,88503253236.00
fire_business_and_professional_services_impt,89733934496.00
food_services_expt,9926144562.00
food_services_impt,9498568418.01
government_administration_expt,12448011264.00
government_administration_impt,12431088396.00
health_services_expt,28221060182.00
health_services_impt,29918546390.44
higher_education_expt,3687533676.00
higher_education_impt,4712707028.33
personal_and_other_services_and_amusements_expt,7373544930.00
personal_and_other_services_and_amusements_impt,9566802478.88
retail_trade_expt,18865403870.50
retail_trade_impt,20001113483.31
transport_expt,11767778160.00
transport_impt,11067295441.50
wholesale_trade_expt,16866906368.00
wholesale_trade_impt,18521072738.50
FGOV_acct_gov,72428537077
SLGOV_acct_gov,55352115309
CAP_acct_gov,54781655368
