Azone,FLRType,FLRName,BldgMSQFT
20.0,AgForest,FLR Logging,48562.5
24.0,AgForest,FLR Agriculture,40510836.38
26.0,AgForest,FLR Logging,3166274.91
27.0,AgForest,FLR Agriculture,72115310.51
166.0,AgForest,FLR Logging,796424.98
167.0,AgForest,FLR Agriculture,26534549.27
181.0,AgForest,FLR Logging,67987.5
205.0,AgForest,FLR Logging,48562.5
206.0,AgForest,FLR Agriculture,108100000.0
207.0,AgForest,FLR Logging,291374.99
217.0,AgForest,FLR Logging,87412.5
219.0,AgForest,FLR Logging,106837.5
220.0,AgForest,FLR Logging,48562.5
221.0,AgForest,FLR Logging,22523286.88
222.0,AgForest,FLR Agriculture,28292511.72
223.0,AgForest,FLR Agriculture,806137.48
224.0,AgForest,FLR Logging,135975.0
225.0,AgForest,FLR Logging,48562.5
229.0,AgForest,FLR Logging,9712.5
235.0,AgForest,FLR Logging,9712.5
236.0,AgForest,FLR Agriculture,130020000.0
243.0,AgForest,FLR Agriculture,16278149.55
244.0,AgForest,FLR Logging,21318936.91
246.0,AgForest,FLR Logging,10343812.21
247.0,AgForest,FLR Logging,12538837.15
248.0,AgForest,FLR Logging,4836824.87
249.0,AgForest,FLR Agriculture,18055537.0
250.0,AgForest,FLR Logging,116550.0
258.0,AgForest,FLR Logging,77700.0
259.0,AgForest,FLR Logging,320512.49
262.0,AgForest,FLR Logging,213674.99
263.0,AgForest,FLR Logging,19425.0
267.0,AgForest,FLR Logging,951824.97
268.0,AgForest,FLR Logging,41410334.35
268.0,AgForest,FLR Agriculture,231069665.7
269.0,AgForest,FLR Agriculture,149150000.0
270.0,AgForest,FLR Logging,3581272.571
270.0,AgForest,FLR Agriculture,1809160257.0
271.0,AgForest,FLR Logging,1677688661.0
271.0,AgForest,FLR Agriculture,314979842.8
272.0,AgForest,FLR Logging,2552288267.0
272.0,AgForest,FLR Agriculture,69355772.19
273.0,AgForest,FLR Logging,1975072656.0
273.0,AgForest,FLR Agriculture,2718497130.0
274.0,AgForest,FLR Agriculture,179450000.0
275.0,AgForest,FLR Logging,64121923.23
276.0,AgForest,FLR Agriculture,173800000.0
277.0,AgForest,FLR Agriculture,45668173.76
278.0,AgForest,FLR Agriculture,151670000.0
279.0,AgForest,FLR Agriculture,46037248.75
280.0,AgForest,FLR Logging,2189019.5
280.0,AgForest,FLR Agriculture,55163291.43
281.0,AgForest,FLR Logging,50806086.08
282.0,AgForest,FLR Logging,19690575.64
282.0,AgForest,FLR Agriculture,30717297.99
283.0,AgForest,FLR Agriculture,16258724.55
285.0,AgForest,FLR Agriculture,26379149.27
286.0,AgForest,FLR Agriculture,96542247.32
287.0,AgForest,FLR Agriculture,93434247.42
288.0,AgForest,FLR Agriculture,102787384.7
289.0,AgForest,FLR Agriculture,125299524.8
291.0,AgForest,FLR Logging,23883036.84
292.0,AgForest,FLR Agriculture,100047733.6
293.0,AgForest,FLR Agriculture,130080000.0
294.0,AgForest,FLR Agriculture,299417196.3
295.0,AgForest,FLR Agriculture,110010000.0
296.0,AgForest,FLR Logging,4357771.74
296.0,AgForest,FLR Agriculture,71380301.17
297.0,AgForest,FLR Agriculture,151024250.0
298.0,AgForest,FLR Logging,32031824.12
299.0,AgForest,FLR Agriculture,104300000.0
300.0,AgForest,FLR Agriculture,141030000.0
301.0,AgForest,FLR Agriculture,176150000.0
302.0,AgForest,FLR Logging,90190272.5
303.0,AgForest,FLR Logging,10547774.71
304.0,AgForest,FLR Logging,149113.5
304.0,AgForest,FLR Agriculture,70697285.54
305.0,AgForest,FLR Logging,93617.76343
305.0,AgForest,FLR Agriculture,254350480.5
306.0,AgForest,FLR Agriculture,226950000.0
307.0,AgForest,FLR Logging,42958386.31
328.0,AgForest,FLR Logging,77700.0
343.0,AgForest,FLR Logging,126262.5
354.0,AgForest,FLR Logging,7740862.29
355.0,AgForest,FLR Agriculture,1486012.46
357.0,AgForest,FLR Logging,660449.98
358.0,AgForest,FLR Logging,17832149.51
361.0,AgForest,FLR Logging,58275.0
362.0,AgForest,FLR Logging,19425.0
365.0,AgForest,FLR Logging,2156174.94
366.0,AgForest,FLR Logging,174825.0
367.0,AgForest,FLR Logging,21629736.9
368.0,AgForest,FLR Logging,1359749.96
369.0,AgForest,FLR Agriculture,932399.97
370.0,AgForest,FLR Agriculture,8061374.78
371.0,AgForest,FLR Agriculture,9139462.25
372.0,AgForest,FLR Logging,19425.0
374.0,AgForest,FLR Logging,10236974.72
375.0,AgForest,FLR Agriculture,19308449.47
382.0,AgForest,FLR Logging,19425.0
383.0,AgForest,FLR Agriculture,263410000.0
384.0,AgForest,FLR Logging,18560586.99
385.0,AgForest,FLR Agriculture,6623924.82
386.0,AgForest,FLR Logging,3467362.4
387.0,AgForest,FLR Logging,3214837.41
388.0,AgForest,FLR Agriculture,2127037.44
389.0,AgForest,FLR Agriculture,1136362.47
390.0,AgForest,FLR Logging,301087.49
394.0,AgForest,FLR Agriculture,51583086.1
395.0,AgForest,FLR Agriculture,23951024.34
396.0,AgForest,FLR Logging,5681812.34
398.0,AgForest,FLR Logging,40336011.39
399.0,AgForest,FLR Agriculture,33238536.01
400.0,AgForest,FLR Agriculture,39976648.9
401.0,AgForest,FLR Agriculture,154520954.7
402.0,AgForest,FLR Logging,20211711.94
403.0,AgForest,FLR Logging,893549.98
456.0,AgForest,FLR Logging,9712.5
479.0,AgForest,FLR Logging,310799.99
480.0,AgForest,FLR Logging,1777387.45
481.0,AgForest,FLR Agriculture,11315062.19
482.0,AgForest,FLR Logging,116550.0
484.0,AgForest,FLR Logging,9712.5
496.0,AgForest,FLR Logging,1437449.96
497.0,AgForest,FLR Logging,2088187.44
498.0,AgForest,FLR Agriculture,2398987.43
502.0,AgForest,FLR Agriculture,23805336.84
503.0,AgForest,FLR Agriculture,43822798.79
504.0,AgForest,FLR Logging,34877586.54
505.0,AgForest,FLR Logging,21085836.92
506.0,AgForest,FLR Agriculture,19687236.96
507.0,AgForest,FLR Logging,4865962.37
508.0,AgForest,FLR Logging,3137137.41
509.0,AgForest,FLR Logging,2233874.94
513.0,AgForest,FLR Logging,9945599.72
515.0,AgForest,FLR Logging,5798362.34
518.0,AgForest,FLR Logging,56895823.43
519.0,AgForest,FLR Agriculture,19017074.48
520.0,AgForest,FLR Logging,27683.79342
520.0,AgForest,FLR Agriculture,176503107.8
521.0,AgForest,FLR Logging,158838563.1
521.0,AgForest,FLR Agriculture,272524305.6
522.0,AgForest,FLR Agriculture,150740000.0
523.0,AgForest,FLR Agriculture,10722599.7
524.0,AgForest,FLR Logging,15345749.58
525.0,AgForest,FLR Agriculture,81332472.74
526.0,AgForest,FLR Logging,20182574.44
527.0,AgForest,FLR Logging,18900524.48
528.0,AgForest,FLR Agriculture,215328275.0
529.0,AgForest,FLR Agriculture,69007310.61
530.0,AgForest,FLR Logging,51272286.06
531.0,AgForest,FLR Agriculture,137800000.0
532.0,AgForest,FLR Logging,100964025.1
532.0,AgForest,FLR Agriculture,490685162.1
533.0,AgForest,FLR Agriculture,169414225.0
534.0,AgForest,FLR Logging,181756924.4
534.0,AgForest,FLR Agriculture,117778487.0
535.0,AgForest,FLR Logging,587293087.1
535.0,AgForest,FLR Agriculture,12179801831.0
536.0,AgForest,FLR Logging,291278424.3
536.0,AgForest,FLR Agriculture,300281575.5
537.0,AgForest,FLR Logging,13837555319.0
537.0,AgForest,FLR Agriculture,3226231569.0
538.0,AgForest,FLR Agriculture,741990000.2
539.0,AgForest,FLR Agriculture,12927337.14
540.0,AgForest,FLR Logging,28069124.23
541.0,AgForest,FLR Agriculture,42987523.81
542.0,AgForest,FLR Agriculture,38801436.43
543.0,AgForest,FLR Logging,12179474.66
544.0,AgForest,FLR Logging,12373724.66
545.0,AgForest,FLR Agriculture,15064087.08
546.0,AgForest,FLR Logging,16113037.06
547.0,AgForest,FLR Logging,52971973.52
548.0,AgForest,FLR Agriculture,146180000.0
549.0,AgForest,FLR Agriculture,9408960.0
550.0,AgForest,FLR Agriculture,32828249.09
551.0,AgForest,FLR Agriculture,155639880.0
552.0,AgForest,FLR Agriculture,67395035.65
553.0,AgForest,FLR Agriculture,93220572.42
554.0,AgForest,FLR Logging,135036000.0
582.0,AgForest,FLR Agriculture,786712.48
624.0,AgForest,FLR Agriculture,2000774.95
632.0,AgForest,FLR Logging,1029524.97
633.0,AgForest,FLR Agriculture,2942887.42
662.0,AgForest,FLR Agriculture,5924624.84
690.0,AgForest,FLR Agriculture,2525249.93
704.0,AgForest,FLR Logging,747862.48
705.0,AgForest,FLR Agriculture,48057448.69
706.0,AgForest,FLR Agriculture,6653062.32
707.0,AgForest,FLR Agriculture,87917547.58
708.0,AgForest,FLR Agriculture,68249735.6
898.0,AgForest,FLR Logging,126262.5
899.0,AgForest,FLR Logging,77700.0
901.0,AgForest,FLR Logging,1029524.97
902.0,AgForest,FLR Logging,8129362.28
904.0,AgForest,FLR Logging,446774.99
