Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search,PayloadReferenceDistance,AnotherPayloadDistance,PayloadInterchangeName,MinimumPrice,MaximumPrice,TotalSizeTerm
SCTG01_FKP_LVSK,101,7.813113798,7.813113798,1,-1,2.85E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,946494476
SCTG02_FKP_AGRI_cereal,102,5,5,1,-1,0.000134375,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,750953625.9
SCTG03_FKP_AGRI_other,103,23.38947374,23.38947374,1,-1,4.86E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,3965435111
SCTG04_FKP_FEED,104,5,5,1,-1,0.002568272,1,1,0.00018895,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,1064570116
SCTG05_FKP_FOOD_meat,105,5,5,1,-1,0.002568272,1,1,3.05E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,4702527215
SCTG06_FKP_AGRI_grain,106,5,5,1,-1,0.002568272,1,1,0.000154881,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,2351165592
SCTG07_FKP_FOOD_prep,107,5,5,1,-1,0.002568272,1,1,4.68E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,15951086269
SCTG08_FKP_FOOD_alc,108,5,5,1,-1,0.002568272,1,1,0.000197953,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,3017125989
SCTG10_CMS_CLAY,110,22.21129668,22.21129668,1,-1,0.000706579,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,188502663.6
SCTG11_CMS_SAND,111,7.058514304,7.058514304,1,-1,0.002030271,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,134966585.3
