SPG Sector,2010WorkersPerJobFactor
RES_agmin_ag,0.814318031
RES_forst_log,0.814318031
RES_offc_off,0.814318031
ENGY_elec_hi,0.634647924
ENGY_ngas_hi,0.634647924
ENGY_ptrl_hi,0.634647924
ENGY_offc_off,0.634647924
CNST_main_xxx,0.903290497
CNST_nres_xxx,0.903290497
CNST_othr_xxx,0.903290497
CNST_res_xxx,0.903290497
CNST_offc_off,0.903290497
MFG_food_hi,1.098879642
MFG_food_li,1.098879642
MFG_htec_hi,1.098879642
MFG_htec_li,1.098879642
MFG_hvtw_hi,1.098879642
MFG_hvtw_li,1.098879642
MFG_lvtw_hi,1.098879642
MFG_wdppr_hi,1.098879642
MFG_offc_off,1.098879642
WHSL_whsl_ware,0.923364874
WHSL_offc_off,0.923364874
RET_auto_ret,0.908975712
RET_stor_ret,0.908975712
RET_stor_off,0.908975712
RET_nstor_off,0.908975712
TRNS_trns_ware,0.972776869
TRNS_trns_off,0.972776869
INFO_info_off_li,0.995711667
INFO_info_off,0.995711667
UTL_othr_off_li,0.741087604
UTL_othr_off,0.741087604
FIRE_fnin_off,0.566162437
FIRE_real_off,0.566162437
HLTH_hosp_hosp,1.026358011
HLTH_care_inst,1.026358011
HLTH_othr_off_li,1.026358011
K12_k12_k12,0.75889719
K12_k12_off,0.75889719
HIED_hied_off_inst,1.23248052
ENT_ent_ret,0.922042158
HOSP_acc_acc,0.818816237
HOSP_eat_ret_acc,0.818816237
SERV_tech_off,0.661014886
SERV_site_li,0.661014886
SERV_home_xxx,0.661014886
SERV_bus_off,0.661014886
SERV_nonp_off_inst,0.661014886
SERV_stor_ret,0.661014886
GOV_admn_gov,0.668115676
GOV_offc_off,0.668115676
