ZoneNumber,ZoneName,External,xCoordinate,yCoordinate
1,Portland,FALSE,-122.678346,45.51778746
17,Portland,FALSE,-122.704717,45.52529542
19,Portland,FALSE,-122.827605,45.63743917
31,Portland,FALSE,-122.704424,45.49450106
37,Portland,FALSE,-122.704582,45.45244695
79,Portland,FALSE,-122.795061,45.51259728
81,Portland,FALSE,-122.772413,45.48251035
89,Portland,FALSE,-122.76265,45.4411765
104,Portland,FALSE,-122.8514,45.5650462
114,Portland,FALSE,-122.814311,45.46584225
117,Portland,FALSE,-122.809875,45.41572633
150,Portland,FALSE,-122.871414,45.44885318
154,Portland,FALSE,-122.868585,45.49025674
161,Portland,FALSE,-122.87129,45.53236522
223,Portland,FALSE,-122.956452,45.54752339
229,Portland,FALSE,-122.954627,45.50660484
244,Portland,FALSE,-122.92081,45.41291808
267,Portland,FALSE,-122.999015,45.66144583
271,Portland,FALSE,-123.23076,45.69013111
273,Portland,FALSE,-123.251165,45.52488302
290,Portland,FALSE,-122.808191,45.36176266
294,Portland,FALSE,-123.045361,45.43759278
323,Portland,FALSE,-122.705341,45.40674059
355,Portland,FALSE,-122.652481,45.37261659
361,Portland,FALSE,-122.706608,45.33779829
385,Portland,FALSE,-122.799112,45.30220364
404,Portland,FALSE,-122.619607,45.40651263
405,Portland,FALSE,-122.610845,45.44682657
411,Portland,FALSE,-122.606969,45.43087021
418,Portland,FALSE,-122.628833,45.4736817
441,Portland,FALSE,-122.527208,45.44300459
444,Portland,FALSE,-122.554867,45.41106758
468,Portland,FALSE,-122.519442,45.47877745
481,Portland,FALSE,-122.398476,45.42734636
499,Portland,FALSE,-122.578257,45.34573594
504,Portland,FALSE,-122.482762,45.12485933
536,Portland,FALSE,-122.017529,45.18973429
542,Portland,FALSE,-122.38261,45.47928923
570,Portland,FALSE,-122.522907,45.53027708
575,Portland,FALSE,-122.471051,45.51646212
618,Portland,FALSE,-122.578577,45.58241558
623,Portland,FALSE,-122.449989,45.55712892
636,Portland,FALSE,-122.412854,45.52719417
714,Portland,FALSE,-122.662474,45.53988037
715,Portland,FALSE,-122.614485,45.53343157
721,Portland,FALSE,-122.587143,45.55376491
727,Portland,FALSE,-122.565159,45.5057269
733,Portland,FALSE,-122.571475,45.47698605
763,Portland,FALSE,-122.649332,45.50813939
776,Portland,FALSE,-122.612013,45.50175168
851,Portland,FALSE,-122.684838,45.55014483
852,Portland,FALSE,-122.724211,45.57624152
866,Portland,FALSE,-122.677861,45.56756445
869,Portland,FALSE,-122.641445,45.56316691
905,Portland,FALSE,-122.724023,45.61243937
970,Vancouver,FALSE,-122.728874,45.68493076
991,Vancouver,FALSE,-122.708894,45.75192546
1000,Vancouver,FALSE,-122.636689,45.62648103
1002,Vancouver,FALSE,-122.553486,45.61005745
1025,Vancouver,FALSE,-122.568835,45.64795309
1044,Vancouver,FALSE,-122.631742,45.67409591
1114,Vancouver,FALSE,-122.669542,45.80562722
1131,Vancouver,FALSE,-122.464434,45.66958511
1153,Vancouver,FALSE,-122.553599,45.71538766
1175,Vancouver,FALSE,-122.434749,45.86609335
1177,Vancouver,FALSE,-122.362492,45.6399523
1292,Portland,FALSE,-122.085578,45.5278821
1301,Salem,FALSE,-123.037652,44.94458404
1303,Salem,FALSE,-123.008325,44.95681061
1313,Salem,FALSE,-123.072261,45.09532225
1314,Salem,FALSE,-123.152485,44.97892528
1316,Salem,FALSE,-123.082345,44.95133484
1318,Salem,FALSE,-123.042345,45.00807457
1324,Salem,FALSE,-122.991481,45.01370911
1328,Salem,FALSE,-122.953281,45.0069448
1337,Salem,FALSE,-123.01465,44.97354763
1364,Salem,FALSE,-122.956877,44.95801632
1369,Salem,FALSE,-123.11076,44.88043978
1374,Salem,FALSE,-123.042602,44.90625713
1394,Salem,FALSE,-123.012007,44.90423312
1401,Salem,FALSE,-122.980749,44.88464412
1408,Salem,FALSE,-123.006249,44.94449419
1415,Salem,FALSE,-123.005975,44.9304372
1437,Salem,FALSE,-122.958449,44.9233627
1453,Salem,FALSE,-123.057937,44.8498404
1466,Salem,FALSE,-122.88321,44.89853953
1468,Salem,FALSE,-122.952939,44.84843555
1470,Salem,FALSE,-122.969339,45.06692262
1501,Eugene,FALSE,-123.052581,44.03191129
1502,Eugene,FALSE,-123.079588,44.06703381
1503,Eugene,FALSE,-123.125443,44.07864145
1505,Eugene,FALSE,-123.102779,44.04299253
1525,Eugene,FALSE,-123.228401,44.09782537
1553,Eugene,FALSE,-123.11466,44.1106279
1562,Eugene,FALSE,-123.023024,44.07578759
1588,Eugene,FALSE,-123.207217,43.99862548
1598,Eugene,FALSE,-123.063342,44.00018278
1617,Eugene,FALSE,-123.007025,44.05309562
1630,Eugene,FALSE,-122.902676,44.04246437
1639,Eugene,FALSE,-122.954303,44.00315906
1650,Eugene,FALSE,-123.083686,44.15975012
1658,Eugene,FALSE,-123.045385,43.94990564
1701,Medford,FALSE,-122.969666,42.41721323
1702,Medford,FALSE,-122.806823,42.47143296
1706,Medford,FALSE,-122.78466,42.38519886
1710,Medford,FALSE,-122.911976,42.37702658
1715,Medford,FALSE,-122.851406,42.36747395
1717,Medford,FALSE,-122.990806,42.31292185
1719,Medford,FALSE,-122.905454,42.34265174
1720,Medford,FALSE,-122.815357,42.33932152
1723,Medford,FALSE,-122.889002,42.30633699
1724,Medford,FALSE,-122.77704,42.26990009
1726,Medford,FALSE,-122.850508,42.26678701
1728,Medford,FALSE,-122.823326,42.28019001
1732,Medford,FALSE,-122.760391,42.23380048
1736,Other OR,FALSE,-123.892271,44.9314004
1752,Medford,FALSE,-122.866041,42.32685466
1774,Other OR,FALSE,-124.008078,44.16002532
1775,Other OR,FALSE,-123.723821,44.12264218
2009,Other OR,FALSE,-123.993873,46.20931869
2011,Other OR,FALSE,-123.800875,46.21684384
2018,Other OR,FALSE,-123.592575,46.14047983
2023,Other OR,FALSE,-123.863192,46.07335199
2025,Other OR,FALSE,-123.950655,46.01709164
2028,Other OR,FALSE,-123.649746,45.83694963
2031,Other OR,FALSE,-123.906713,45.94850393
2035,Other OR,FALSE,-123.993788,45.88311181
2042,Other OR,FALSE,-123.94106,45.64642185
2045,Other OR,FALSE,-123.623695,45.52934738
2046,Other OR,FALSE,-123.892848,45.54256233
2051,Other OR,FALSE,-123.806106,45.45026274
2056,Other OR,FALSE,-123.95993,45.45369893
2059,Other OR,FALSE,-123.816169,45.23485426
2063,Other OR,FALSE,-124.035018,44.9869945
2072,Other OR,FALSE,-123.948486,44.76522422
2073,Other OR,FALSE,-123.921141,44.59603348
2076,Other OR,FALSE,-124.074082,44.58937319
2092,Other OR,FALSE,-123.610166,44.60522664
2094,Other OR,FALSE,-123.975003,44.39487909
2098,Other OR,FALSE,-124.142928,44.04171573
2109,Other OR,FALSE,-124.081177,43.92644653
2111,Other OR,FALSE,-123.904531,43.71304643
2112,Other OR,FALSE,-124.183052,43.68195269
2119,Other OR,FALSE,-124.165191,43.52903242
2122,Other OR,FALSE,-124.15619,43.39972314
2123,Other OR,FALSE,-123.953054,43.38569482
2126,Other OR,FALSE,-124.247986,43.40825933
2134,Other OR,FALSE,-124.241914,43.3702466
2139,Other OR,FALSE,-124.358353,43.3234616
2148,Other OR,FALSE,-124.199036,43.27079689
2156,Other OR,FALSE,-124.18006,43.16848387
2162,Other OR,FALSE,-124.391741,43.07243467
2167,Other OR,FALSE,-123.853358,43.10264268
