From,To,FAR,AWT,FWT,DIST,IVT
904,3055,5435,60,720,181.71,21.81
3055,904,5435,60,720,181.71,21.81
904,1549,4648,60,180,105.27,12.63
1549,904,4648,60,180,105.27,12.63
904,1734,7080,60,131,221.87,26.62
1734,904,7080,60,131,221.87,26.62
904,2874,4648,60,160,116.08,13.93
2874,904,4648,60,160,116.08,13.93
904,2130,5649,60,480,170.25,20.43
2130,904,5649,60,480,170.25,20.43
904,2905,7080,60,480,240.36,28.84
2905,904,7080,60,480,240.36,28.84
1549,1734,7795,60,720,121.77,14.61
1734,1549,7795,60,720,121.77,14.61
1549,2874,4219,60,480,102.58,12.31
2874,1549,4219,60,480,102.58,12.31
4089,1549,4219,60,480,350.45,42.05
1549,4089,4219,60,480,350.45,42.05
4089,904,4219,60,480,343.35,41.20
904,4089,4219,60,480,343.35,41.20
4089,1734,4219,60,480,346.18,41.54
1734,4089,4219,60,480,346.18,41.54
904,4069,4219,60,480,173.68,20.84
4069,904,4219,60,480,173.68,20.84
904,1549,4219,60,480,105.27,12.63
1549,904,4219,60,480,105.27,12.63
904,4021,4219,60,480,350.36,42.04
4021,904,4219,60,480,350.36,42.04
