fafregion,description,state,external_station
11,Birmingham,AL,5007
12,Mobile,AL,5007
19,AL-Remainder,AL,5007
20,Alaska,AK,5002
41,Phoenix,AZ,5010
42,Tucson,AZ,5010
49,AZ-Remainder,AZ,5010
50,Arkansas,AR,5007
61,Los Angeles,CA,5010
62,Sacramento,CA,5010
63,San Diego,CA,5010
64,San Francisco,CA,5010
69,CA-remainder,CA,5010
81,Denver,CO,5007
89,CO-Remainder,CO,5007
91,Hartford,CT,5007
92,New York,CT,5007
99,CT-Remainder,CT,5007
100,Delaware,DE,5007
111,Washington,DC,5007
121,Jacksonville,FL,5007
122,Miami,FL,5007
123,Orlando,FL,5007
124,Tampa,FL,5007
129,FL-Remainder,FL,5007
131,Atlanta,GA,5007
132,Savannah,GA,5007
139,GA-Remainder,GA,5007
151,Honolulu,HI,NA
159,HI-Remainder,HI,NA
160,Idaho,ID,5007
171,Chicago,IL,5007
172,St.Louis,IL,5007
179,IL-Remainder,IL,5007
181,Chicago,IN,5007
182,Indianapolis,IN,5007
189,IN-Remainder,IN,5007
190,Iowa,IA,5007
201,Kansas City,KS,5007
209,KS-Remainder,KS,5007
211,Louisville,KY,5007
219,KY-Remainder,KY,5007
221,BatonRouge,LA,5007
222,Lake Charles,LA,5007
223,New Orleans,LA,5007
229,Louisiana,LA,5007
230,Maine,ME,5007
241,Baltimore,MD,5007
242,Washington,MD,5007
249,MD-Remainder,MD,5007
251,Boston,MA,5007
259,MA-Remainder,MA,5007
261,Detroit,MI,5007
262,Grand Rapids,MI,5007
269,MI-Remainder,MI,5007
271,Minneapolis,MN,5007
279,MN-Remainder,MN,5007
280,Mississippi,MS,5007
291,Kansas City,MO,5007
292,St.Louis,MO,5007
299,MO-Remainder,MO,5007
300,Montana,MT,5003
310,Nebraska,NE,5007
321,Las Vegas,NV,5009
329,NV-Remainder,NV,5009
330,New Hampshire,NH,5007
341,New York,NJ,5007
342,Philadelphia,NJ,5007
349,NJ-Remainder,NJ,5007
350,New Mexico,NM,5007
361,Albany,NY,5007
362,Buffalo,NY,5007
363,New York,NY,5007
364,Rochester,NY,5007
369,NY-Remainder,NY,5007
371,Charlotte,NC,5007
372,Greensboro-Winston-Salem-HighPoint,NC,5007
373,Raleigh-Durham,NC,5007
379,NC-Remainder,NC,5007
380,North Dakota,ND,5003
391,Cincinnati,OH,5007
392,Cleveland,OH,5007
393,Columbus,OH,5007
394,Dayton,OH,5007
399,OH-Remainder,OH,5007
401,Oklahoma City,OK,5007
402,Tulsa,OK,5007
409,OK-Remainder,OK,5007
411,Portland,OR,NA
419,OR-Remainder,OR,NA
421,Philadelphia,PA,5007
422,Pittsburgh,PA,5007
429,PA-Remainder,PA,5007
440,Rhode Island,RI,5007
451,Charleston,SC,5007
452,Greenville-Spartanburg,SC,5007
459,SC-Remainder,SC,5007
460,South Dakota,SD,5003
471,Memphis,TN,5007
472,Nashville,TN,5007
479,TN-Remainder,TN,5007
481,Austin,TX,5007
482,Beaumont,TX,5007
483,Corpus Christi,TX,5007
484,Dallas,TX,5007
485,El Paso,TX,5007
486,Houston,TX,5007
487,Laredo,TX,5007
488,San Antonio,TX,5007
489,TX-Remainder,TX,5007
491,Salt Lake City,UT,5007
499,UT-Remainder,UT,5007
500,Vermont,VT,5007
511,Richmond,VA,5007
512,Norfolk,VA,5007
513,Washington,VA,5007
519,VA-Remainder,VA,5007
531,Seattle,WA,5002
539,WA-Remainder,WA,5003
540,West Virginia,WV,5007
551,Milwaukee,WI,5007
559,WI-Remainder,WI,5007
560,Wyoming,WY,5007
