dms_orig,dms_dest,description,state,entry,exit
20,61,Los Angeles-Long Beach,CA,I5N,I5S
20,62,Sacramento-Roseville,CA,I5N,I5S
20,63,San Diego-Carlsbad-San Marcos,CA,I5N,I5S
20,64,San Jose-San Francisco-Oakland,CA,I5N,I5S
20,65,Fresno-Madera,CA,I5N,I5S
20,69,Remainder of California,CA,I5N,I5S
20,321,Las Vegas-Henderson,NV,I5N,I5S
20,329,Remainder of Nevada,NV,I5N,I5S
531,41,Phoenix-Mesa-Glendale,AZ,I82N,I84E
531,42,Tucson-Nogales,AZ,I82N,I84E
531,49,Remainder of Arizona,AZ,I82N,I84E
531,50,Arkansas,AR,I82N,I84E
531,81,Denver-Aurora,CO,I82N,I84E
531,89,Remainder of Colorado,CO,I82N,I84E
531,221,Baton Rouge,LA,I82N,I84E
531,222,Lake Charles,LA,I82N,I84E
531,223,New Orleans-Metairie-Hammond,LA,I82N,I84E
531,229,Remainder of Louisiana,LA,I82N,I84E
531,321,Las Vegas-Henderson,NV,I82N,I84E
531,350,New Mexico,NM,I82N,I84E
531,401,Oklahoma City-Shawnee,OK,I82N,I84E
531,402,Tulsa-Muskogee-Bartlesville,OK,I82N,I84E
531,409,Remainder of Oklahoma,OK,I82N,I84E
531,481,Austin-Round Rock,TX,I82N,I84E
531,482,Beaumont-Port Arthur,TX,I82N,I84E
531,483,Corpus Christi-Kingsville-Alice,TX,I82N,I84E
531,484,Dallas-Fort Worth,TX,I82N,I84E
531,485,El Paso,TX,I82N,I84E
531,486,Houston-The Woodlands,TX,I82N,I84E
531,487,Laredo,TX,I82N,I84E
531,488,San Antonio-New Braunfels,TX,I82N,I84E
531,489,Remainder of Texas,TX,I82N,I84E
531,491,Salt Lake City-Provo-Orem,UT,I82N,I84E
531,499,Remainder of Utah,UT,I82N,I84E
531,560,Wyoming,WY,I82N,I84E
532,41,Phoenix-Mesa-Glendale,AZ,I5N,US95S
532,42,Tucson-Nogales,AZ,I5N,US95S
532,49,Remainder of Arizona,AZ,I5N,US95S
532,50,Arkansas,AR,I5N,I84E
532,81,Denver-Aurora,CO,I5N,I84E
532,89,Remainder of Colorado,CO,I5N,I84E
532,221,Baton Rouge,LA,I5N,I84E
532,222,Lake Charles,LA,I5N,I84E
532,223,New Orleans-Metairie-Hammond,LA,I5N,I84E
532,229,Remainder of Louisiana,LA,I5N,I84E
532,321,Las Vegas-Henderson,NV,I5N,US95S
532,350,New Mexico,NM,I5N,I84E
532,401,Oklahoma City-Shawnee,OK,I5N,I84E
532,402,Tulsa-Muskogee-Bartlesville,OK,I5N,I84E
532,409,Remainder of Oklahoma,OK,I5N,I84E
532,481,Austin-Round Rock,TX,I5N,I84E
532,482,Beaumont-Port Arthur,TX,I5N,I84E
532,483,Corpus Christi-Kingsville-Alice,TX,I5N,I84E
532,484,Dallas-Fort Worth,TX,I5N,I84E
532,485,El Paso,TX,I5N,I84E
532,486,Houston-The Woodlands,TX,I5N,I84E
532,487,Laredo,TX,I5N,I84E
532,488,San Antonio-New Braunfels,TX,I5N,I84E
532,489,Remainder of Texas,TX,I5N,I84E
532,491,Salt Lake City-Provo-Orem,UT,I5N,I84E
532,499,Remainder of Utah,UT,I5N,I84E
532,560,Wyoming,WY,I5N,I84E
539,41,Phoenix-Mesa-Glendale,AZ,I82N,I84E
539,42,Tucson-Nogales,AZ,I82N,I84E
539,49,Remainder of Arizona,AZ,I82N,I84E
539,50,Arkansas,AR,I82N,I84E
539,81,Denver-Aurora,CO,I82N,I84E
539,89,Remainder of Colorado,CO,I82N,I84E
539,221,Baton Rouge,LA,I82N,I84E
539,222,Lake Charles,LA,I82N,I84E
539,223,New Orleans-Metairie-Hammond,LA,I82N,I84E
539,229,Remainder of Louisiana,LA,I82N,I84E
539,321,Las Vegas-Henderson,NV,I82N,I84E
539,350,New Mexico,NM,I82N,I84E
539,401,Oklahoma City-Shawnee,OK,I82N,I84E
539,402,Tulsa-Muskogee-Bartlesville,OK,I82N,I84E
539,409,Remainder of Oklahoma,OK,I82N,I84E
539,481,Austin-Round Rock,TX,I82N,I84E
539,482,Beaumont-Port Arthur,TX,I82N,I84E
539,483,Corpus Christi-Kingsville-Alice,TX,I82N,I84E
539,484,Dallas-Fort Worth,TX,I82N,I84E
539,485,El Paso,TX,I82N,I84E
539,486,Houston-The Woodlands,TX,I82N,I84E
539,487,Laredo,TX,I82N,I84E
539,488,San Antonio-New Braunfels,TX,I82N,I84E
539,489,Remainder of Texas,TX,I82N,I84E
539,491,Salt Lake City-Provo-Orem,UT,I82N,I84E
539,499,Remainder of Utah,UT,I82N,I84E
539,560,Wyoming,WY,I82N,I84E
531,61,Los Angeles-Long Beach,CA,I5N,I5S
531,62,Sacramento-Roseville,CA,I5N,I5S
531,63,San Diego-Carlsbad-San Marcos,CA,I5N,I5S
531,64,San Jose-San Francisco-Oakland,CA,I5N,I5S
531,65,Fresno-Madera,CA,I5N,I5S
531,69,Remainder of California,CA,I5N,I5S
532,61,Los Angeles-Long Beach,CA,I5N,I5S
532,62,Sacramento-Roseville,CA,I5N,I5S
532,63,San Diego-Carlsbad-San Marcos,CA,I5N,I5S
532,64,San Jose-San Francisco-Oakland,CA,I5N,I5S
532,65,Fresno-Madera,CA,I5N,I5S
532,69,Remainder of California,CA,I5N,I5S
539,329,Remainder of Nevada,NV,I82N,US95S
539,61,Los Angeles-Long Beach,CA,I82N,US97S
539,62,Sacramento-Roseville,CA,I82N,US97S
539,63,San Diego-Carlsbad-San Marcos,CA,I82N,US97S
539,64,San Jose-San Francisco-Oakland,CA,I82N,US97S
539,65,Fresno-Madera,CA,I82N,US97S
539,69,Remainder of California,CA,I82N,US97S
531,329,Remainder of Nevada,NV,I5N,OR39S
532,329,Remainder of Nevada,NV,I5N,OR39S
