distance,SU,TT,CS,DBL,TPT
0,0,0,0,0,0
1,0.01155,0.00398,0.00398,0.00398,0.00398
2,0.01708,0.00814,0.00814,0.00814,0.00814
3,0.02085,0.01065,0.01065,0.01065,0.01065
4,0.02356,0.01245,0.01245,0.01245,0.01245
5,0.02554,0.01384,0.01384,0.01384,0.01384
6,0.02696,0.01492,0.01492,0.01492,0.01492
7,0.02796,0.01579,0.01579,0.01579,0.01579
8,0.02861,0.01647,0.01647,0.01647,0.01647
9,0.02898,0.01702,0.01702,0.01702,0.01702
10,0.02913,0.01744,0.01744,0.01744,0.01744
11,0.02909,0.01777,0.01777,0.01777,0.01777
12,0.0289,0.01801,0.01801,0.01801,0.01801
13,0.02858,0.01817,0.01817,0.01817,0.01817
14,0.02816,0.01827,0.01827,0.01827,0.01827
15,0.02766,0.01832,0.01832,0.01832,0.01832
16,0.02708,0.01832,0.01832,0.01832,0.01832
17,0.02645,0.01828,0.01828,0.01828,0.01828
18,0.02578,0.0182,0.0182,0.0182,0.0182
19,0.02508,0.01809,0.01809,0.01809,0.01809
20,0.02435,0.01795,0.01795,0.01795,0.01795
21,0.0236,0.01779,0.01779,0.01779,0.01779
22,0.02284,0.01761,0.01761,0.01761,0.01761
23,0.02208,0.0174,0.0174,0.0174,0.0174
24,0.02131,0.01718,0.01718,0.01718,0.01718
25,0.02055,0.01695,0.01695,0.01695,0.01695
26,0.01979,0.0167,0.0167,0.0167,0.0167
27,0.01904,0.01644,0.01644,0.01644,0.01644
28,0.0183,0.01618,0.01618,0.01618,0.01618
29,0.01757,0.0159,0.0159,0.0159,0.0159
30,0.01686,0.01562,0.01562,0.01562,0.01562
31,0.01617,0.01534,0.01534,0.01534,0.01534
32,0.01549,0.01505,0.01505,0.01505,0.01505
33,0.01483,0.01476,0.01476,0.01476,0.01476
34,0.01418,0.01446,0.01446,0.01446,0.01446
35,0.01356,0.01417,0.01417,0.01417,0.01417
36,0.01295,0.01387,0.01387,0.01387,0.01387
37,0.01236,0.01357,0.01357,0.01357,0.01357
38,0.01179,0.01328,0.01328,0.01328,0.01328
39,0.01124,0.01298,0.01298,0.01298,0.01298
40,0.01071,0.01269,0.01269,0.01269,0.01269
41,0.0102,0.01239,0.01239,0.01239,0.01239
42,0.00971,0.0121,0.0121,0.0121,0.0121
43,0.00923,0.01181,0.01181,0.01181,0.01181
44,0.00878,0.01153,0.01153,0.01153,0.01153
45,0.00834,0.01125,0.01125,0.01125,0.01125
46,0.00792,0.01097,0.01097,0.01097,0.01097
47,0.00751,0.01069,0.01069,0.01069,0.01069
48,0.00712,0.01042,0.01042,0.01042,0.01042
49,0.00675,0.01015,0.01015,0.01015,0.01015
50,0.00639,0.00989,0.00989,0.00989,0.00989
51,0.00605,0.00962,0.00962,0.00962,0.00962
52,0.00572,0.00937,0.00937,0.00937,0.00937
53,0.0054,0.00912,0.00912,0.00912,0.00912
54,0.0051,0.00887,0.00887,0.00887,0.00887
55,0.00482,0.00862,0.00862,0.00862,0.00862
56,0.00454,0.00838,0.00838,0.00838,0.00838
57,0.00428,0.00815,0.00815,0.00815,0.00815
58,0.00403,0.00792,0.00792,0.00792,0.00792
59,0.00378,0.00769,0.00769,0.00769,0.00769
60,0.00356,0.00747,0.00747,0.00747,0.00747
61,0.00334,0.00725,0.00725,0.00725,0.00725
62,0.00313,0.00704,0.00704,0.00704,0.00704
63,0.00293,0.00683,0.00683,0.00683,0.00683
64,0.00274,0.00663,0.00663,0.00663,0.00663
65,0.00256,0.00643,0.00643,0.00643,0.00643
66,0.00238,0.00623,0.00623,0.00623,0.00623
67,0.00222,0.00604,0.00604,0.00604,0.00604
68,0.00206,0.00585,0.00585,0.00585,0.00585
69,0.00191,0.00567,0.00567,0.00567,0.00567
70,0.00177,0.00549,0.00549,0.00549,0.00549
71,0.00163,0.00532,0.00532,0.00532,0.00532
72,0.0015,0.00514,0.00514,0.00514,0.00514
73,0.00138,0.00498,0.00498,0.00498,0.00498
74,0.00126,0.00481,0.00481,0.00481,0.00481
75,0.00115,0.00466,0.00466,0.00466,0.00466
76,0.00105,0.0045,0.0045,0.0045,0.0045
77,0.00095,0.00435,0.00435,0.00435,0.00435
78,0.00085,0.0042,0.0042,0.0042,0.0042
79,0.00076,0.00406,0.00406,0.00406,0.00406
80,0.00067,0.00392,0.00392,0.00392,0.00392
81,0.00059,0.00378,0.00378,0.00378,0.00378
82,0.00051,0.00364,0.00364,0.00364,0.00364
83,0.00044,0.00351,0.00351,0.00351,0.00351
84,0.00037,0.00339,0.00339,0.00339,0.00339
85,0.0003,0.00326,0.00326,0.00326,0.00326
86,0.00023,0.00314,0.00314,0.00314,0.00314
87,0.00017,0.00302,0.00302,0.00302,0.00302
88,0.00012,0.00291,0.00291,0.00291,0.00291
89,0.00006,0.0028,0.0028,0.0028,0.0028
90,0.00001,0.00269,0.00269,0.00269,0.00269
91,0,0.00258,0.00258,0.00258,0.00258
92,0,0.00248,0.00248,0.00248,0.00248
93,0,0.00238,0.00238,0.00238,0.00238
94,0,0.00228,0.00228,0.00228,0.00228
95,0,0.00219,0.00219,0.00219,0.00219
96,0,0.00209,0.00209,0.00209,0.00209
97,0,0.002,0.002,0.002,0.002
98,0,0.00191,0.00191,0.00191,0.00191
99,0,0.00183,0.00183,0.00183,0.00183
100,0,0.00175,0.00175,0.00175,0.00175
101,0,0.00166,0.00166,0.00166,0.00166
102,0,0.00159,0.00159,0.00159,0.00159
103,0,0.00151,0.00151,0.00151,0.00151
104,0,0.00143,0.00143,0.00143,0.00143
105,0,0.00136,0.00136,0.00136,0.00136
106,0,0.00129,0.00129,0.00129,0.00129
107,0,0.00122,0.00122,0.00122,0.00122
108,0,0.00116,0.00116,0.00116,0.00116
109,0,0.00109,0.00109,0.00109,0.00109
110,0,0.00103,0.00103,0.00103,0.00103
111,0,0.00097,0.00097,0.00097,0.00097
112,0,0.00091,0.00091,0.00091,0.00091
113,0,0.00085,0.00085,0.00085,0.00085
114,0,0.00079,0.00079,0.00079,0.00079
115,0,0.00074,0.00074,0.00074,0.00074
116,0,0.00069,0.00069,0.00069,0.00069
117,0,0.00063,0.00063,0.00063,0.00063
118,0,0.00058,0.00058,0.00058,0.00058
119,0,0.00053,0.00053,0.00053,0.00053
120,0,0.00049,0.00049,0.00049,0.00049
