hour,truck_type,share
0,SU,0.00734
1,SU,0.0072
2,SU,0.00801
3,SU,0.01098
4,SU,0.01545
5,SU,0.02684
6,SU,0.04539
7,SU,0.06102
8,SU,0.06795
9,SU,0.06842
10,SU,0.06926
11,SU,0.07157
12,SU,0.07162
13,SU,0.07228
14,SU,0.07055
15,SU,0.06942
16,SU,0.06776
17,SU,0.05808
18,SU,0.03977
19,SU,0.02952
20,SU,0.02323
21,SU,0.01739
22,SU,0.0118
23,SU,0.00915
0,TT,0.00734
1,TT,0.0072
2,TT,0.00801
3,TT,0.01098
4,TT,0.01545
5,TT,0.02684
6,TT,0.04539
7,TT,0.06102
8,TT,0.06795
9,TT,0.06842
10,TT,0.06926
11,TT,0.07157
12,TT,0.07162
13,TT,0.07228
14,TT,0.07055
15,TT,0.06942
16,TT,0.06776
17,TT,0.05808
18,TT,0.03977
19,TT,0.02952
20,TT,0.02323
21,TT,0.01739
22,TT,0.0118
23,TT,0.00915
0,CS,0.01587
1,CS,0.01458
2,CS,0.01534
3,CS,0.01922
4,CS,0.02527
5,CS,0.03635
6,CS,0.04151
7,CS,0.05186
8,CS,0.06477
9,CS,0.06647
10,CS,0.05884
11,CS,0.06687
12,CS,0.07317
13,CS,0.06825
14,CS,0.05845
15,CS,0.06465
16,CS,0.07091
17,CS,0.05497
18,CS,0.03474
19,CS,0.02226
20,CS,0.01933
21,CS,0.01947
22,CS,0.01875
23,CS,0.01811
0,DBL,0.01587
1,DBL,0.01458
2,DBL,0.01534
3,DBL,0.01922
4,DBL,0.02527
5,DBL,0.03635
6,DBL,0.04151
7,DBL,0.05186
8,DBL,0.06477
9,DBL,0.06647
10,DBL,0.05884
11,DBL,0.06687
12,DBL,0.07317
13,DBL,0.06825
14,DBL,0.05845
15,DBL,0.06465
16,DBL,0.07091
17,DBL,0.05497
18,DBL,0.03474
19,DBL,0.02226
20,DBL,0.01933
21,DBL,0.01947
22,DBL,0.01875
23,DBL,0.01811
0,TPT,0.01587
1,TPT,0.01458
2,TPT,0.01534
3,TPT,0.01922
4,TPT,0.02527
5,TPT,0.03635
6,TPT,0.04151
7,TPT,0.05186
8,TPT,0.06477
9,TPT,0.06647
10,TPT,0.05884
11,TPT,0.06687
12,TPT,0.07317
13,TPT,0.06825
14,TPT,0.05845
15,TPT,0.06465
16,TPT,0.07091
17,TPT,0.05497
18,TPT,0.03474
19,TPT,0.02226
20,TPT,0.01933
21,TPT,0.01947
22,TPT,0.01875
23,TPT,0.01811
