payload_tons,SU,TT,CS,DBL,TPT
0,21.2,7,1.6,1.2,1.2
1,20.1,2.2,2.5,0.6,0.6
2,9.1,4.6,2.9,0.7,0.7
3,7.6,3,3.7,1.5,1.5
4,4.9,3,3.5,2.1,2.1
5,2.6,2.6,4.1,1.7,1.7
6,2.4,1.6,3.2,1.6,1.6
7,1.5,0.4,2.5,0.8,0.8
8,2.1,1.8,3.8,1.9,1.9
9,1.5,2.4,2.9,1.7,1.7
10,1.1,2.2,4,1.9,1.9
11,1.2,1,2.6,1.2,1.2
12,0.6,1.6,2.9,2,2
13,1.1,0.8,2.1,0.7,0.7
14,1,1.6,2.4,0.8,0.8
15,0.7,4,3.2,1.6,1.6
16,0.8,4,2.8,1.7,1.7
17,1.7,5.4,2.9,0.8,0.8
18,0.9,3.8,2.4,0.4,0.4
19,0.7,2.2,2.8,0.9,0.9
20,1.1,3,4.4,0.9,0.9
21,1.6,1.2,6.9,0.4,0.4
22,3.3,3.2,7.7,0.6,0.6
23,2.4,0.6,3.3,0.6,0.6
24,3.7,0.4,1.6,0.5,0.5
25,2.2,0.2,1.3,0.8,0.8
26,1.1,0.6,0.9,0.4,0.4
27,0.3,0,0.7,0.3,0.3
28,0.4,0.8,0.9,0.6,0.6
29,0.1,0,0.8,0.7,0.7
30,0.1,1.2,0.8,1.6,1.6
31,0,0.4,0.6,0.8,0.8
32,0,0.6,0.6,0.8,0.8
33,0.1,1,0.7,1.4,1.4
34,0,1.6,0.6,1.4,1.4
35,0.1,1.4,0.7,1.8,1.8
36,0.1,1,0.6,1.4,1.4
37,0.1,0.4,0.8,1.4,1.4
38,0.1,0.4,0.6,1.7,1.7
39,0.1,1.8,0.9,1.8,1.8
40,0,1.2,0.9,4.4,4.4
41,0,1,0.8,4.3,4.3
42,0,0.6,0.9,5.1,5.1
43,0,1.4,0.6,4.5,4.5
44,0,4,0.7,6.5,6.5
45,0,3,0.3,6.6,6.6
46,0,6,0.3,7.2,7.2
47,0,4,0.2,6,6
48,0,1.2,0.1,2.3,2.3
49,0,0.4,0.2,1.9,1.9
50,0,0.6,0.1,1.3,1.3
51,0,0,0,0.5,0.5
52,0,0,0,0.1,0.1
53,0,0,0,0.4,0.4
54,0,0,0,0.3,0.3
55,0,0,0,0.2,0.2
56,0,0.6,0,0.1,0.1
57,0,0.2,0,0,0
58,0,0,0,0.1,0.1
59,0,0,0,0,0
60,0,0,0,0.4,0.4
61,0,0,0,0,0
62,0,0,0,0.1,0.1
63,0,0,0,0.2,0.2
64,0,0,0,0.2,0.2
65,0,0,0,0,0
66,0,0.2,0,0.2,0.2
68,0,0,0,0.1,0.1
69,0,0,0,0.8,0.8
70,0,0,0,0.3,0.3
